frame,3.0-8.0,4.0-9.0,5.0-10.0,6.0-11.0,7.0-12.0,8.0-13.0,9.0-14.0,10.0-15.0,11.0-16.0,12.0-17.0,13.0-18.0,14.0-19.0,15.0-20.0,16.0-21.0,17.0-22.0,18.0-23.0
3.0-8.0,,,,,,,,,,,,,,,,
4.0-9.0,0.942389,,,,,,,,,,,,,,,
5.0-10.0,0.835519,0.893801,,,,,,,,,,,,,,
6.0-11.0,0.439257,0.581895,0.634342,,,,,,,,,,,,,
7.0-12.0,0.311359,0.572257,0.560939,0.763905,,,,,,,,,,,,
8.0-13.0,0.494043,0.728844,0.69663,0.773235,0.974932,,,,,,,,,,,
9.0-14.0,0.425592,0.679055,0.661509,0.778019,0.979151,0.992349,,,,,,,,,,
10.0-15.0,0.506974,0.748958,0.691445,0.715397,0.905432,0.9572,0.965999,,,,,,,,,
11.0-16.0,0.840711,0.941382,0.867282,0.721206,0.708377,0.83396,0.807683,0.865287,,,,,,,,
12.0-17.0,0.770974,0.74929,0.507421,0.456334,0.388003,0.496407,0.441316,0.490266,0.730284,,,,,,,
13.0-18.0,0.72877,0.728682,0.5992,0.507741,0.496439,0.591732,0.547525,0.568719,0.788445,0.878154,,,,,,
14.0-19.0,0.773858,0.696243,0.734913,0.444779,0.310293,0.411517,0.329603,0.302408,0.626276,0.56583,0.665971,,,,,
15.0-20.0,0.800652,0.709218,0.759905,0.445314,0.286105,0.402597,0.314135,0.292815,0.622015,0.521014,0.563207,0.934368,,,,
16.0-21.0,0.772858,0.768246,0.652496,0.607879,0.508334,0.60842,0.526099,0.527392,0.738226,0.703584,0.659574,0.776879,0.83628,,,
17.0-22.0,0.784601,0.857606,0.714014,0.669267,0.598962,0.72433,0.683825,0.759324,0.893347,0.740065,0.685048,0.563746,0.601504,0.842388,,
18.0-23.0,0.626746,0.598888,0.513375,0.440658,0.254298,0.353317,0.311998,0.370249,0.61226,0.660489,0.596082,0.593653,0.580557,0.638385,0.700462,
