frame,3.0-8.0,4.0-9.0,5.0-10.0,6.0-11.0,7.0-12.0,8.0-13.0,9.0-14.0,10.0-15.0,11.0-16.0,12.0-17.0,13.0-18.0,14.0-19.0,15.0-20.0,16.0-21.0,17.0-22.0,18.0-23.0
3.0-8.0,,,,,,,,,,,,,,,,
4.0-9.0,0.949503,,,,,,,,,,,,,,,
5.0-10.0,0.764782,0.781406,,,,,,,,,,,,,,
6.0-11.0,0.717298,0.734857,0.664607,,,,,,,,,,,,,
7.0-12.0,0.67962,0.729832,0.516357,0.821532,,,,,,,,,,,,
8.0-13.0,0.740744,0.779129,0.60417,0.825291,0.9852,,,,,,,,,,,
9.0-14.0,0.617938,0.655823,0.430504,0.770637,0.983777,0.958608,,,,,,,,,,
10.0-15.0,0.765313,0.799823,0.599996,0.738579,0.835635,0.835996,0.80499,,,,,,,,,
11.0-16.0,0.859815,0.865945,0.789135,0.889996,0.836294,0.864169,0.780247,0.876136,,,,,,,,
12.0-17.0,0.850651,0.751033,0.793265,0.55425,0.43779,0.502477,0.378153,0.587249,0.701311,,,,,,,
13.0-18.0,0.781363,0.629814,0.598499,0.501882,0.322211,0.377124,0.258725,0.544917,0.62655,0.902851,,,,,,
14.0-19.0,0.768626,0.621477,0.583051,0.551634,0.391782,0.437738,0.348043,0.582517,0.65892,0.899979,0.95767,,,,,
15.0-20.0,0.80095,0.673123,0.666517,0.646274,0.552575,0.593342,0.541013,0.649773,0.763072,0.87696,0.822522,0.918134,,,,
16.0-21.0,0.575392,0.468506,0.523613,0.655265,0.596022,0.613251,0.596764,0.642857,0.736677,0.609383,0.599722,0.734165,0.859139,,,
17.0-22.0,0.782323,0.737846,0.60324,0.764656,0.74918,0.752837,0.724691,0.890397,0.874343,0.683648,0.705689,0.737588,0.790929,0.775779,,
18.0-23.0,0.677552,0.630586,0.677023,0.743286,0.611987,0.624455,0.579223,0.702704,0.826924,0.70011,0.656861,0.698134,0.76365,0.766426,0.865831,
