frame,3.0-8.0,4.0-9.0,5.0-10.0,6.0-11.0,7.0-12.0,8.0-13.0,9.0-14.0,10.0-15.0,11.0-16.0,12.0-17.0,13.0-18.0,14.0-19.0,15.0-20.0,16.0-21.0,17.0-22.0,18.0-23.0
3.0-8.0,,,,,,,,,,,,,,,,
4.0-9.0,0.945605,,,,,,,,,,,,,,,
5.0-10.0,0.788287,0.797377,,,,,,,,,,,,,,
6.0-11.0,0.771915,0.785842,0.724828,,,,,,,,,,,,,
7.0-12.0,0.719064,0.752553,0.549151,0.813181,,,,,,,,,,,,
8.0-13.0,0.783378,0.803014,0.649262,0.818995,0.978354,,,,,,,,,,,
9.0-14.0,0.656554,0.683822,0.469258,0.759812,0.987046,0.955714,,,,,,,,,,
10.0-15.0,0.768839,0.79977,0.59523,0.784606,0.876765,0.864248,0.864927,,,,,,,,,
11.0-16.0,0.88517,0.87883,0.79996,0.906507,0.840355,0.871454,0.787718,0.875332,,,,,,,,
12.0-17.0,0.858367,0.733665,0.79625,0.702464,0.579146,0.641235,0.523206,0.649904,0.780812,,,,,,,
13.0-18.0,0.795985,0.626173,0.588207,0.610188,0.452837,0.499119,0.390429,0.582675,0.707154,0.890849,,,,,,
14.0-19.0,0.851295,0.726432,0.691594,0.705509,0.571153,0.623505,0.511303,0.69033,0.808907,0.931986,0.967316,,,,,
15.0-20.0,0.920856,0.845869,0.797831,0.817678,0.719397,0.776756,0.672658,0.796011,0.928084,0.911304,0.851293,0.938514,,,,
16.0-21.0,0.602475,0.553327,0.596955,0.750723,0.700219,0.721441,0.685374,0.729442,0.845128,0.62644,0.583408,0.698343,0.802299,,,
17.0-22.0,0.641375,0.604849,0.490638,0.739692,0.765804,0.766,0.779695,0.783602,0.783505,0.603507,0.525733,0.647129,0.774175,0.775164,,
18.0-23.0,0.318354,0.291682,0.343906,0.496696,0.492237,0.485197,0.491987,0.468998,0.580187,0.277584,0.302072,0.368779,0.481723,0.692335,0.667821,
