frame,3.0-8.0,4.0-9.0,5.0-10.0,6.0-11.0,7.0-12.0,8.0-13.0,9.0-14.0,10.0-15.0,11.0-16.0,12.0-17.0,13.0-18.0,14.0-19.0,15.0-20.0,16.0-21.0,17.0-22.0,18.0-23.0
3.0-8.0,,,,,,,,,,,,,,,,
4.0-9.0,0.750076,,,,,,,,,,,,,,,
5.0-10.0,0.637061,0.688076,,,,,,,,,,,,,,
6.0-11.0,0.635153,0.651417,0.977931,,,,,,,,,,,,,
7.0-12.0,0.544563,0.536217,0.917239,0.924572,,,,,,,,,,,,
8.0-13.0,0.574706,0.630858,0.8571,0.893257,0.901352,,,,,,,,,,,
9.0-14.0,0.586884,0.564312,0.878627,0.901725,0.925737,0.958422,,,,,,,,,,
10.0-15.0,0.691115,0.80545,0.844095,0.813686,0.733319,0.795756,0.75365,,,,,,,,,
11.0-16.0,0.656336,0.796544,0.892569,0.880866,0.772063,0.857037,0.836595,0.927092,,,,,,,,
12.0-17.0,0.462745,0.40331,0.6927,0.700784,0.58566,0.671707,0.719926,0.575132,0.678072,,,,,,,
13.0-18.0,0.408491,0.326584,0.668135,0.679494,0.577086,0.641144,0.690508,0.554369,0.646903,0.919633,,,,,,
14.0-19.0,0.331876,0.334592,0.58147,0.596868,0.521126,0.577423,0.62255,0.491411,0.583928,0.604026,0.683852,,,,,
15.0-20.0,0.401539,0.307333,0.57287,0.592594,0.458929,0.559234,0.626689,0.50724,0.624016,0.699944,0.732035,0.846295,,,,
16.0-21.0,0.598569,0.719545,0.901619,0.872187,0.780331,0.826486,0.83633,0.880008,0.927672,0.705338,0.699395,0.708333,0.725541,,,
17.0-22.0,0.593354,0.790866,0.871608,0.849028,0.739094,0.831614,0.822466,0.90511,0.951148,0.686875,0.674769,0.682381,0.705621,0.965868,,
18.0-23.0,0.605966,0.760387,0.910675,0.874643,0.77809,0.818215,0.827134,0.909174,0.945698,0.696209,0.683685,0.623023,0.68272,0.971627,0.970174,
