frame,3.0-8.0,4.0-9.0,5.0-10.0,6.0-11.0,7.0-12.0,8.0-13.0,9.0-14.0,10.0-15.0,11.0-16.0,12.0-17.0,13.0-18.0,14.0-19.0,15.0-20.0,16.0-21.0,17.0-22.0,18.0-23.0
3.0-8.0,,,,,,,,,,,,,,,,
4.0-9.0,0.93031,,,,,,,,,,,,,,,
5.0-10.0,0.815208,0.843057,,,,,,,,,,,,,,
6.0-11.0,0.384688,0.474339,0.486009,,,,,,,,,,,,,
7.0-12.0,0.407911,0.533535,0.530451,0.88649,,,,,,,,,,,,
8.0-13.0,0.401755,0.561642,0.528714,0.855972,0.989971,,,,,,,,,,,
9.0-14.0,0.397819,0.532632,0.512602,0.882699,0.996478,0.994809,,,,,,,,,,
10.0-15.0,0.432005,0.570393,0.520611,0.802856,0.967485,0.97807,0.970408,,,,,,,,,
11.0-16.0,0.207559,0.20217,0.290668,0.512899,0.624673,0.600851,0.611049,0.639261,,,,,,,,
12.0-17.0,0.601862,0.597318,0.453678,0.594274,0.650925,0.658189,0.673789,0.685959,0.619384,,,,,,,
13.0-18.0,0.736798,0.754127,0.677602,0.712848,0.754881,0.729246,0.733129,0.766232,0.54928,0.692913,,,,,,
14.0-19.0,0.755466,0.729826,0.701458,0.703016,0.673917,0.638167,0.659296,0.671116,0.5087,0.779141,0.866609,,,,,
15.0-20.0,0.775464,0.660626,0.756726,0.588759,0.551747,0.500214,0.533749,0.515166,0.515847,0.723794,0.758357,0.919497,,,,
16.0-21.0,0.599849,0.608454,0.446665,0.656473,0.63016,0.63033,0.65073,0.617674,0.317149,0.74828,0.654693,0.739295,0.676011,,,
17.0-22.0,0.533802,0.687349,0.604992,0.766583,0.800694,0.825116,0.813273,0.759564,0.34927,0.583714,0.678511,0.613332,0.530948,0.801982,,
18.0-23.0,0.700852,0.76878,0.727945,0.807664,0.853399,0.846651,0.851644,0.834367,0.46127,0.692656,0.840413,0.802783,0.738153,0.78866,0.870941,
