frame,3.0-8.0,4.0-9.0,5.0-10.0,6.0-11.0,7.0-12.0,8.0-13.0,9.0-14.0,10.0-15.0,11.0-16.0,12.0-17.0,13.0-18.0,14.0-19.0,15.0-20.0,16.0-21.0,17.0-22.0,18.0-23.0
3.0-8.0,,,,,,,,,,,,,,,,
4.0-9.0,0.955391,,,,,,,,,,,,,,,
5.0-10.0,0.845024,0.907884,,,,,,,,,,,,,,
6.0-11.0,0.470502,0.625373,0.712381,,,,,,,,,,,,,
7.0-12.0,0.344364,0.582576,0.577753,0.792686,,,,,,,,,,,,
8.0-13.0,0.610503,0.794876,0.712144,0.777764,0.934187,,,,,,,,,,,
9.0-14.0,0.50753,0.70878,0.635611,0.736426,0.935594,0.981411,,,,,,,,,,
10.0-15.0,0.658989,0.795546,0.677044,0.706591,0.84046,0.950381,0.94044,,,,,,,,,
11.0-16.0,0.852678,0.924617,0.813799,0.728134,0.686061,0.861215,0.81226,0.898565,,,,,,,,
12.0-17.0,0.591849,0.714595,0.611422,0.715678,0.766275,0.802727,0.735097,0.702199,0.782974,,,,,,,
13.0-18.0,0.7058,0.814979,0.68451,0.779799,0.781826,0.887717,0.828624,0.846486,0.913326,0.925162,,,,,,
14.0-19.0,0.795254,0.708654,0.776053,0.392828,0.136355,0.293803,0.180098,0.275174,0.563565,0.445448,0.461655,,,,,
15.0-20.0,0.820829,0.739562,0.7782,0.411105,0.127139,0.298513,0.180631,0.286592,0.601089,0.459734,0.478547,0.962725,,,,
16.0-21.0,0.893128,0.894174,0.775834,0.552739,0.451252,0.632264,0.510197,0.66307,0.833461,0.637493,0.734504,0.744232,0.790648,,,
17.0-22.0,0.640859,0.767746,0.717161,0.630982,0.746188,0.81236,0.792692,0.793614,0.81521,0.769054,0.777992,0.461016,0.450959,0.642487,,
18.0-23.0,0.278648,0.421266,0.446936,0.645221,0.705282,0.616306,0.594849,0.561688,0.523898,0.70062,0.62042,0.265839,0.224088,0.393461,0.788763,
