frame,3.0-8.0,4.0-9.0,5.0-10.0,6.0-11.0,7.0-12.0,8.0-13.0,9.0-14.0,10.0-15.0,11.0-16.0,12.0-17.0,13.0-18.0,14.0-19.0,15.0-20.0,16.0-21.0,17.0-22.0,18.0-23.0
3.0-8.0,,,,,,,,,,,,,,,,
4.0-9.0,0.771644,,,,,,,,,,,,,,,
5.0-10.0,0.591359,0.511658,,,,,,,,,,,,,,
6.0-11.0,0.724549,0.788475,0.8635,,,,,,,,,,,,,
7.0-12.0,0.714778,0.737956,0.902604,0.925324,,,,,,,,,,,,
8.0-13.0,0.712412,0.696843,0.917189,0.935991,0.979278,,,,,,,,,,,
9.0-14.0,0.731264,0.698304,0.902717,0.93284,0.960795,0.990621,,,,,,,,,,
10.0-15.0,0.67097,0.791376,0.530305,0.779601,0.688746,0.668884,0.687514,,,,,,,,,
11.0-16.0,0.754558,0.725929,0.638176,0.783326,0.758613,0.751248,0.766115,0.877318,,,,,,,,
12.0-17.0,0.797157,0.806578,0.665572,0.808188,0.754688,0.794693,0.811268,0.734094,0.784424,,,,,,,
13.0-18.0,0.74962,0.760839,0.637396,0.782522,0.710041,0.764263,0.787298,0.717701,0.750875,0.991736,,,,,,
14.0-19.0,0.563665,0.58726,0.671472,0.766131,0.669795,0.71511,0.753145,0.493978,0.599928,0.710899,0.706162,,,,,
15.0-20.0,0.632598,0.825155,0.435494,0.796742,0.609502,0.633764,0.658736,0.866984,0.739585,0.785931,0.788831,0.661413,,,,
16.0-21.0,0.764438,0.919962,0.558999,0.861206,0.764367,0.764978,0.77989,0.868843,0.797317,0.876392,0.85598,0.676138,0.948557,,,
17.0-22.0,0.780201,0.882275,0.547775,0.851048,0.74607,0.77055,0.791703,0.852883,0.798712,0.878293,0.864298,0.671914,0.943408,0.983488,,
18.0-23.0,0.803102,0.899963,0.590786,0.870521,0.802262,0.81087,0.82296,0.84611,0.811439,0.879315,0.853724,0.671159,0.912116,0.983683,0.988768,
