frame,3.0-8.0,4.0-9.0,5.0-10.0,6.0-11.0,7.0-12.0,8.0-13.0,9.0-14.0,10.0-15.0,11.0-16.0,12.0-17.0,13.0-18.0,14.0-19.0,15.0-20.0,16.0-21.0,17.0-22.0,18.0-23.0
3.0-8.0,,,,,,,,,,,,,,,,
4.0-9.0,0.932863,,,,,,,,,,,,,,,
5.0-10.0,0.687019,0.745663,,,,,,,,,,,,,,
6.0-11.0,0.723943,0.735338,0.91233,,,,,,,,,,,,,
7.0-12.0,0.653656,0.705038,0.934169,0.87058,,,,,,,,,,,,
8.0-13.0,0.742535,0.792299,0.939003,0.913587,0.959481,,,,,,,,,,,
9.0-14.0,0.663482,0.729149,0.924997,0.87212,0.974217,0.972861,,,,,,,,,,
10.0-15.0,0.854602,0.891406,0.741873,0.71188,0.754255,0.846224,0.815702,,,,,,,,,
11.0-16.0,0.713722,0.750446,0.77525,0.777051,0.690998,0.731286,0.717828,0.729567,,,,,,,,
12.0-17.0,0.774293,0.764191,0.693869,0.760181,0.602967,0.703045,0.643858,0.778119,0.842046,,,,,,,
13.0-18.0,0.61835,0.644571,0.636429,0.659434,0.523905,0.616089,0.556047,0.649461,0.697649,0.826486,,,,,,
14.0-19.0,0.611482,0.619256,0.641745,0.702659,0.556402,0.610724,0.578751,0.606062,0.75414,0.793765,0.779942,,,,,
15.0-20.0,0.61933,0.640385,0.623649,0.684247,0.530911,0.593095,0.569446,0.613403,0.774363,0.823742,0.768983,0.919952,,,,
16.0-21.0,0.700648,0.744077,0.659638,0.694624,0.611397,0.684786,0.619513,0.663338,0.698945,0.633898,0.577143,0.701642,0.682123,,,
17.0-22.0,0.65723,0.682821,0.647142,0.671041,0.543821,0.631071,0.556041,0.610343,0.710142,0.662254,0.616641,0.714697,0.694773,0.96217,,
18.0-23.0,0.858974,0.950626,0.830095,0.791058,0.804259,0.877456,0.830321,0.932364,0.804667,0.791504,0.69727,0.696432,0.709261,0.767327,0.715854,
