frame,3.0-8.0,4.0-9.0,5.0-10.0,6.0-11.0,7.0-12.0,8.0-13.0,9.0-14.0,10.0-15.0,11.0-16.0,12.0-17.0,13.0-18.0,14.0-19.0,15.0-20.0,16.0-21.0,17.0-22.0,18.0-23.0
3.0-8.0,,,,,,,,,,,,,,,,
4.0-9.0,0.753502,,,,,,,,,,,,,,,
5.0-10.0,0.469204,0.681684,,,,,,,,,,,,,,
6.0-11.0,0.493507,0.67654,0.909599,,,,,,,,,,,,,
7.0-12.0,0.419806,0.585735,0.910709,0.916433,,,,,,,,,,,,
8.0-13.0,0.403145,0.590537,0.711967,0.832033,0.816548,,,,,,,,,,,
9.0-14.0,0.411476,0.641128,0.767711,0.842395,0.860432,0.980237,,,,,,,,,,
10.0-15.0,0.408498,0.69919,0.565716,0.58263,0.551256,0.648704,0.672333,,,,,,,,,
11.0-16.0,0.470099,0.610653,0.669586,0.70742,0.648625,0.774511,0.754844,0.787594,,,,,,,,
12.0-17.0,0.296095,0.411044,0.547249,0.6066,0.54158,0.693559,0.672518,0.602176,0.769596,,,,,,,
13.0-18.0,0.277232,0.3919,0.505128,0.58299,0.503134,0.685282,0.658229,0.581265,0.762972,0.983176,,,,,,
14.0-19.0,0.338519,0.533914,0.624667,0.602024,0.562187,0.625067,0.634684,0.511454,0.668519,0.623666,0.62184,,,,,
15.0-20.0,0.340393,0.57275,0.475096,0.524507,0.392056,0.623342,0.613435,0.510022,0.638556,0.503007,0.529618,0.784948,,,,
16.0-21.0,0.447644,0.793613,0.758442,0.757944,0.65028,0.708881,0.733489,0.726906,0.788805,0.647415,0.621199,0.666915,0.728842,,,
17.0-22.0,0.464548,0.794902,0.776943,0.778626,0.672572,0.739807,0.760903,0.736401,0.826923,0.683047,0.668753,0.712665,0.753534,0.980607,,
18.0-23.0,0.453882,0.804,0.774081,0.751674,0.665186,0.703422,0.732932,0.727592,0.793776,0.654675,0.634775,0.67175,0.706444,0.97502,0.98367,
