frame,3.0-8.0,4.0-9.0,5.0-10.0,6.0-11.0,7.0-12.0,8.0-13.0,9.0-14.0,10.0-15.0,11.0-16.0,12.0-17.0,13.0-18.0,14.0-19.0,15.0-20.0,16.0-21.0,17.0-22.0,18.0-23.0
3.0-8.0,,,,,,,,,,,,,,,,
4.0-9.0,0.926383,,,,,,,,,,,,,,,
5.0-10.0,0.892167,0.895905,,,,,,,,,,,,,,
6.0-11.0,0.915985,0.933859,0.973664,,,,,,,,,,,,,
7.0-12.0,0.914449,0.923987,0.987729,0.983947,,,,,,,,,,,,
8.0-13.0,0.864504,0.920584,0.767004,0.832314,0.807911,,,,,,,,,,,
9.0-14.0,0.911663,0.913017,0.820393,0.853325,0.848737,0.9621,,,,,,,,,,
10.0-15.0,0.698516,0.77818,0.636641,0.690305,0.668085,0.846054,0.81934,,,,,,,,,
11.0-16.0,0.891885,0.813151,0.748303,0.790447,0.782329,0.860391,0.879029,0.76415,,,,,,,,
12.0-17.0,0.901789,0.956942,0.838836,0.87833,0.873124,0.967892,0.971607,0.84233,0.863713,,,,,,,
13.0-18.0,0.930805,0.931753,0.881089,0.895145,0.907358,0.932882,0.967335,0.781583,0.886884,0.969472,,,,,,
14.0-19.0,0.935887,0.940545,0.873642,0.897561,0.897489,0.954461,0.979229,0.814308,0.900552,0.979347,0.993465,,,,,
15.0-20.0,0.935111,0.937918,0.873189,0.901229,0.899136,0.95372,0.979504,0.807249,0.900427,0.977094,0.991877,0.997721,,,,
16.0-21.0,0.275031,0.434989,0.326906,0.399841,0.333544,0.53787,0.409955,0.404743,0.264651,0.44401,0.378051,0.417475,0.419237,,,
17.0-22.0,0.437149,0.592548,0.562892,0.579062,0.55189,0.679253,0.618855,0.564065,0.42069,0.646382,0.614349,0.629877,0.630809,0.852518,,
18.0-23.0,0.362123,0.58731,0.41715,0.51455,0.442359,0.624694,0.534699,0.526015,0.253118,0.5879,0.466331,0.497229,0.507642,0.754197,0.717165,
