frame,3.0-8.0,4.0-9.0,5.0-10.0,6.0-11.0,7.0-12.0,8.0-13.0,9.0-14.0,10.0-15.0,11.0-16.0,12.0-17.0,13.0-18.0,14.0-19.0,15.0-20.0,16.0-21.0,17.0-22.0,18.0-23.0
3.0-8.0,,,,,,,,,,,,,,,,
4.0-9.0,0.849622,,,,,,,,,,,,,,,
5.0-10.0,0.743788,0.864122,,,,,,,,,,,,,,
6.0-11.0,0.735675,0.884996,0.968495,,,,,,,,,,,,,
7.0-12.0,0.645872,0.74127,0.801835,0.81863,,,,,,,,,,,,
8.0-13.0,0.643915,0.715431,0.790649,0.807049,0.96967,,,,,,,,,,,
9.0-14.0,0.703683,0.867572,0.895683,0.950122,0.831926,0.838551,,,,,,,,,,
10.0-15.0,0.788383,0.868618,0.767101,0.755689,0.833594,0.797243,0.72998,,,,,,,,,
11.0-16.0,0.731289,0.843077,0.754118,0.744475,0.836629,0.7974,0.71455,0.898361,,,,,,,,
12.0-17.0,0.77004,0.961275,0.855744,0.850576,0.694584,0.651228,0.805788,0.826374,0.822019,,,,,,,
13.0-18.0,0.752289,0.920364,0.842671,0.823964,0.674529,0.642643,0.758964,0.820771,0.81885,0.978328,,,,,,
14.0-19.0,0.719106,0.918711,0.821209,0.825761,0.690037,0.656376,0.780746,0.818935,0.818408,0.953943,0.954888,,,,,
15.0-20.0,0.505557,0.648548,0.502637,0.500618,0.462909,0.429225,0.48352,0.56315,0.724264,0.652567,0.642887,0.622765,,,,
16.0-21.0,0.513216,0.670174,0.506107,0.536919,0.457377,0.446073,0.53898,0.534796,0.687134,0.655561,0.631682,0.610284,0.963416,,,
17.0-22.0,0.569569,0.698798,0.612269,0.589384,0.463355,0.435291,0.522264,0.579572,0.73385,0.714877,0.707367,0.662513,0.917994,0.922264,,
18.0-23.0,0.709293,0.921727,0.796449,0.823954,0.683571,0.658217,0.805189,0.778184,0.827775,0.923837,0.892822,0.886731,0.784998,0.815974,0.805455,
