frame,3.0-8.0,4.0-9.0,5.0-10.0,6.0-11.0,7.0-12.0,8.0-13.0,9.0-14.0,10.0-15.0,11.0-16.0,12.0-17.0,13.0-18.0,14.0-19.0,15.0-20.0,16.0-21.0,17.0-22.0,18.0-23.0
3.0-8.0,,,,,,,,,,,,,,,,
4.0-9.0,0.845205,,,,,,,,,,,,,,,
5.0-10.0,0.618054,0.744763,,,,,,,,,,,,,,
6.0-11.0,0.631889,0.767125,0.949279,,,,,,,,,,,,,
7.0-12.0,0.654721,0.757,0.876021,0.87399,,,,,,,,,,,,
8.0-13.0,0.689293,0.818455,0.904981,0.914658,0.978505,,,,,,,,,,,
9.0-14.0,0.680298,0.850083,0.893907,0.918341,0.930861,0.974783,,,,,,,,,,
10.0-15.0,0.824306,0.895023,0.661697,0.689881,0.757551,0.798012,0.766598,,,,,,,,,
11.0-16.0,0.712854,0.828569,0.709887,0.672604,0.747615,0.780178,0.742928,0.857904,,,,,,,,
12.0-17.0,0.778108,0.962439,0.772901,0.769571,0.752984,0.81301,0.841584,0.851159,0.84655,,,,,,,
13.0-18.0,0.701104,0.855283,0.665409,0.69907,0.603071,0.680889,0.7116,0.721769,0.735849,0.899513,,,,,,
14.0-19.0,0.663245,0.858448,0.653065,0.697843,0.595873,0.675556,0.71498,0.70571,0.719275,0.866345,0.944388,,,,,
15.0-20.0,0.60981,0.778669,0.552881,0.52489,0.554691,0.590664,0.635954,0.628841,0.713462,0.748401,0.645423,0.671722,,,,
16.0-21.0,0.613562,0.797851,0.580646,0.563663,0.584167,0.622685,0.67537,0.622502,0.708925,0.770723,0.665758,0.696455,0.989021,,,
17.0-22.0,0.664645,0.821367,0.636801,0.607344,0.589838,0.633533,0.675328,0.659193,0.761254,0.789001,0.692525,0.721765,0.959933,0.973403,,
18.0-23.0,0.710142,0.890918,0.77383,0.73649,0.717188,0.775225,0.789818,0.796632,0.904192,0.912431,0.831355,0.822699,0.767944,0.776907,0.825612,
