frame,3.0-8.0,4.0-9.0,5.0-10.0,6.0-11.0,7.0-12.0,8.0-13.0,9.0-14.0,10.0-15.0,11.0-16.0,12.0-17.0,13.0-18.0,14.0-19.0,15.0-20.0,16.0-21.0,17.0-22.0,18.0-23.0
3.0-8.0,,,,,,,,,,,,,,,,
4.0-9.0,0.819508,,,,,,,,,,,,,,,
5.0-10.0,0.481195,0.603966,,,,,,,,,,,,,,
6.0-11.0,0.521132,0.393,0.783812,,,,,,,,,,,,,
7.0-12.0,0.521232,0.498629,0.863049,0.781835,,,,,,,,,,,,
8.0-13.0,0.609544,0.462884,0.678139,0.825725,0.884379,,,,,,,,,,,
9.0-14.0,0.491003,0.436547,0.718105,0.752166,0.875153,0.897795,,,,,,,,,,
10.0-15.0,0.69207,0.586403,0.564535,0.490664,0.606615,0.595277,0.738894,,,,,,,,,
11.0-16.0,0.678856,0.566365,0.678744,0.678189,0.664836,0.6515,0.782158,0.952663,,,,,,,,
12.0-17.0,0.866345,0.70441,0.510111,0.503239,0.58109,0.634361,0.629138,0.909847,0.875952,,,,,,,
13.0-18.0,0.838894,0.803326,0.729422,0.623785,0.679136,0.583912,0.58203,0.745386,0.780224,0.824536,,,,,,
14.0-19.0,0.607179,0.501695,0.586896,0.5428,0.598708,0.505,0.682699,0.881178,0.904261,0.798037,0.764031,,,,,
15.0-20.0,0.319566,0.223183,0.490185,0.565554,0.544237,0.594918,0.792005,0.757488,0.806044,0.605155,0.41364,0.726891,,,,
16.0-21.0,0.781288,0.845267,0.679312,0.564278,0.663553,0.682627,0.641243,0.632444,0.621123,0.725369,0.772035,0.573726,0.46234,,,
17.0-22.0,0.599179,0.577918,0.806563,0.746881,0.870094,0.762107,0.656982,0.465463,0.523907,0.536572,0.759711,0.494886,0.329706,0.760906,,
18.0-23.0,0.376471,0.371736,0.858565,0.697663,0.906412,0.684589,0.707953,0.463418,0.552715,0.410924,0.603722,0.539743,0.424206,0.509282,0.800909,
