frame,3.0-8.0,4.0-9.0,5.0-10.0,6.0-11.0,7.0-12.0,8.0-13.0,9.0-14.0,10.0-15.0,11.0-16.0,12.0-17.0,13.0-18.0,14.0-19.0,15.0-20.0,16.0-21.0,17.0-22.0,18.0-23.0
3.0-8.0,,,,,,,,,,,,,,,,
4.0-9.0,0.922807,,,,,,,,,,,,,,,
5.0-10.0,0.676677,0.755517,,,,,,,,,,,,,,
6.0-11.0,0.711899,0.764828,0.913338,,,,,,,,,,,,,
7.0-12.0,0.594351,0.67776,0.905476,0.878789,,,,,,,,,,,,
8.0-13.0,0.660271,0.750711,0.930413,0.928403,0.975335,,,,,,,,,,,
9.0-14.0,0.60879,0.7128,0.903275,0.89057,0.970424,0.982909,,,,,,,,,,
10.0-15.0,0.829403,0.879383,0.73751,0.757338,0.687453,0.774694,0.761273,,,,,,,,,
11.0-16.0,0.699191,0.763358,0.789192,0.76064,0.683164,0.741671,0.724824,0.801622,,,,,,,,
12.0-17.0,0.696249,0.702113,0.577783,0.588671,0.510061,0.591502,0.541771,0.800778,0.669895,,,,,,,
13.0-18.0,0.621361,0.661078,0.649525,0.631947,0.541769,0.605993,0.564731,0.731754,0.631963,0.80635,,,,,,
14.0-19.0,0.547447,0.63886,0.667143,0.631391,0.609162,0.640841,0.646482,0.650181,0.704594,0.475739,0.674672,,,,,
15.0-20.0,0.565407,0.681947,0.627703,0.604213,0.534343,0.573329,0.57729,0.590832,0.701903,0.418088,0.522884,0.78504,,,,
16.0-21.0,0.603116,0.735218,0.661287,0.636456,0.564581,0.610459,0.607417,0.624869,0.71813,0.453529,0.547237,0.803082,0.976617,,,
17.0-22.0,0.622783,0.730649,0.701543,0.651674,0.56061,0.603291,0.592576,0.615984,0.768276,0.472772,0.564677,0.798081,0.956861,0.979391,,
18.0-23.0,0.753196,0.822484,0.828872,0.775226,0.679741,0.732165,0.677282,0.757561,0.887895,0.660473,0.688461,0.706649,0.751638,0.775299,0.822856,
