frame,3.0-8.0,4.0-9.0,5.0-10.0,6.0-11.0,7.0-12.0,8.0-13.0,9.0-14.0,10.0-15.0,11.0-16.0,12.0-17.0,13.0-18.0,14.0-19.0,15.0-20.0,16.0-21.0,17.0-22.0,18.0-23.0
3.0-8.0,,,,,,,,,,,,,,,,
4.0-9.0,0.717047,,,,,,,,,,,,,,,
5.0-10.0,0.6227,0.86137,,,,,,,,,,,,,,
6.0-11.0,0.572407,0.88296,0.948473,,,,,,,,,,,,,
7.0-12.0,0.608826,0.751861,0.792728,0.816914,,,,,,,,,,,,
8.0-13.0,0.571913,0.766221,0.81335,0.840817,0.967493,,,,,,,,,,,
9.0-14.0,0.604254,0.913099,0.905128,0.97259,0.832102,0.861599,,,,,,,,,,
10.0-15.0,0.749878,0.942103,0.821058,0.80746,0.719229,0.734203,0.837135,,,,,,,,,
11.0-16.0,0.626482,0.940627,0.835647,0.831993,0.734599,0.742205,0.839264,0.866993,,,,,,,,
12.0-17.0,0.492662,0.742905,0.698847,0.64279,0.528052,0.517862,0.62552,0.645477,0.751059,,,,,,,
13.0-18.0,0.468095,0.69707,0.608747,0.571744,0.473903,0.499358,0.55479,0.607268,0.709694,0.938865,,,,,,
14.0-19.0,0.350766,0.714788,0.613689,0.60391,0.5277,0.528087,0.598044,0.625056,0.794061,0.728188,0.745367,,,,,
15.0-20.0,0.367259,0.649711,0.504109,0.504642,0.448697,0.434805,0.528618,0.587495,0.777994,0.464553,0.444701,0.73074,,,,
16.0-21.0,0.353627,0.660398,0.492437,0.547531,0.458465,0.488525,0.573116,0.579031,0.76501,0.379621,0.401118,0.659875,0.929172,,,
17.0-22.0,0.602322,0.800057,0.69854,0.666535,0.492593,0.465098,0.682177,0.761149,0.768459,0.648213,0.541391,0.565032,0.718724,0.626259,,
18.0-23.0,0.621672,0.780809,0.682214,0.642869,0.48201,0.435232,0.658445,0.80979,0.70392,0.6046,0.493455,0.567089,0.625827,0.510148,0.940386,
