label,y,x,area_px,major_axis_px,minor_axis_px,eccentricity,orientation_deg,mean_intensity,max_intensity,mean_z,max_z,bbox_min_y,bbox_min_x,bbox_max_y,bbox_max_x,radius_px
1,12.514668241779878,619.805867296712,36,9.174311217521248,5.069143045419806,0.8334886126172097,45.272195153140245,141.0833282470703,393.0,15.06737232208252,48.9680290222168,9,617,17,625,517.1698608398438
2,23.27812828601472,278.27181913774973,17,5.8487650121869175,3.6612026138446656,0.7798401143947766,-76.03551064565954,111.88235473632812,207.0,12.436419486999512,24.41656494140625,22,276,26,282,549.136962890625
3,28.48055263553086,919.0800420483556,70,16.306131764359208,6.465786372435136,0.9180239905358335,40.911806460247945,95.12857055664062,284.0,14.29037094116211,44.68501281738281,23,914,35,928,632.7169799804688
4,45.31286641871021,569.7891319422556,62,10.407505078557337,7.575370049051977,0.6857090962543899,68.48358734222994,255.85484313964844,1039.0,29.927810668945312,135.57264709472656,42,566,50,576,477.4176940917969
5,54.71834250941756,229.21950159374094,34,8.386845037322784,5.111889920100814,0.7927761798330489,-58.96448935434046,203.0,590.0,23.757944107055664,75.9476547241211,52,226,58,234,545.905517578125
6,61.55584022676788,864.8638711347934,186,25.795874873302193,9.56600433891848,0.928698906659338,47.0409004653526,394.5107421875,3121.0,49.8477668762207,417.6446838378906,53,858,73,879,576.8424682617188
7,77.01002963300661,520.6842945064965,68,12.467491467199233,7.115779709573358,0.8211261751534922,81.91790841443878,322.5735168457031,1429.0,38.72568130493164,188.0480194091797,74,516,81,529,442.9336853027344
8,86.02504105090313,179.36412151067324,22,6.365325198089598,4.484499336171133,0.7096840669923417,-52.89620176442865,110.7272720336914,232.0,12.648233413696289,30.857952117919922,83,177,89,183,549.410888671875
9,93.00148916862508,811.2060404402355,120,18.040763177289396,8.656133187442116,0.8773725837662338,47.39640214579172,358.14166259765625,2330.0,44.40959548950195,310.400634765625,86,806,101,821,521.3501586914062
10,89.57756153405839,525.3192138904789,40,12.530238748836132,4.488108387412848,0.9336517107503038,77.26886742307055,131.02499389648438,439.0,12.818696975708008,54.36395263671875,87,521,93,533,430.3241271972656
11,110.06421052631579,404.2293233082707,22,8.804358366697986,3.338327541681395,0.9253280075816461,33.134656123439676,302.2727355957031,1263.0,35.91969680786133,165.52003479003906,106,401,114,407,425.5970458984375
12,108.04765751211632,471.4065024232633,27,6.635317237498872,5.106277908033803,0.638573934630932,90.0,183.40740966796875,451.0,19.775070190429688,55.847835540771484,106,469,111,476,414.2744445800781
13,113.04783329386692,566.7894861472887,25,9.730457187395327,3.5181533400729723,0.9323484755026913,15.252651137335679,675.6799926757812,3937.0,89.94603729248047,526.2376708984375,109,564,118,569,410.6523132324219
14,118.01503759398496,129.0,5,2.5298221281347035,2.5298221281347035,0.0,-45.0,79.80000305175781,101.0,7.2575201988220215,10.117361068725586,117,128,120,131,558.7279052734375
15,123.0533088235294,757.9797794117648,5,2.5298221281347035,2.5298221281347035,0.0,-45.0,108.80000305175781,146.0,9.955483436584473,14.973694801330566,122,757,125,760,467.641357421875
16,141.12518298862656,762.9162005930708,103,16.39440896558276,8.134998729266782,0.8682050048125144,50.856638508538694,1034.6019287109375,9308.0,134.84445190429688,1250.9105224609375,135,758,148,772,455.6617431640625
17,149.28354430379747,78.32025316455696,10,4.0,3.149603149604724,0.6164414002968978,-45.0,79.0,96.0,7.2845001220703125,9.577768325805664,148,77,152,81,574.699462890625
18,152.61588983050848,427.42394067796613,20,9.29720797126891,3.2805371418372715,0.9356791991126622,-78.91371081683396,236.0,630.0,30.610076904296875,100.16188049316406,151,424,155,433,377.5907897949219
19,179.28577446987782,565.9521134672096,49,10.984924432529802,5.729526902536989,0.8532018239281586,87.36658119361633,145.3265380859375,359.0,15.028755187988281,43.43720245361328,177,561,183,572,343.95831298828125
20,183.13306315433974,378.8675278622087,35,9.560403733759903,4.6170388556355535,0.8756570521965185,-72.90027238740338,338.3999938964844,1523.0,43.02672576904297,200.45864868164062,181,375,186,385,363.8468322753906
21,184.1422300263389,635.2642669007902,22,9.470065801236164,2.9937404395556433,0.948716988164705,71.22714940637424,155.31817626953125,234.0,11.313050270080566,18.5966739654541,182,631,187,640,357.3251953125
22,193.1413043478261,953.0304347826087,5,2.5298221281347035,2.5298221281347035,0.0,-45.0,92.0,125.0,11.129098892211914,16.693647384643555,192,952,195,955,550.5963745117188
23,214.89833843463052,967.067774376913,47,11.158165890054793,5.551242534810912,0.8674611490399913,47.33252818968396,97.31914520263672,172.0,10.774630546569824,23.438554763793945,212,963,221,972,550.1401977539062
24,217.2741379310345,334.4816091954023,14,6.683766638907472,2.781263522561938,0.9093087121712009,-53.216207845547565,124.28571319580078,204.0,11.639782905578613,22.39309310913086,215,332,220,338,353.9471130371094
25,234.4316485332052,614.0985521693631,232,29.653028973375985,10.410533341382829,0.9363461254188138,67.10318480646396,2170.607666015625,53340.0,275.799560546875,7190.47607421875,227,598,242,628,301.9285888671875
26,244.40590947191953,282.2667644593462,40,10.476483984384199,4.8982939198195705,0.8839659285360669,-53.24020018184801,357.8999938964844,2263.0,44.851951599121094,300.2832946777344,241,278,248,288,364.05889892578125
27,246.55239520958085,399.9850299401198,8,3.4641016151377544,2.8284271247461903,0.5773502691896258,0.0,83.5,103.0,7.305578231811523,11.46634292602539,245,399,249,402,295.8603515625
28,253.81006891718258,904.8713351244014,59,16.315103823512768,5.199891855234823,0.9478501089633697,32.36514970017257,290.2033996582031,1292.0,34.561363220214844,169.70187377929688,248,901,261,912,479.1792297363281
29,264.7038202247191,565.4541573033708,31,7.896890339536595,4.994814914994615,0.7745570733780701,61.929895197589744,287.0967712402344,1234.0,42.93351364135742,202.68447875976562,262,562,268,570,257.63623046875
30,274.8103207810321,233.73430962343096,14,5.656854249492381,3.1558174334820754,0.8299250027587322,-45.0,102.42857360839844,185.0,9.748801231384277,20.099824905395508,273,232,278,237,378.0226745605469
31,280.650623885918,718.1151960784314,52,10.668493846436052,6.305800560227132,0.8066220595048952,-79.35519083874979,86.30769348144531,112.0,8.315044403076172,12.98394775390625,278,713,285,724,316.7508239746094
