label,y,x,area_px,major_axis_px,minor_axis_px,eccentricity,orientation_deg,mean_intensity,max_intensity,mean_z,max_z,bbox_min_y,bbox_min_x,bbox_max_y,bbox_max_x,radius_px
1,27.001531000074944,908.7926404933461,174,32.98985674813627,6.8296498613227286,0.9783361352792563,48.12174095433184,536.798828125,2891.0,87.17664337158203,484.1157531738281,17,899,40,924,627.5501098632812
2,19.514427040395713,327.4843363561418,20,8.073753986796147,3.164568937579545,0.9199832980786447,-75.23060887022096,121.30000305175781,221.0,12.585997581481934,26.035343170166016,18,324,22,332,533.416259765625
3,26.652563310685608,611.6371216800494,47,16.01919089683861,3.8619582782703823,0.9705044442799107,73.93033167222556,137.7872314453125,264.0,14.405400276184082,31.4312686920166,24,605,30,620,502.0171203613281
4,58.815839416058395,565.2068613138686,59,17.102243388860316,4.347373263408077,0.9671519350852639,80.91463516032607,232.20338439941406,615.0,26.737274169921875,78.37582397460938,57,558,62,575,463.5714416503906
5,69.7215785247218,563.0906275094643,32,9.497119699330527,4.334638671975789,0.8897664363271177,86.88459278039444,272.40625,755.0,32.025665283203125,97.12667083740234,68,559,73,569,452.77667236328125
6,87.80126064001723,805.3065402435083,63,16.720622332638026,4.985191241749898,0.9545201933446661,50.63913955944576,294.6349182128906,1287.0,35.83580017089844,169.70187377929688,83,800,95,814,521.8624267578125
7,89.85911255953873,518.6991727249938,51,14.192484773480972,4.654348169714217,0.9446969703457586,86.31954489833223,234.64706420898438,670.0,26.932016372680664,85.66032409667969,88,513,93,527,430.14801025390625
8,101.60316801139061,515.4240033222592,65,13.630798764266508,6.066936259811453,0.8954856940251381,86.50197818944977,518.6461791992188,2959.0,65.13505554199219,394.44219970703125,99,509,105,523,418.381591796875
9,106.51753735297234,802.9203136590017,66,17.471306033385936,4.90970103916892,0.9597033428448329,51.222995225611086,428.9545593261719,1582.0,53.726253509521484,209.22703552246094,101,796,113,811,505.75543212890625
10,110.23881036513545,566.0945229681979,17,6.855577033074957,3.6229312742065125,0.8489552022010131,16.767115850619426,199.76470947265625,374.0,24.620895385742188,57.16309356689453,107,564,114,569,413.233642578125
11,120.05707070707071,471.40858585858587,14,5.606119105813881,3.0237157840738176,0.8420753583206845,90.0,141.42857360839844,242.0,14.22212028503418,27.789018630981445,119,469,122,475,402.32379150390625
12,146.8572892271663,137.69496487119437,42,13.836233020162082,3.930913360538191,0.9587938075714686,-43.33358984749489,162.6666717529297,347.0,18.166284561157227,43.032508850097656,142,133,153,143,533.3123168945312
13,164.2195350080171,422.2735168359166,34,11.35401131576085,4.0189763604942,0.9352568779270889,-79.76930678229817,220.11764526367188,522.0,27.89217758178711,69.47254943847656,162,418,167,429,367.80419921875
14,167.4157876230661,705.4881329113924,50,16.343843492205103,4.04795996797213,0.9688431962378101,57.341197161768505,227.52000427246094,712.0,26.96141815185547,91.19114685058594,163,700,173,714,402.857421875
15,179.37583656216978,90.87671715392744,28,8.355881159484124,4.778316782410732,0.8203576883951916,5.508555809394607,101.39286041259766,186.0,10.083636283874512,21.448806762695312,175,88,184,94,547.5958862304688
16,193.09120788824978,381.3738701725555,8,3.4641016151377544,2.8284271247461903,0.5773502691896258,90.0,152.125,232.0,19.362102508544922,33.050048828125,192,380,195,384,353.62152099609375
17,213.43016660758596,39.57349639607704,34,8.10464861714888,5.334791421627459,0.7528094913446359,-59.01619333183167,497.8235168457031,1829.0,73.61074829101562,304.1953430175781,212,36,218,44,569.34033203125
18,212.38773197336732,657.169712423856,17,6.721344403334447,3.0678599553894816,0.8897565210026093,90.0,415.23529052734375,2115.0,51.07878875732422,280.318359375,212,655,215,662,339.57598876953125
19,233.4658112738441,328.1476453628063,312,63.98443754450626,8.081885124713342,0.9919907969265988,-53.03916757228365,1227.2564697265625,42578.0,160.6278076171875,5738.8369140625,225,291,264,341,343.9109191894531
20,240.66639658237153,606.7656707687615,152,22.149862361614357,8.943416874706266,0.9148611873247029,69.5514053630094,2890.58544921875,45159.0,353.4731140136719,5072.50830078125,235,595,247,618,293.1574401855469
21,245.84752167148255,895.4197229013855,48,17.88342978930763,3.4734541043964957,0.9809565091899421,32.31132275625567,281.1875,715.0,33.454742431640625,92.00054168701172,239,891,254,901,475.455078125
22,255.35716801690737,285.385170834801,23,6.89753839674296,4.227973498813158,0.7901073757870329,-53.40550946271312,246.86956787109375,736.0,34.49140548706055,118.035888671875,253,283,259,289,353.4648742675781
23,260.0,395.8953722334004,5,2.5298221281347035,2.5298221281347035,0.0,-45.0,99.4000015258789,132.0,10.731148719787598,16.5250244140625,259,395,262,398,284.97064208984375
24,271.2041962488079,561.7183426936526,29,9.303356199504032,3.984721242143225,0.903631824913271,71.66993153672853,325.4137878417969,1224.0,49.476226806640625,200.9982452392578,269,558,274,567,250.27467346191406
25,274.0168269230769,371.03365384615387,5,2.5298221281347035,2.5298221281347035,0.0,-45.0,83.19999694824219,105.0,7.635235786437988,11.972210884094238,273,370,276,373,284.7701110839844
26,284.89357429718876,239.46234939759037,12,4.8607479883182965,3.1155195918807777,0.7675786521898157,-36.65037788300319,166.0,326.0,20.243154525756836,48.90058135986328,283,238,288,242,367.0081481933594
27,300.719878296146,515.2640973630831,23,6.609484738581983,4.412236460467576,0.7445548086340221,-80.82778288067863,428.6956481933594,2243.0,67.0678482055664,372.993408203125,299,512,304,519,214.59754943847656
28,339.8162023695165,467.3605507524816,13,4.898746818435677,3.3498081318351556,0.7296608671767802,-70.20593457615851,240.23077392578125,754.0,35.449676513671875,122.08283233642578,338,465,342,470,180.64996337890625
29,346.63148295968153,745.5221891536139,71,14.543641281072015,6.286366507115915,0.901757847363043,32.257963264589996,2664.35205078125,33159.0,328.4462890625,4468.2314453125,340,742,354,751,293.5335388183594
30,351.42412451361866,680.0856031128404,13,6.735819733463726,2.551546457153855,0.9254774670316781,33.52900537501387,98.84615325927734,143.0,9.209392547607422,14.973694801330566,349,678,355,683,237.19717407226562
31,356.64989293361884,684.6595289079229,8,4.242640687119285,2.449489742783178,0.816496580927726,45.0,116.75,272.0,12.187204360961914,32.37555694580078,355,683,359,687,237.11798095703125
32,375.68706027549644,699.4196265817902,111,20.191662849813735,7.164650672557913,0.9349300304263686,34.45796545597394,2219.090087890625,33214.0,307.81866455078125,4476.1904296875,367,693,386,707,237.26205444335938
33,401.40814168649223,377.28542162305047,26,7.612881274261928,4.3415172960386474,0.8214464224407272,-39.3280320499969,582.0,2974.0,93.07971954345703,496.4252014160156,398,375,405,381,180.86083984375
34,425.06591173054585,47.92799070847851,18,5.28913906753229,4.283222569354137,0.5866857344558972,-31.58606299484275,191.3333282470703,812.0,21.42632293701172,105.08565521240234,424,46,429,51,488.5837707519531
35,449.9791288566243,897.9119782214156,19,9.17662935482247,2.9019050004400464,0.9486832980505138,0.0,116.0,207.0,11.027923583984375,23.067583084106445,446,897,455,900,402.81280517578125
36,462.8021392475134,286.5021874609382,77,12.286086381646633,8.115270393087627,0.7508038237910921,-13.766879746873673,3636.428466796875,51181.0,607.7883911132812,8624.8818359375,458,282,470,291,243.77638244628906
37,465.2011642949547,833.142787839586,30,9.563820714895625,3.9911012125588714,0.9087630825116382,0.0,206.13333129882812,729.0,26.454526901245117,116.68690490722656,460,832,470,836,335.8846435546875
38,485.1122211122211,235.87579087579087,11,4.51260859854213,2.9541957835039856,0.7559289460184544,0.0,273.0,504.0,28.804841995239258,52.61028289794922,483,235,488,238,292.5898742675781
39,510.81279653296116,793.7106848992997,181,18.966397515394533,12.447074055054674,0.7545263011749386,-4.6870214558987096,7707.6298828125,184982.0,933.9185180664062,20790.728515625,500,787,520,801,292.8025817871094
40,526.4549514232145,194.38298960286346,76,14.142349427605525,6.84550865009942,0.8750440794567728,4.405307605236219,771.9736938476562,5905.0,113.90097045898438,989.4779663085938,519,191,533,198,335.75555419921875
41,546.8688391038696,748.5209775967413,14,5.861991847666786,3.1822708081267197,0.8398199092380411,-20.65650342552008,175.35714721679688,374.0,24.173267364501953,57.66896057128906,544,747,550,751,249.87222290039062
42,580.8985294117647,703.0470588235294,5,2.5298221281347035,2.5298221281347035,0.0,-45.0,136.0,233.0,17.705379486083984,34.06178283691406,580,702,583,705,214.1127471923828
43,589.1076067968874,100.01581705574083,47,11.912848563746946,4.963043246262948,0.909084105710656,9.011587333824219,669.8936157226562,3890.0,85.6459732055664,520.0323486328125,583,98,595,103,438.8110046386719
44,607.1139721401436,652.0261713803293,5,2.5298221281347035,2.5298221281347035,0.0,-45.0,473.79998779296875,1167.0,74.83475494384766,191.7239990234375,606,651,609,654,180.65228271484375
45,616.3090854811423,948.434471091651,27,7.736397860235204,4.677823230769465,0.7964902843165348,-27.181111085477223,372.1851806640625,1523.0,45.62055969238281,200.86334228515625,612,946,619,952,463.37286376953125
46,642.5164345063539,892.7373228250244,51,10.422212448728477,6.337940576347277,0.7938462358393045,-14.268246806908389,641.88232421875,4485.0,81.75886535644531,600.2967529296875,637,890,648,897,418.27899169921875
47,654.7588837209303,900.653023255814,20,6.484815998368867,3.840203310672391,0.8058028832560564,-15.913723288336557,268.75,718.0,31.53244400024414,92.13543701171875,652,899,659,903,429.88104248046875
48,669.7170050761422,562.7858714043994,20,6.484815998368867,3.840203310672391,0.8058028832560564,-74.08627671166346,591.0,2804.0,94.59733581542969,467.75933837890625,668,560,672,567,181.002685546875
49,711.0404183154325,799.7357263990955,32,8.28808427932367,4.930279807356562,0.8038266448822246,-37.82533397852643,331.6875,1322.0,44.15911865234375,173.47901916503906,708,797,715,804,367.34149169921875
