frame,0.7GPa_3.0-8.0,0.7GPa_4.0-9.0,0.7GPa_5.0-10.0,0.7GPa_6.0-11.0,0.7GPa_7.0-12.0,0.7GPa_8.0-13.0,0.7GPa_9.0-14.0,0.7GPa_10.0-15.0,0.7GPa_11.0-16.0,0.7GPa_12.0-17.0,0.7GPa_13.0-18.0,0.7GPa_14.0-19.0,0.7GPa_15.0-20.0,0.7GPa_16.0-21.0,0.7GPa_17.0-22.0,0.7GPa_18.0-23.0,1GPa_3.0-8.0,1GPa_4.0-9.0,1GPa_5.0-10.0,1GPa_6.0-11.0,1GPa_7.0-12.0,1GPa_8.0-13.0,1GPa_9.0-14.0,1GPa_10.0-15.0,1GPa_11.0-16.0,1GPa_12.0-17.0,1GPa_13.0-18.0,1GPa_14.0-19.0,1GPa_15.0-20.0,1GPa_16.0-21.0,1GPa_17.0-22.0,1GPa_18.0-23.0,1.3GPa_3.0-8.0,1.3GPa_4.0-9.0,1.3GPa_5.0-10.0,1.3GPa_6.0-11.0,1.3GPa_7.0-12.0,1.3GPa_8.0-13.0,1.3GPa_9.0-14.0,1.3GPa_10.0-15.0,1.3GPa_11.0-16.0,1.3GPa_12.0-17.0,1.3GPa_13.0-18.0,1.3GPa_14.0-19.0,1.3GPa_15.0-20.0,1.3GPa_16.0-21.0,1.3GPa_17.0-22.0,1.3GPa_18.0-23.0,1.5GPa_3.0-8.0,1.5GPa_4.0-9.0,1.5GPa_5.0-10.0,1.5GPa_6.0-11.0,1.5GPa_7.0-12.0,1.5GPa_8.0-13.0,1.5GPa_9.0-14.0,1.5GPa_10.0-15.0,1.5GPa_11.0-16.0,1.5GPa_12.0-17.0,1.5GPa_13.0-18.0,1.5GPa_14.0-19.0,1.5GPa_15.0-20.0,1.5GPa_16.0-21.0,1.5GPa_17.0-22.0,1.5GPa_18.0-23.0,2.3GPa_3.0-8.0,2.3GPa_4.0-9.0,2.3GPa_5.0-10.0,2.3GPa_6.0-11.0,2.3GPa_7.0-12.0,2.3GPa_8.0-13.0,2.3GPa_9.0-14.0,2.3GPa_10.0-15.0,2.3GPa_11.0-16.0,2.3GPa_12.0-17.0,2.3GPa_13.0-18.0,2.3GPa_14.0-19.0,2.3GPa_15.0-20.0,2.3GPa_16.0-21.0,2.3GPa_17.0-22.0,2.3GPa_18.0-23.0,2.4GPa_decomp_3.0-8.0,2.4GPa_decomp_4.0-9.0,2.4GPa_decomp_5.0-10.0,2.4GPa_decomp_6.0-11.0,2.4GPa_decomp_7.0-12.0,2.4GPa_decomp_8.0-13.0,2.4GPa_decomp_9.0-14.0,2.4GPa_decomp_10.0-15.0,2.4GPa_decomp_11.0-16.0,2.4GPa_decomp_12.0-17.0,2.4GPa_decomp_13.0-18.0,2.4GPa_decomp_14.0-19.0,2.4GPa_decomp_15.0-20.0,2.4GPa_decomp_16.0-21.0,2.4GPa_decomp_17.0-22.0,2.4GPa_decomp_18.0-23.0,3.9GPa_3.0-8.0,3.9GPa_4.0-9.0,3.9GPa_5.0-10.0,3.9GPa_6.0-11.0,3.9GPa_7.0-12.0,3.9GPa_8.0-13.0,3.9GPa_9.0-14.0,3.9GPa_10.0-15.0,3.9GPa_11.0-16.0,3.9GPa_12.0-17.0,3.9GPa_13.0-18.0,3.9GPa_14.0-19.0,3.9GPa_15.0-20.0,3.9GPa_16.0-21.0,3.9GPa_17.0-22.0,3.9GPa_18.0-23.0,5GPa_3.0-8.0,5GPa_4.0-9.0,5GPa_5.0-10.0,5GPa_6.0-11.0,5GPa_7.0-12.0,5GPa_8.0-13.0,5GPa_9.0-14.0,5GPa_10.0-15.0,5GPa_11.0-16.0,5GPa_12.0-17.0,5GPa_13.0-18.0,5GPa_14.0-19.0,5GPa_15.0-20.0,5GPa_16.0-21.0,5GPa_17.0-22.0,5GPa_18.0-23.0,6.2GPa_3.0-8.0,6.2GPa_4.0-9.0,6.2GPa_5.0-10.0,6.2GPa_6.0-11.0,6.2GPa_7.0-12.0,6.2GPa_8.0-13.0,6.2GPa_9.0-14.0,6.2GPa_10.0-15.0,6.2GPa_11.0-16.0,6.2GPa_12.0-17.0,6.2GPa_13.0-18.0,6.2GPa_14.0-19.0,6.2GPa_15.0-20.0,6.2GPa_16.0-21.0,6.2GPa_17.0-22.0,6.2GPa_18.0-23.0,6.6GPa_3.0-8.0,6.6GPa_4.0-9.0,6.6GPa_5.0-10.0,6.6GPa_6.0-11.0,6.6GPa_7.0-12.0,6.6GPa_8.0-13.0,6.6GPa_9.0-14.0,6.6GPa_10.0-15.0,6.6GPa_11.0-16.0,6.6GPa_12.0-17.0,6.6GPa_13.0-18.0,6.6GPa_14.0-19.0,6.6GPa_15.0-20.0,6.6GPa_16.0-21.0,6.6GPa_17.0-22.0,6.6GPa_18.0-23.0,7.4GPa_3.0-8.0,7.4GPa_4.0-9.0,7.4GPa_5.0-10.0,7.4GPa_6.0-11.0,7.4GPa_7.0-12.0,7.4GPa_8.0-13.0,7.4GPa_9.0-14.0,7.4GPa_10.0-15.0,7.4GPa_11.0-16.0,7.4GPa_12.0-17.0,7.4GPa_13.0-18.0,7.4GPa_14.0-19.0,7.4GPa_15.0-20.0,7.4GPa_16.0-21.0,7.4GPa_17.0-22.0,7.4GPa_18.0-23.0,8.5GPa_3.0-8.0,8.5GPa_4.0-9.0,8.5GPa_5.0-10.0,8.5GPa_6.0-11.0,8.5GPa_7.0-12.0,8.5GPa_8.0-13.0,8.5GPa_9.0-14.0,8.5GPa_10.0-15.0,8.5GPa_11.0-16.0,8.5GPa_12.0-17.0,8.5GPa_13.0-18.0,8.5GPa_14.0-19.0,8.5GPa_15.0-20.0,8.5GPa_16.0-21.0,8.5GPa_17.0-22.0,8.5GPa_18.0-23.0,9.8GPa_3.0-8.0,9.8GPa_4.0-9.0,9.8GPa_5.0-10.0,9.8GPa_6.0-11.0,9.8GPa_7.0-12.0,9.8GPa_8.0-13.0,9.8GPa_9.0-14.0,9.8GPa_10.0-15.0,9.8GPa_11.0-16.0,9.8GPa_12.0-17.0,9.8GPa_13.0-18.0,9.8GPa_14.0-19.0,9.8GPa_15.0-20.0,9.8GPa_16.0-21.0,9.8GPa_17.0-22.0,9.8GPa_18.0-23.0,10.4GPa_3.0-8.0,10.4GPa_4.0-9.0,10.4GPa_5.0-10.0,10.4GPa_6.0-11.0,10.4GPa_7.0-12.0,10.4GPa_8.0-13.0,10.4GPa_9.0-14.0,10.4GPa_10.0-15.0,10.4GPa_11.0-16.0,10.4GPa_12.0-17.0,10.4GPa_13.0-18.0,10.4GPa_14.0-19.0,10.4GPa_15.0-20.0,10.4GPa_16.0-21.0,10.4GPa_17.0-22.0,10.4GPa_18.0-23.0,12.8GPa_3.0-8.0,12.8GPa_4.0-9.0,12.8GPa_5.0-10.0,12.8GPa_6.0-11.0,12.8GPa_7.0-12.0,12.8GPa_8.0-13.0,12.8GPa_9.0-14.0,12.8GPa_10.0-15.0,12.8GPa_11.0-16.0,12.8GPa_12.0-17.0,12.8GPa_13.0-18.0,12.8GPa_14.0-19.0,12.8GPa_15.0-20.0,12.8GPa_16.0-21.0,12.8GPa_17.0-22.0,12.8GPa_18.0-23.0,13.3GPa_3.0-8.0,13.3GPa_4.0-9.0,13.3GPa_5.0-10.0,13.3GPa_6.0-11.0,13.3GPa_7.0-12.0,13.3GPa_8.0-13.0,13.3GPa_9.0-14.0,13.3GPa_10.0-15.0,13.3GPa_11.0-16.0,13.3GPa_12.0-17.0,13.3GPa_13.0-18.0,13.3GPa_14.0-19.0,13.3GPa_15.0-20.0,13.3GPa_16.0-21.0,13.3GPa_17.0-22.0,13.3GPa_18.0-23.0,15.6GPa_3.0-8.0,15.6GPa_4.0-9.0,15.6GPa_5.0-10.0,15.6GPa_6.0-11.0,15.6GPa_7.0-12.0,15.6GPa_8.0-13.0,15.6GPa_9.0-14.0,15.6GPa_10.0-15.0,15.6GPa_11.0-16.0,15.6GPa_12.0-17.0,15.6GPa_13.0-18.0,15.6GPa_14.0-19.0,15.6GPa_15.0-20.0,15.6GPa_16.0-21.0,15.6GPa_17.0-22.0,15.6GPa_18.0-23.0
2.3GPa_17.0-22.0,0.762522,0.786123,0.697252,0.580013,0.633541,0.695125,0.59554,0.572961,0.682182,0.609956,0.397156,0.458364,0.611719,0.454774,0.589041,0.582074,0.416862,0.620151,0.645096,0.634355,0.655208,0.660765,0.518788,0.601438,0.574057,0.411894,0.392899,0.375575,0.258644,0.547587,0.647229,0.627296,0.773912,0.781829,0.702115,0.608145,0.664323,0.730856,0.624483,0.591769,0.69533,0.60134,0.415273,0.519655,0.694726,0.470103,0.602745,0.31903,0.308304,0.6057,0.68866,0.680114,0.669331,0.716802,0.618499,0.659033,0.693985,0.369143,0.326241,0.258916,0.213471,0.593439,0.6322,0.613901,0.437149,0.592548,0.562892,0.579062,0.55189,0.679253,0.618855,0.564065,0.42069,0.646382,0.614349,0.629877,0.630809,0.852518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3GPa_18.0-23.0,0.797222,0.682335,0.643763,0.426864,0.308998,0.409979,0.247071,0.385164,0.586233,0.690117,0.659918,0.622696,0.630306,0.394809,0.507006,0.51906,0.318413,0.660908,0.419377,0.458382,0.389949,0.553989,0.398641,0.435095,0.540184,0.266334,0.188017,0.216283,0.211294,0.453512,0.556319,0.484191,0.798666,0.670376,0.65751,0.463582,0.333945,0.453511,0.272193,0.368129,0.610433,0.668401,0.654756,0.651897,0.71049,0.412864,0.427541,0.255292,0.195489,0.657384,0.427185,0.447033,0.315363,0.502266,0.372776,0.474885,0.596826,0.275001,0.186694,0.204578,0.177578,0.469334,0.563923,0.497299,0.362123,0.58731,0.41715,0.51455,0.442359,0.624694,0.534699,0.526015,0.253118,0.5879,0.466331,0.497229,0.507642,0.754197,0.717165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4GPa_decomp_3.0-8.0,0.731143,0.676527,0.665033,0.533397,0.41791,0.522641,0.321352,0.566845,0.65072,0.591568,0.648566,0.559305,0.493862,0.393802,0.580599,0.458992,0.362226,0.617407,0.526369,0.503688,0.459934,0.528525,0.421561,0.51798,0.606568,0.355095,0.224159,0.244908,0.228637,0.587773,0.5777,0.623741,0.740164,0.684727,0.688935,0.572943,0.410364,0.53582,0.337317,0.528138,0.676195,0.616178,0.657731,0.677433,0.709364,0.48738,0.3734,0.228872,0.269433,0.701425,0.498753,0.463941,0.338233,0.500569,0.37111,0.588769,0.604943,0.323991,0.253839,0.218863,0.229676,0.584964,0.645086,0.642029,0.509917,0.681108,0.578754,0.600712,0.60629,0.601114,0.581572,0.499062,0.364379,0.655773,0.591325,0.592407,0.588144,0.532868,0.493808,0.747649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4GPa_decomp_4.0-9.0,0.686681,0.70753,0.673303,0.555043,0.567918,0.62828,0.473984,0.739576,0.701428,0.572181,0.525685,0.448823,0.428253,0.354025,0.605199,0.468515,0.380553,0.526198,0.59302,0.515585,0.518315,0.453668,0.416109,0.423116,0.625113,0.366671,0.274912,0.321658,0.241887,0.621488,0.547983,0.665037,0.698983,0.726964,0.695648,0.612877,0.547198,0.614967,0.483918,0.697039,0.711691,0.638855,0.558434,0.626745,0.681007,0.474575,0.399504,0.241469,0.258813,0.63155,0.554207,0.473692,0.403173,0.455108,0.396308,0.565096,0.556343,0.296056,0.265479,0.244036,0.241051,0.615229,0.61917,0.673674,0.540807,0.629837,0.654405,0.59068,0.654466,0.505593,0.560096,0.362839,0.348426,0.606607,0.621974,0.593535,0.572627,0.281466,0.407624,0.472129,0.819508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4GPa_decomp_5.0-10.0,0.839774,0.881074,0.623777,0.820238,0.917482,0.923255,0.896141,0.834037,0.869477,0.574734,0.415768,0.469285,0.636288,0.535958,0.745672,0.612004,0.446361,0.509324,0.727888,0.664098,0.705909,0.579744,0.585651,0.374271,0.580158,0.515076,0.514459,0.514358,0.321883,0.657384,0.697203,0.743165,0.851777,0.881847,0.634742,0.829567,0.923601,0.919647,0.903713,0.862307,0.865705,0.657509,0.501106,0.616631,0.787565,0.616114,0.739973,0.390812,0.254479,0.55232,0.764063,0.701702,0.709405,0.637325,0.669906,0.583427,0.67167,0.460546,0.457887,0.340128,0.278495,0.698778,0.68001,0.714969,0.550098,0.570307,0.669826,0.61039,0.635767,0.620105,0.694253,0.531865,0.427283,0.654207,0.705045,0.694359,0.688937,0.458844,0.748578,0.491936,0.481195,0.603966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4GPa_decomp_6.0-11.0,0.770002,0.702013,0.574215,0.606316,0.66851,0.730678,0.684885,0.554898,0.709081,0.545324,0.395807,0.472171,0.690789,0.591823,0.594592,0.53274,0.360619,0.485073,0.556411,0.606109,0.572698,0.659069,0.588639,0.36301,0.55133,0.498751,0.501459,0.460169,0.361159,0.562553,0.626532,0.593052,0.783087,0.694961,0.588197,0.600142,0.686695,0.758384,0.695014,0.594141,0.717886,0.629872,0.479541,0.574413,0.757121,0.615307,0.714692,0.410086,0.203459,0.46766,0.622634,0.657456,0.586306,0.695532,0.638016,0.478171,0.637458,0.489477,0.464634,0.302132,0.285807,0.569274,0.593543,0.560574,0.457514,0.521475,0.470349,0.515413,0.456099,0.668842,0.641369,0.56661,0.406965,0.590942,0.571405,0.606304,0.607496,0.776042,0.804129,0.744354,0.521132,0.393,0.783812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4GPa_decomp_7.0-12.0,0.824176,0.883145,0.605742,0.646295,0.698758,0.720258,0.662806,0.699463,0.765109,0.558266,0.407996,0.441898,0.589005,0.431221,0.64793,0.532127,0.363326,0.535316,0.674889,0.649064,0.698521,0.609117,0.539256,0.389685,0.505025,0.358584,0.338532,0.388587,0.251108,0.600728,0.655408,0.661397,0.832513,0.877374,0.616807,0.66181,0.716595,0.735092,0.682571,0.700007,0.770837,0.558103,0.453816,0.552061,0.735578,0.518083,0.610229,0.340952,0.199016,0.542603,0.6755,0.644785,0.67518,0.647802,0.612322,0.546543,0.650267,0.310716,0.326115,0.30794,0.259153,0.645831,0.637779,0.653222,0.493282,0.579252,0.641463,0.641227,0.639986,0.621716,0.6175,0.514646,0.362925,0.617793,0.623456,0.61986,0.628073,0.65442,0.839064,0.651804,0.521232,0.498629,0.863049,0.781835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4GPa_decomp_8.0-13.0,0.77418,0.797738,0.695619,0.484305,0.479456,0.566194,0.437737,0.487396,0.654177,0.5901,0.399299,0.424198,0.57658,0.392003,0.471389,0.455453,0.29796,0.549185,0.530784,0.552703,0.554052,0.616462,0.479992,0.365692,0.479366,0.274461,0.257671,0.286286,0.246519,0.511389,0.57242,0.535237,0.784856,0.792792,0.706117,0.509545,0.507499,0.608382,0.467304,0.488018,0.668178,0.570274,0.410415,0.512846,0.701382,0.469071,0.501228,0.272101,0.155307,0.526198,0.538456,0.552023,0.508635,0.634554,0.51577,0.464256,0.588629,0.269752,0.248434,0.24159,0.237217,0.529607,0.568385,0.535159,0.417223,0.554443,0.504558,0.552961,0.515466,0.624265,0.546972,0.475861,0.303722,0.565554,0.505572,0.531615,0.532416,0.874794,0.856641,0.793244,0.609544,0.462884,0.678139,0.825725,0.884379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4GPa_decomp_9.0-14.0,0.826541,0.811001,0.754505,0.555291,0.516868,0.569447,0.476369,0.566642,0.734288,0.774573,0.574871,0.619522,0.759474,0.55455,0.590954,0.604987,0.322099,0.575606,0.553271,0.570499,0.580307,0.655282,0.556726,0.388748,0.512176,0.32774,0.331847,0.408503,0.32589,0.553385,0.678313,0.605125,0.827976,0.795588,0.756431,0.591015,0.558342,0.613067,0.505351,0.554799,0.73992,0.743243,0.588903,0.674979,0.796059,0.561334,0.540524,0.328588,0.158235,0.553083,0.567596,0.565073,0.533379,0.626952,0.580258,0.513893,0.639956,0.346185,0.333449,0.348797,0.338511,0.586807,0.647189,0.602531,0.469833,0.590697,0.529341,0.579642,0.543087,0.673533,0.609452,0.519277,0.367064,0.635738,0.57659,0.589226,0.58804,0.676917,0.809402,0.72208,0.491003,0.436547,0.718105,0.752166,0.875153,0.897795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4GPa_decomp_10.0-15.0,0.885954,0.798324,0.721447,0.544684,0.426878,0.491379,0.341269,0.616788,0.725026,0.903858,0.920569,0.870088,0.769956,0.530813,0.691207,0.659599,0.33501,0.695043,0.445626,0.434715,0.41737,0.549257,0.445327,0.491347,0.561659,0.280023,0.252999,0.341797,0.266327,0.551554,0.706719,0.618488,0.87657,0.780359,0.730146,0.614118,0.4637,0.530541,0.371135,0.574645,0.738991,0.853741,0.901504,0.888221,0.823811,0.505167,0.413875,0.241324,0.197396,0.742689,0.462954,0.427808,0.339812,0.44874,0.400449,0.598067,0.635273,0.259018,0.203826,0.312919,0.261621,0.57576,0.706816,0.633214,0.418697,0.631914,0.45872,0.513486,0.502294,0.651692,0.599281,0.523858,0.310245,0.681082,0.593633,0.580569,0.581323,0.420235,0.577819,0.753103,0.69207,0.586403,0.564535,0.490664,0.606615,0.595277,0.738894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4GPa_decomp_11.0-16.0,0.937742,0.819056,0.715221,0.615937,0.541735,0.605618,0.491303,0.665183,0.776473,0.922978,0.910814,0.901158,0.877502,0.646571,0.763317,0.695271,0.376577,0.701456,0.487324,0.498735,0.467922,0.619788,0.519137,0.500945,0.619648,0.379449,0.374818,0.431295,0.302299,0.608754,0.761748,0.661831,0.929326,0.797155,0.726361,0.665494,0.575889,0.642355,0.511682,0.642278,0.790648,0.917002,0.926613,0.934247,0.901345,0.583003,0.565813,0.303123,0.21908,0.731809,0.527227,0.508351,0.409635,0.535449,0.491032,0.61912,0.684406,0.352202,0.311767,0.345073,0.274681,0.615207,0.733315,0.653326,0.446006,0.638657,0.470714,0.529702,0.499259,0.706708,0.657948,0.59015,0.355259,0.708351,0.635531,0.634435,0.631949,0.498558,0.650237,0.784499,0.678856,0.566365,0.678744,0.678189,0.664836,0.6515,0.782158,0.952663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4GPa_decomp_12.0-17.0,0.871532,0.790154,0.678463,0.476565,0.358381,0.452234,0.261278,0.567386,0.64118,0.809608,0.862903,0.770503,0.648829,0.386409,0.623695,0.517338,0.335301,0.732603,0.412415,0.396853,0.36187,0.481721,0.325423,0.491975,0.574658,0.198571,0.129777,0.190728,0.127786,0.52386,0.599714,0.55488,0.863036,0.779394,0.697444,0.539353,0.374566,0.479879,0.283875,0.517446,0.668469,0.76555,0.834699,0.815315,0.770836,0.371555,0.34817,0.126606,0.210934,0.781981,0.398231,0.359643,0.245361,0.394933,0.270121,0.5731,0.576466,0.16736,0.113341,0.182489,0.112556,0.524208,0.63321,0.574518,0.362354,0.624645,0.461057,0.504446,0.498248,0.578299,0.51546,0.477892,0.201889,0.614756,0.520748,0.513771,0.511178,0.513026,0.558557,0.818256,0.866345,0.70441,0.510111,0.503239,0.58109,0.634361,0.629138,0.909847,0.875952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4GPa_decomp_13.0-18.0,0.861207,0.804217,0.619506,0.761929,0.675274,0.717118,0.602604,0.81,0.845288,0.676497,0.738326,0.71562,0.698937,0.610017,0.832378,0.685175,0.525464,0.697847,0.714538,0.688753,0.664139,0.660551,0.611884,0.585954,0.745434,0.508144,0.444699,0.48194,0.391634,0.758422,0.768071,0.815768,0.865892,0.80788,0.639273,0.788363,0.663996,0.708739,0.606798,0.782662,0.860187,0.741243,0.79083,0.824419,0.869227,0.654726,0.669688,0.397274,0.385637,0.77574,0.691895,0.63996,0.533122,0.603136,0.559854,0.72674,0.752927,0.474941,0.459031,0.411614,0.364563,0.789781,0.811625,0.822944,0.659497,0.791823,0.756477,0.759155,0.769295,0.726397,0.760989,0.639501,0.501234,0.791157,0.779901,0.770057,0.770099,0.404044,0.567769,0.691888,0.838894,0.803326,0.729422,0.623785,0.679136,0.583912,0.58203,0.745386,0.780224,0.824536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4GPa_decomp_14.0-19.0,0.83196,0.700951,0.549688,0.549321,0.518167,0.543956,0.461864,0.613797,0.711666,0.820566,0.874939,0.856121,0.80296,0.609514,0.747614,0.659078,0.408052,0.661854,0.513653,0.506562,0.477391,0.559261,0.487263,0.555903,0.621139,0.406976,0.329597,0.381572,0.285417,0.609839,0.723873,0.648712,0.819697,0.678339,0.561132,0.581964,0.545392,0.568626,0.476837,0.591799,0.734626,0.792645,0.900372,0.876786,0.812689,0.54822,0.507006,0.349285,0.272953,0.704169,0.529338,0.497788,0.415034,0.475637,0.463531,0.637917,0.671493,0.392058,0.344074,0.295118,0.263467,0.630107,0.707622,0.656316,0.479955,0.636391,0.504698,0.567915,0.53825,0.650784,0.641174,0.525023,0.38578,0.695641,0.631339,0.619116,0.6296,0.332182,0.535641,0.685963,0.607179,0.501695,0.586896,0.5428,0.598708,0.505,0.682699,0.881178,0.904261,0.798037,0.764031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4GPa_decomp_15.0-20.0,0.724017,0.630908,0.705919,0.436224,0.308949,0.362521,0.280748,0.360369,0.558406,0.857665,0.715255,0.749152,0.81042,0.520033,0.522392,0.584694,0.256984,0.587528,0.311287,0.331873,0.302695,0.523754,0.383432,0.433866,0.431839,0.231886,0.23214,0.262207,0.198729,0.352452,0.56573,0.429578,0.708062,0.60076,0.699833,0.479072,0.360597,0.413544,0.304,0.351818,0.572081,0.784207,0.679081,0.707571,0.712176,0.405779,0.409345,0.280168,0.14764,0.546886,0.359329,0.352179,0.263524,0.407429,0.354816,0.465538,0.527607,0.301268,0.276215,0.251291,0.204288,0.406747,0.534975,0.425153,0.277348,0.471485,0.289996,0.356481,0.301152,0.592995,0.4778,0.486071,0.254166,0.54165,0.421457,0.447711,0.440762,0.485268,0.649897,0.639869,0.319566,0.223183,0.490185,0.565554,0.544237,0.594918,0.792005,0.757488,0.806044,0.605155,0.41364,0.726891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
