frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.419948,,,,,,,,,,,,,,,,
1.3GPa,0.731673,0.40907,,,,,,,,,,,,,,,
1.5GPa,0.401585,0.73112,0.409901,,,,,,,,,,,,,,
2.3GPa,0.402535,0.563015,0.403722,0.551882,,,,,,,,,,,,,
2.4GPa_decomp,0.417452,0.533974,0.42325,0.558546,0.438911,,,,,,,,,,,,
3.9GPa,0.384079,0.439554,0.414522,0.460079,0.51314,0.387716,,,,,,,,,,,
5GPa,0.390129,0.427636,0.39116,0.429076,0.436746,0.469024,0.573828,,,,,,,,,,
6.2GPa,0.401082,0.427012,0.39413,0.440449,0.417769,0.395332,0.464589,0.570785,,,,,,,,,
6.6GPa,0.521434,0.425891,0.51741,0.408526,0.409265,0.465685,0.400435,0.454946,0.387495,,,,,,,,
7.4GPa,0.41141,0.431753,0.394526,0.458767,0.444296,0.394216,0.45334,0.521847,0.707267,0.386104,,,,,,,
8.5GPa,0.40898,0.418139,0.39204,0.429987,0.420725,0.396393,0.436974,0.48676,0.6343,0.391877,0.710573,,,,,,
9.8GPa,0.413127,0.441885,0.398636,0.441778,0.40857,0.381442,0.420076,0.489143,0.622698,0.395786,0.684076,0.742186,,,,,
10.4GPa,0.51477,0.431645,0.532965,0.39793,0.415883,0.435816,0.389273,0.398621,0.386841,0.638631,0.400776,0.38312,0.390938,,,,
12.8GPa,0.422622,0.446414,0.419712,0.452162,0.425025,0.504296,0.409478,0.458967,0.460858,0.436202,0.489648,0.537567,0.567797,0.440376,,,
13.3GPa,0.462331,0.409852,0.471149,0.388161,0.37825,0.418904,0.373422,0.397932,0.384267,0.563426,0.393018,0.37466,0.380249,0.638747,0.41821,,
15.6GPa,0.645158,0.473796,0.660233,0.482158,0.453159,0.47904,0.409659,0.421942,0.402284,0.579507,0.397739,0.379607,0.392607,0.597808,0.426965,0.498573,
