frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.280323,,,,,,,,,,,,,,,,
1.3GPa,0.277603,0.228169,,,,,,,,,,,,,,,
1.5GPa,0.22252,0.316216,0.252252,,,,,,,,,,,,,,
2.3GPa,0.241192,0.300532,0.228739,0.25,,,,,,,,,,,,,
2.4GPa_decomp,0.167722,0.226994,0.166078,0.194357,0.185759,,,,,,,,,,,,
3.9GPa,0.204852,0.278075,0.278997,0.289326,0.249322,0.180952,,,,,,,,,,,
5GPa,0.212366,0.268421,0.201166,0.241287,0.24,0.261745,0.264624,,,,,,,,,,
6.2GPa,0.249307,0.239075,0.208211,0.244624,0.243316,0.220779,0.254144,0.286517,,,,,,,,,
6.6GPa,0.24375,0.215297,0.173203,0.213018,0.233533,0.153571,0.175953,0.187683,0.198225,,,,,,,,
7.4GPa,0.259053,0.254545,0.211144,0.296089,0.301676,0.200637,0.288952,0.264463,0.260989,0.190616,,,,,,,
8.5GPa,0.264535,0.245989,0.211009,0.252101,0.247222,0.212121,0.258621,0.214286,0.231198,0.204334,0.334337,,,,,,
9.8GPa,0.273239,0.3125,0.236527,0.285319,0.242667,0.204473,0.226415,0.275,0.237197,0.215569,0.277778,0.310651,,,,,
10.4GPa,0.228412,0.248677,0.207207,0.204787,0.246575,0.150943,0.203252,0.220708,0.220708,0.193353,0.264789,0.220339,0.220109,,,,
12.8GPa,0.239316,0.287293,0.196375,0.241667,0.257703,0.212121,0.203297,0.238095,0.227778,0.185976,0.251412,0.22063,0.291545,0.213483,,,
13.3GPa,0.244713,0.220386,0.218954,0.204545,0.2,0.170139,0.192529,0.228739,0.210983,0.188312,0.242604,0.181818,0.217391,0.270186,0.188791,,
15.6GPa,0.280347,0.231169,0.303226,0.27095,0.258953,0.198697,0.2493,0.285714,0.246537,0.206687,0.222222,0.192308,0.245856,0.264368,0.232955,0.276398,
