frame_a,frame_b,overall,peak_presence_jaccard,peak_roi_area_cosine,same_window_acf_shifted_median,all_window_acf_frame_median
1GPa,0.7GPa,0.404205,0.28934,0.0276843,0.860459,0.816925
1.3GPa,0.7GPa,0.717315,0.292899,0.950323,0.995394,0.870827
1.3GPa,1GPa,0.389008,0.254642,0.0210931,0.85187,0.82121
1.5GPa,0.7GPa,0.386115,0.231738,0.0210715,0.881806,0.815496
1.5GPa,1GPa,0.700031,0.332487,0.869759,0.96329,0.867166
1.5GPa,1.3GPa,0.401259,0.275281,0.0112878,0.890546,0.822768
2.3GPa,0.7GPa,0.392256,0.25,0.0278345,0.855805,0.834966
2.3GPa,1GPa,0.528156,0.314356,0.346645,0.910311,0.880503
2.3GPa,1.3GPa,0.389805,0.25,0.0161498,0.85923,0.83743
2.3GPa,1.5GPa,0.572954,0.270471,0.546557,0.922125,0.865979
2.4GPa_decomp,0.7GPa,0.395581,0.188791,0.116734,0.861321,0.814797
2.4GPa_decomp,1GPa,0.54108,0.254286,0.589262,0.808467,0.757384
2.4GPa_decomp,1.3GPa,0.398873,0.198697,0.107112,0.866285,0.826258
2.4GPa_decomp,1.5GPa,0.541261,0.22807,0.607595,0.822237,0.764736
2.4GPa_decomp,2.3GPa,0.426895,0.217143,0.222413,0.823908,0.795933
3.9GPa,0.7GPa,0.370753,0.217722,0.0119801,0.856572,0.797615
3.9GPa,1GPa,0.428383,0.2925,0.025846,0.952116,0.852205
3.9GPa,1.3GPa,0.399151,0.296512,0.00987413,0.859872,0.802902
3.9GPa,1.5GPa,0.452863,0.310526,0.0795984,0.966829,0.846225
3.9GPa,2.3GPa,0.490704,0.272727,0.300387,0.880485,0.86024
3.9GPa,2.4GPa_decomp,0.377243,0.208211,0.104589,0.814525,0.733914
5GPa,0.7GPa,0.379031,0.21608,0.0100005,0.876103,0.834545
5GPa,1GPa,0.410615,0.280788,0.00921165,0.898005,0.866498
5GPa,1.3GPa,0.380775,0.220109,0.00963872,0.881172,0.830742
5GPa,1.5GPa,0.410143,0.255639,0.0151035,0.933444,0.862999
5GPa,2.3GPa,0.414463,0.270677,0.0342365,0.891537,0.87432
5GPa,2.4GPa_decomp,0.425152,0.28483,0.143273,0.84011,0.763054
5GPa,3.9GPa,0.574229,0.280519,0.544176,0.929785,0.845585
6.2GPa,0.7GPa,0.390837,0.259067,0.0156225,0.864661,0.816963
6.2GPa,1GPa,0.406504,0.263923,0.0196877,0.894613,0.862018
6.2GPa,1.3GPa,0.383478,0.23224,0.0172526,0.872466,0.816836
6.2GPa,1.5GPa,0.414226,0.263819,0.0318062,0.919779,0.855943
6.2GPa,2.3GPa,0.403925,0.269327,0.00851929,0.886499,0.865368
6.2GPa,2.4GPa_decomp,0.375956,0.252252,0.0496937,0.799596,0.752271
6.2GPa,3.9GPa,0.503653,0.27907,0.320634,0.924362,0.832772
6.2GPa,5GPa,0.66637,0.303665,0.785014,0.983491,0.852564
6.6GPa,0.7GPa,0.507051,0.260234,0.34859,0.917458,0.852673
6.6GPa,1GPa,0.413499,0.238727,0.122749,0.856886,0.81162
6.6GPa,1.3GPa,0.498471,0.196375,0.396179,0.914619,0.853083
6.6GPa,1.5GPa,0.399623,0.230769,0.0794748,0.866643,0.811217
6.6GPa,2.3GPa,0.400587,0.261111,0.0541485,0.844904,0.826486
6.6GPa,2.4GPa_decomp,0.454862,0.179153,0.335618,0.848209,0.812206
6.6GPa,3.9GPa,0.392439,0.202186,0.109999,0.852211,0.788213
6.6GPa,5GPa,0.429872,0.210383,0.193279,0.869952,0.82843
6.6GPa,6.2GPa,0.387186,0.219178,0.0697118,0.839123,0.811567
7.4GPa,0.7GPa,0.39393,0.27154,0.011548,0.86308,0.818739
7.4GPa,1GPa,0.413472,0.272506,0.024335,0.901635,0.869783
7.4GPa,1.3GPa,0.381014,0.228261,0.00948748,0.869674,0.828943
7.4GPa,1.5GPa,0.438702,0.309091,0.0432869,0.933862,0.871747
7.4GPa,2.3GPa,0.430288,0.321244,0.01034,0.915811,0.877258
7.4GPa,2.4GPa_decomp,0.383518,0.229412,0.070656,0.841682,0.757935
7.4GPa,3.9GPa,0.456284,0.301837,0.134641,0.917379,0.845153
7.4GPa,5GPa,0.541726,0.279487,0.417189,0.943974,0.866358
7.4GPa,6.2GPa,0.663408,0.28133,0.793467,0.988857,0.860871
7.4GPa,6.6GPa,0.376253,0.211957,0.025207,0.859274,0.817673
8.5GPa,0.7GPa,0.392906,0.268293,0.0166066,0.8541,0.821342
8.5GPa,1GPa,0.405503,0.263158,0.0191722,0.889785,0.864595
8.5GPa,1.3GPa,0.381967,0.230114,0.0103819,0.870189,0.828497
8.5GPa,1.5GPa,0.416832,0.276316,0.02949,0.909841,0.862039
8.5GPa,2.3GPa,0.41006,0.268734,0.0143142,0.902546,0.874664
8.5GPa,2.4GPa_decomp,0.382352,0.235294,0.0537964,0.839357,0.773257
8.5GPa,3.9GPa,0.429182,0.27882,0.0801928,0.905305,0.843176
8.5GPa,5GPa,0.465771,0.227621,0.226038,0.937217,0.872324
8.5GPa,6.2GPa,0.566609,0.255208,0.526383,0.949219,0.863518
8.5GPa,6.6GPa,0.382294,0.227011,0.0244012,0.858701,0.825195
8.5GPa,7.4GPa,0.695578,0.345404,0.819232,0.983041,0.882057
9.8GPa,0.7GPa,0.406513,0.28084,0.0399576,0.863606,0.823405
