frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.322188,,,,,,,,,,,,,,,,
1.3GPa,0.325175,0.299685,,,,,,,,,,,,,,,
1.5GPa,0.270769,0.368098,0.295681,,,,,,,,,,,,,,
2.3GPa,0.282209,0.358434,0.29085,0.315951,,,,,,,,,,,,,
2.4GPa_decomp,0.216028,0.281879,0.230189,0.254355,0.245734,,,,,,,,,,,,
3.9GPa,0.253968,0.329193,0.338129,0.353333,0.321543,0.234657,,,,,,,,,,,
5GPa,0.239521,0.322485,0.24127,0.291793,0.319018,0.312727,0.321429,,,,,,,,,,
6.2GPa,0.28254,0.308383,0.257426,0.309148,0.308411,0.285714,0.318937,0.346278,,,,,,,,,
6.6GPa,0.281787,0.26087,0.223776,0.263158,0.296667,0.198502,0.244898,0.25,0.245847,,,,,,,,
7.4GPa,0.322785,0.318713,0.266026,0.353312,0.360502,0.25,0.347541,0.314985,0.308411,0.242812,,,,,,,
8.5GPa,0.320132,0.296407,0.26087,0.308917,0.3,0.271062,0.31,0.263804,0.292605,0.253378,0.372937,,,,,,
9.8GPa,0.326984,0.370821,0.282468,0.357595,0.295522,0.262976,0.300633,0.32716,0.3125,0.271242,0.331288,0.377483,,,,,
10.4GPa,0.275081,0.30581,0.244966,0.257764,0.318328,0.213523,0.248387,0.280757,0.277419,0.258621,0.331169,0.268608,0.293375,,,,
12.8GPa,0.271845,0.348101,0.245791,0.299035,0.310897,0.287879,0.257329,0.306452,0.282468,0.238095,0.286164,0.277778,0.340984,0.27907,,,
13.3GPa,0.305842,0.274691,0.27957,0.245223,0.257143,0.220149,0.247492,0.289474,0.269103,0.258065,0.285714,0.235294,0.261146,0.323843,0.236667,,
15.6GPa,0.321429,0.27907,0.35689,0.314465,0.309598,0.237762,0.294498,0.334395,0.298413,0.255814,0.281818,0.223565,0.289634,0.3125,0.275641,0.327586,
