frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.416982,,,,,,,,,,,,,,,,
1.3GPa,0.726177,0.399089,,,,,,,,,,,,,,,
1.5GPa,0.398668,0.725135,0.400825,,,,,,,,,,,,,,
2.3GPa,0.399722,0.558448,0.395993,0.544308,,,,,,,,,,,,,
2.4GPa_decomp,0.40964,0.524792,0.4112,0.546698,0.426827,,,,,,,,,,,,
3.9GPa,0.379376,0.434295,0.408227,0.451805,0.504108,0.376841,,,,,,,,,,,
5GPa,0.389235,0.423565,0.383947,0.423967,0.424714,0.460573,0.568066,,,,,,,,,,
6.2GPa,0.397512,0.417286,0.384572,0.433257,0.407392,0.382479,0.454397,0.564576,,,,,,,,,
6.6GPa,0.51519,0.416802,0.508825,0.402031,0.39867,0.456897,0.390184,0.446597,0.37936,,,,,,,,
7.4GPa,0.407493,0.425406,0.388586,0.454572,0.437134,0.38279,0.449193,0.516585,0.699376,0.378215,,,,,,,
8.5GPa,0.40897,0.411795,0.385024,0.420476,0.412444,0.387794,0.429008,0.482197,0.624892,0.383261,0.706859,,,,,,
9.8GPa,0.411276,0.437254,0.391932,0.433286,0.398568,0.368895,0.407145,0.483113,0.612523,0.387412,0.676272,0.736204,,,,,
10.4GPa,0.507487,0.422799,0.524129,0.391925,0.40514,0.424403,0.38149,0.39024,0.375626,0.628777,0.39278,0.377181,0.382296,,,,
12.8GPa,0.421979,0.440492,0.411574,0.446438,0.415953,0.490358,0.40106,0.450098,0.450412,0.429867,0.485459,0.53136,0.559749,0.432247,,,
13.3GPa,0.456365,0.402373,0.462136,0.384025,0.368162,0.410003,0.366285,0.388778,0.376583,0.550743,0.387649,0.368532,0.374464,0.626746,0.411455,,
15.6GPa,0.645136,0.469419,0.659209,0.484401,0.447287,0.475897,0.40816,0.418009,0.39768,0.574408,0.390069,0.376909,0.389879,0.590717,0.422969,0.49375,
