frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.313725,,,,,,,,,,,,,,,,
1.3GPa,0.309434,0.271186,,,,,,,,,,,,,,,
1.5GPa,0.262458,0.350993,0.269784,,,,,,,,,,,,,,
2.3GPa,0.274247,0.345395,0.268817,0.294314,,,,,,,,,,,,,
2.4GPa_decomp,0.193182,0.251825,0.195021,0.215909,0.210526,,,,,,,,,,,,
3.9GPa,0.24055,0.314189,0.320158,0.32971,0.295775,0.203187,,,,,,,,,,,
5GPa,0.237013,0.310897,0.22069,0.277228,0.284768,0.288,0.304965,,,,,,,,,,
6.2GPa,0.272414,0.280645,0.230216,0.28866,0.278912,0.25,0.289855,0.328622,,,,,,,,,
6.6GPa,0.263941,0.234899,0.199234,0.244604,0.266423,0.170833,0.215613,0.226148,0.222628,,,,,,,,
7.4GPa,0.311644,0.300633,0.249123,0.341379,0.340206,0.218045,0.33574,0.3,0.285714,0.22028,,,,,,,
8.5GPa,0.320144,0.278317,0.240876,0.281787,0.276451,0.246964,0.287273,0.250836,0.265734,0.228782,0.362319,,,,,,
9.8GPa,0.321799,0.357616,0.263345,0.333333,0.267101,0.228137,0.263699,0.309764,0.282313,0.247312,0.307692,0.358696,,,,,
10.4GPa,0.254355,0.280528,0.21978,0.240678,0.287719,0.180392,0.226148,0.256849,0.245614,0.230189,0.308511,0.251773,0.268966,,,,
12.8GPa,0.270175,0.331058,0.222628,0.28223,0.285714,0.252066,0.233216,0.28125,0.252632,0.219331,0.274914,0.258865,0.316726,0.256318,,,
13.3GPa,0.288889,0.253333,0.253906,0.233449,0.228374,0.194215,0.227106,0.263345,0.247273,0.22179,0.270463,0.217857,0.244755,0.289575,0.217391,,
15.6GPa,0.317073,0.264798,0.35,0.319588,0.291946,0.226923,0.289753,0.323024,0.286207,0.23741,0.260586,0.216393,0.282392,0.29078,0.266436,0.313433,
