peak_group,group_two_theta,reliable,coverage_fraction,detected_frame_count,detected_fraction,roi_presence_count,roi_fraction,roi_presence_threshold,max_roi_area
26,2.9885,1,0.529412,6,0.352941,9,0.529412,0.0001,0.000686731
27,3.0156,1,0.470588,7,0.411765,8,0.470588,0.0001,0.000670304
28,3.0634,1,0.411765,7,0.411765,3,0.176471,0.0001,0.000316184
29,3.113,1,0.705882,12,0.705882,6,0.352941,0.000195161,0.00195161
30,3.1379,1,0.529412,9,0.529412,6,0.352941,0.000195202,0.00195202
31,3.1631,1,0.411765,6,0.352941,7,0.411765,0.000233199,0.00233199
32,3.1895,1,0.470588,6,0.352941,8,0.470588,0.000204083,0.00204083
33,3.2261,1,0.411765,7,0.411765,6,0.352941,0.0001,0.000920476
34,3.2501,0,0.235294,4,0.235294,2,0.117647,0.0001,0.000225185
35,3.2967,0,0.117647,2,0.117647,0,0,0.0001,5.76291e-05
36,3.3878,1,0.823529,14,0.823529,11,0.647059,0.000577826,0.00577826
37,3.4122,1,0.705882,12,0.705882,1,0.0588235,0.0001,0.000103855
38,3.4519,1,0.764706,13,0.764706,12,0.705882,0.0001,0.000613584
39,3.4838,1,0.352941,6,0.352941,6,0.352941,0.0001,0.00051334
40,3.5116,1,0.470588,8,0.470588,8,0.470588,0.0001,0.000885278
41,3.5406,1,0.588235,10,0.588235,9,0.529412,0.0001,0.000599283
42,3.5754,1,0.647059,10,0.588235,11,0.647059,0.0001,0.000532591
43,3.615,1,0.588235,7,0.411765,10,0.588235,0.000132291,0.00132291
44,3.6417,1,0.411765,7,0.411765,7,0.411765,0.000156528,0.00156528
45,3.6613,1,0.411765,7,0.411765,7,0.411765,0.0001,0.000515815
46,3.706,1,0.705882,8,0.470588,12,0.705882,0.000113889,0.00113889
47,3.7422,1,0.588235,7,0.411765,10,0.588235,0.000454491,0.00454491
48,3.7793,1,0.529412,9,0.529412,7,0.411765,0.00112397,0.0112397
49,3.8058,1,0.764706,13,0.764706,7,0.411765,0.00112731,0.0112731
50,3.838,1,0.588235,10,0.588235,7,0.411765,0.000968002,0.00968002
51,3.8753,0,0.411765,2,0.117647,7,0.411765,0.000463558,0.00463558
52,3.9157,1,0.352941,6,0.352941,6,0.352941,0.0001,0.000610764
53,3.9485,1,0.352941,6,0.352941,5,0.294118,0.0001,0.000447753
54,3.9838,0,0.411765,3,0.176471,7,0.411765,0.0001,0.000720225
55,4.0111,1,0.529412,9,0.529412,5,0.294118,0.0001,0.000472733
56,4.0518,1,0.529412,9,0.529412,1,0.0588235,0.000590629,0.00590629
57,4.0801,1,0.411765,7,0.411765,1,0.0588235,0.000934548,0.00934548
58,4.1146,1,0.411765,7,0.411765,1,0.0588235,0.00104251,0.0104251
59,4.1424,1,0.352941,6,0.352941,1,0.0588235,0.000958306,0.00958306
