peak_group,group_two_theta,reliable,coverage_fraction,detected_frame_count,detected_fraction,roi_presence_count,roi_fraction,roi_presence_threshold,max_roi_area
344,14.0309,1,0.411765,5,0.294118,7,0.411765,0.000634334,0.00634334
345,14.0614,1,0.529412,7,0.411765,9,0.529412,0.000586916,0.00586916
346,14.0931,1,0.529412,5,0.294118,9,0.529412,0.00155518,0.0155518
347,14.1355,1,0.823529,14,0.823529,9,0.529412,0.00181036,0.0181036
348,14.1748,0,0.411765,3,0.176471,7,0.411765,0.00147417,0.0147417
349,14.1965,1,0.647059,11,0.647059,9,0.529412,0.000836899,0.00836899
350,14.2468,0,0.235294,4,0.235294,3,0.176471,0.000696414,0.00696414
351,14.2881,0,0.176471,3,0.176471,2,0.117647,0.000430791,0.00430791
352,14.3284,0,0.411765,4,0.235294,7,0.411765,0.000131506,0.00131506
353,14.3768,1,0.294118,5,0.294118,4,0.235294,0.000160973,0.00160973
354,14.4031,0,0.352941,3,0.176471,6,0.352941,0.000127527,0.00127527
355,14.4606,1,0.294118,5,0.294118,1,0.0588235,0.00167156,0.0167156
356,14.4866,1,0.470588,8,0.470588,2,0.117647,0.00423474,0.0423474
357,14.5253,0,0.235294,4,0.235294,2,0.117647,0.00549271,0.0549271
358,14.5434,1,0.294118,5,0.294118,2,0.117647,0.0053175,0.053175
359,14.5898,0,0.235294,4,0.235294,4,0.235294,0.00545821,0.0545821
360,14.6076,1,0.411765,7,0.411765,4,0.235294,0.00544624,0.0544624
361,14.6457,0,0.235294,4,0.235294,3,0.176471,0.00410353,0.0410353
362,14.6846,0,0.117647,2,0.117647,2,0.117647,0.0020893,0.020893
363,14.705,0,0.294118,4,0.235294,5,0.294118,0.00142723,0.0142723
364,14.7468,1,0.352941,6,0.352941,4,0.235294,0.00108163,0.0108163
365,14.7678,0,0.176471,3,0.176471,3,0.176471,0.00238154,0.0238154
366,14.8111,1,0.352941,6,0.352941,2,0.117647,0.00293196,0.0293196
367,14.8569,1,0.294118,5,0.294118,3,0.176471,0.00171848,0.0171848
368,14.8745,1,0.352941,6,0.352941,4,0.235294,0.00106059,0.0106059
369,14.9073,0,0.294118,3,0.176471,5,0.294118,0.00052135,0.0052135
370,14.9534,0,0.235294,4,0.235294,4,0.235294,0.000810056,0.00810056
371,14.9924,0,0.352941,2,0.117647,6,0.352941,0.00059404,0.0059404
372,15.0218,0,0.529412,4,0.235294,9,0.529412,0.000522294,0.00522294
373,15.0583,1,0.529412,6,0.352941,9,0.529412,0.00068944,0.0068944
374,15.0895,0,0.529412,3,0.176471,9,0.529412,0.000913377,0.00913377
375,15.129,1,0.470588,8,0.470588,5,0.294118,0.00102625,0.0102625
376,15.1441,0,0.352941,3,0.176471,6,0.352941,0.000968715,0.00968715
377,15.1827,0,0.411765,4,0.235294,7,0.411765,0.000476379,0.00476379
378,15.2243,1,0.529412,8,0.470588,9,0.529412,0.000173011,0.00173011
379,15.2602,0,0.470588,1,0.0588235,8,0.470588,0.000391698,0.00391698
380,15.3101,1,0.470588,8,0.470588,3,0.176471,0.000447543,0.00447543
381,15.3341,1,0.411765,5,0.294118,7,0.411765,0.000351688,0.00351688
382,15.3747,0,0.529412,4,0.235294,9,0.529412,0.000338885,0.00338885
383,15.4154,1,0.647059,9,0.529412,11,0.647059,0.00015437,0.0015437
384,15.4505,0,0.294118,4,0.235294,5,0.294118,0.000174557,0.00174557
385,15.5053,1,0.294118,5,0.294118,4,0.235294,0.000168377,0.00168377
386,15.5543,0,0.235294,3,0.176471,4,0.235294,0.000201891,0.00201891
387,15.5754,0,0.294118,3,0.176471,5,0.294118,0.000542357,0.00542357
388,15.6206,1,0.411765,7,0.411765,4,0.235294,0.000662337,0.00662337
389,15.6652,1,0.529412,9,0.529412,3,0.176471,0.00241072,0.0241072
390,15.718,1,0.411765,7,0.411765,1,0.0588235,0.0153472,0.153472
391,15.7443,1,0.294118,5,0.294118,1,0.0588235,0.0153972,0.153972
392,15.7949,0,0.235294,4,0.235294,1,0.0588235,0.0071552,0.071552
393,15.8196,1,0.294118,5,0.294118,1,0.0588235,0.00331251,0.0331251
394,15.8557,1,0.294118,5,0.294118,3,0.176471,0.000392286,0.00392286
395,15.9024,0,0.235294,4,0.235294,4,0.235294,0.000657076,0.00657076
396,15.935,1,0.411765,7,0.411765,3,0.176471,0.000743892,0.00743892
397,15.9743,1,0.411765,7,0.411765,4,0.235294,0.000645447,0.00645447
398,16.0158,0,0.294118,3,0.176471,5,0.294118,0.000442415,0.00442415
399,16.052,1,0.470588,8,0.470588,4,0.235294,0.000486834,0.00486834
400,16.0909,0,0.235294,4,0.235294,4,0.235294,0.000464656,0.00464656
401,16.1297,1,0.411765,7,0.411765,7,0.411765,0.000360651,0.00360651
402,16.1631,0,0.411765,4,0.235294,7,0.411765,0.000382461,0.00382461
403,16.1955,0,0.352941,4,0.235294,6,0.352941,0.000709482,0.00709482
404,16.2249,0,0.294118,4,0.235294,5,0.294118,0.000913409,0.00913409
405,16.2724,1,0.352941,6,0.352941,4,0.235294,0.000937616,0.00937616
406,16.3083,1,0.352941,6,0.352941,5,0.294118,0.000744778,0.00744778
407,16.34,1,0.352941,5,0.294118,6,0.352941,0.000459145,0.00459145
408,16.3804,0,0.411765,3,0.176471,7,0.411765,0.000211919,0.00211919
409,16.4204,1,0.352941,6,0.352941,6,0.352941,0.000317743,0.00317743
410,16.4503,0,0.294118,4,0.235294,5,0.294118,0.000290089,0.00290089
411,16.4949,0,0.470588,4,0.235294,8,0.470588,0.000328471,0.00328471
412,16.5347,0,0.294118,4,0.235294,5,0.294118,0.000410952,0.00410952
413,16.559,0,0.235294,4,0.235294,4,0.235294,0.000554762,0.00554762
414,16.5983,1,0.294118,5,0.294118,4,0.235294,0.000404592,0.00404592
415,16.6183,1,0.352941,5,0.294118,6,0.352941,0.000480483,0.00480483
416,16.6492,1,0.529412,6,0.352941,9,0.529412,0.000357578,0.00357578
417,16.693,0,0.411765,4,0.235294,7,0.411765,0.000288407,0.00288407
418,16.7227,1,0.411765,6,0.352941,7,0.411765,0.000244789,0.00244789
419,16.7445,1,0.411765,7,0.411765,4,0.235294,0.000266813,0.00266813
420,16.7791,1,0.294118,5,0.294118,4,0.235294,0.000248238,0.00248238
421,16.8353,0,0.235294,4,0.235294,2,0.117647,0.0001,0.000438381
422,16.8533,1,0.411765,7,0.411765,3,0.176471,0.0001,0.000519313
423,16.8831,0,0.235294,4,0.235294,2,0.117647,0.0001,0.000689887
424,16.9205,1,0.411765,7,0.411765,6,0.352941,0.0001,0.000610428
425,16.9645,0,0.294118,4,0.235294,5,0.294118,0.00016565,0.0016565
426,17.0065,1,0.470588,8,0.470588,4,0.235294,0.000267667,0.00267667
427,17.0481,1,0.352941,6,0.352941,6,0.352941,0.000306128,0.00306128
428,17.0942,1,0.352941,5,0.294118,6,0.352941,0.000188713,0.00188713
429,17.1089,0,0.470588,3,0.176471,8,0.470588,0.000193762,0.00193762
430,17.1369,0,0.411765,4,0.235294,7,0.411765,0.000115632,0.00115632
431,17.1819,1,0.588235,10,0.588235,6,0.352941,0.000225573,0.00225573
432,17.2211,1,0.470588,8,0.470588,7,0.411765,0.000183914,0.00183914
433,17.2661,1,0.529412,9,0.529412,8,0.470588,0.000223702,0.00223702
434,17.3094,1,0.352941,6,0.352941,2,0.117647,0.00116162,0.0116162
435,17.3258,0,0.0588235,1,0.0588235,1,0.0588235,0.00160239,0.0160239
436,17.357,0,0.176471,3,0.176471,2,0.117647,0.00197696,0.0197696
437,17.3796,0,0.176471,2,0.117647,3,0.176471,0.0024651,0.024651
438,17.4206,0,0.235294,4,0.235294,3,0.176471,0.00285546,0.0285546
439,17.4491,0,0.176471,2,0.117647,3,0.176471,0.00217049,0.0217049
440,17.4735,1,0.529412,9,0.529412,4,0.235294,0.00190939,0.0190939
441,17.5038,1,0.470588,8,0.470588,6,0.352941,0.00138695,0.0138695
442,17.5345,0,0.411765,3,0.176471,7,0.411765,0.000467595,0.00467595
443,17.5789,0,0.470588,3,0.176471,8,0.470588,0.0001,0.000790622
444,17.6132,1,0.294118,5,0.294118,4,0.235294,0.000281537,0.00281537
445,17.6516,0,0.235294,4,0.235294,2,0.117647,0.000397988,0.00397988
446,17.6781,1,0.294118,5,0.294118,5,0.294118,0.000384456,0.00384456
447,17.7361,1,0.352941,6,0.352941,6,0.352941,0.000203858,0.00203858
448,17.7688,0,0.352941,3,0.176471,6,0.352941,0.000402661,0.00402661
449,17.7951,1,0.470588,8,0.470588,7,0.411765,0.000513325,0.00513325
450,17.8209,1,0.529412,7,0.411765,9,0.529412,0.000572984,0.00572984
451,17.8785,1,0.411765,7,0.411765,5,0.294118,0.000650938,0.00650938
452,17.9181,1,0.352941,6,0.352941,5,0.294118,0.00073708,0.0073708
453,17.9501,1,0.352941,6,0.352941,4,0.235294,0.000713957,0.00713957
454,17.9858,1,0.470588,8,0.470588,3,0.176471,0.000726238,0.00726238
455,18.0387,1,0.411765,7,0.411765,3,0.176471,0.000453189,0.00453189
456,18.0918,1,0.411765,7,0.411765,3,0.176471,0.0001,0.000581572
457,18.1182,0,0.235294,2,0.117647,4,0.235294,0.0001,0.000346761
458,18.1503,0,0.235294,3,0.176471,4,0.235294,0.0001,0.00042812
459,18.1944,1,0.529412,9,0.529412,5,0.294118,0.0001,0.00096376
460,18.2252,1,0.352941,6,0.352941,3,0.176471,0.000364483,0.00364483
461,18.2633,1,0.411765,7,0.411765,2,0.117647,0.0013073,0.013073
462,18.3065,1,0.294118,5,0.294118,2,0.117647,0.00160067,0.0160067
463,18.3239,1,0.352941,6,0.352941,3,0.176471,0.00159657,0.0159657
464,18.3747,0,0.294118,4,0.235294,5,0.294118,0.00147273,0.0147273
465,18.4013,0,0.352941,3,0.176471,6,0.352941,0.00106552,0.0106552
466,18.4404,1,0.411765,7,0.411765,6,0.352941,0.00103394,0.0103394
467,18.4698,1,0.411765,7,0.411765,7,0.411765,0.000985096,0.00985096
468,18.5009,1,0.470588,8,0.470588,8,0.470588,0.000717333,0.00717333
469,18.5382,1,0.411765,5,0.294118,7,0.411765,0.000379714,0.00379714
470,18.5654,0,0.470588,4,0.235294,8,0.470588,0.000208497,0.00208497
471,18.6014,1,0.470588,8,0.470588,5,0.294118,0.000144268,0.00144268
472,18.6241,1,0.352941,6,0.352941,3,0.176471,0.0001,0.000844245
473,18.6638,1,0.294118,5,0.294118,1,0.0588235,0.000866209,0.00866209
474,18.6912,1,0.294118,5,0.294118,1,0.0588235,0.00232288,0.0232288
475,18.7334,1,0.294118,5,0.294118,1,0.0588235,0.00299655,0.0299655
476,18.7498,1,0.411765,7,0.411765,1,0.0588235,0.0031054,0.031054
477,18.7799,1,0.352941,6,0.352941,1,0.0588235,0.00285403,0.0285403
478,18.8174,1,0.352941,6,0.352941,1,0.0588235,0.00270311,0.0270311
479,18.8504,1,0.411765,7,0.411765,1,0.0588235,0.000909472,0.00909472
480,18.8802,1,0.352941,6,0.352941,1,0.0588235,0.00157974,0.0157974
481,18.918,1,0.588235,9,0.529412,10,0.588235,0.0001,0.000916391
482,18.9464,1,0.588235,10,0.588235,10,0.588235,0.0001,0.000470656
483,18.9895,1,0.529412,9,0.529412,9,0.529412,0.0001,0.000322074
484,19.0301,1,0.588235,9,0.529412,10,0.588235,0.0001,0.000570962
485,19.0743,1,0.470588,8,0.470588,6,0.352941,0.0001,0.000602998
486,19.1021,1,0.294118,5,0.294118,2,0.117647,0.000420567,0.00420567
487,19.1391,1,0.352941,6,0.352941,6,0.352941,0.0001,0.000728381
488,19.1711,1,0.470588,8,0.470588,6,0.352941,0.0001,0.000634678
489,19.1982,1,0.529412,5,0.294118,9,0.529412,0.0001,0.000633687
490,19.2321,1,0.529412,8,0.470588,9,0.529412,0.000112272,0.00112272
491,19.264,1,0.647059,11,0.647059,6,0.352941,0.000129343,0.00129343
492,19.297,0,0.647059,3,0.176471,11,0.647059,0.00010124,0.0010124
493,19.3344,0,0.176471,2,0.117647,3,0.176471,0.0001,0.000236263
494,19.3631,0,0.411765,7,0.411765,0,0,0.0001,9.02503e-05
495,19.3831,1,0.352941,6,0.352941,3,0.176471,0.0001,0.0003059
496,19.4339,1,0.529412,9,0.529412,2,0.117647,0.0001,0.00013443
497,19.4646,1,0.529412,9,0.529412,1,0.0588235,0.0001,0.000108102
498,19.4969,1,0.352941,6,0.352941,4,0.235294,0.0001,0.000471116
499,19.5243,1,0.529412,9,0.529412,3,0.176471,0.0001,0.000752741
500,19.5825,1,0.647059,10,0.588235,11,0.647059,0.000148438,0.00148438
501,19.6118,1,0.764706,13,0.764706,12,0.705882,0.000140683,0.00140683
502,19.6602,1,0.470588,8,0.470588,7,0.411765,0.0001,0.000807844
503,19.69,0,0.294118,3,0.176471,5,0.294118,0.0001,0.000251019
504,19.7143,0,0.294118,5,0.294118,0,0,0.0001,9.95203e-05
505,19.7551,1,0.529412,9,0.529412,3,0.176471,0.0001,0.000151718
506,19.7842,1,0.294118,5,0.294118,5,0.294118,0.0001,0.000526932
507,19.807,0,0.294118,4,0.235294,5,0.294118,0.0001,0.000658926
508,19.8509,1,0.529412,9,0.529412,6,0.352941,0.0001,0.000854304
509,19.8776,0,0.235294,4,0.235294,4,0.235294,0.0001,0.000235899
510,19.9024,1,0.470588,8,0.470588,4,0.235294,0.0001,0.00036296
511,19.943,1,0.411765,7,0.411765,4,0.235294,0.0001,0.000266835
512,19.9749,1,0.411765,7,0.411765,1,0.0588235,0.000412462,0.00412462
513,19.9987,1,0.352941,6,0.352941,1,0.0588235,0.000808904,0.00808904
514,20.0458,1,0.294118,5,0.294118,2,0.117647,0.00174755,0.0174755
515,20.0705,1,0.470588,8,0.470588,2,0.117647,0.00238073,0.0238073
516,20.109,1,0.411765,7,0.411765,2,0.117647,0.00289033,0.0289033
517,20.1442,1,0.588235,10,0.588235,1,0.0588235,0.0022392,0.022392
518,20.1888,1,0.470588,8,0.470588,4,0.235294,0.000380987,0.00380987
519,20.206,1,0.352941,6,0.352941,6,0.352941,0.000138667,0.00138667
520,20.2414,1,0.470588,8,0.470588,8,0.470588,0.000149503,0.00149503
521,20.2682,1,0.529412,8,0.470588,9,0.529412,0.000135672,0.00135672
522,20.3032,1,0.411765,7,0.411765,4,0.235294,0.00127652,0.0127652
523,20.3617,1,0.470588,8,0.470588,1,0.0588235,0.00277147,0.0277147
524,20.3892,1,0.470588,8,0.470588,2,0.117647,0.00282567,0.0282567
525,20.41,0,0.176471,3,0.176471,2,0.117647,0.00186272,0.0186272
526,20.4649,1,0.411765,7,0.411765,2,0.117647,0.00156581,0.0156581
527,20.492,1,0.470588,8,0.470588,1,0.0588235,0.00128312,0.0128312
528,20.522,1,0.529412,9,0.529412,2,0.117647,0.000734646,0.00734646
529,20.5782,1,0.470588,8,0.470588,6,0.352941,0.0001,0.000574803
530,20.6013,1,0.294118,5,0.294118,4,0.235294,0.0001,0.000754216
531,20.6297,1,0.411765,7,0.411765,5,0.294118,0.0001,0.00072128
532,20.6669,1,0.588235,9,0.529412,10,0.588235,0.00016273,0.0016273
533,20.7018,1,0.529412,9,0.529412,8,0.470588,0.000147971,0.00147971
534,20.7285,1,0.529412,9,0.529412,9,0.529412,0.000110398,0.00110398
535,20.7685,1,0.411765,5,0.294118,7,0.411765,0.0001,0.00098222
536,20.8007,1,0.647059,11,0.647059,3,0.176471,0.0001,0.000875673
537,20.8298,1,0.411765,7,0.411765,4,0.235294,0.000128874,0.00128874
538,20.8685,0,0.294118,1,0.0588235,5,0.294118,0.000100464,0.00100464
539,20.9098,1,0.647059,11,0.647059,7,0.411765,0.0001,0.000609999
540,20.942,1,0.647059,11,0.647059,8,0.470588,0.0001,0.000511011
541,20.9801,0,0.529412,3,0.176471,9,0.529412,0.0001,0.000439091
542,21.0093,1,0.411765,7,0.411765,6,0.352941,0.0001,0.000403557
543,21.0361,1,0.411765,7,0.411765,7,0.411765,0.0001,0.000470196
544,21.0772,1,0.470588,8,0.470588,6,0.352941,0.0001,0.000342202
545,21.1158,1,0.647059,11,0.647059,7,0.411765,0.0001,0.000864127
546,21.1524,1,0.705882,12,0.705882,4,0.235294,0.000171523,0.00171523
547,21.1896,1,0.764706,13,0.764706,6,0.352941,0.000279348,0.00279348
548,21.2404,1,0.529412,9,0.529412,8,0.470588,0.0001,0.000521
549,21.2763,1,0.647059,11,0.647059,5,0.294118,0.0001,0.000568855
550,21.3167,0,0.176471,1,0.0588235,3,0.176471,0.0001,0.000371573
551,21.3731,1,0.411765,7,0.411765,4,0.235294,0.0001,0.000916363
552,21.3952,1,0.470588,8,0.470588,6,0.352941,0.0001069,0.001069
553,21.4181,1,0.411765,6,0.352941,7,0.411765,0.000126489,0.00126489
554,21.446,1,0.588235,10,0.588235,4,0.235294,0.000394693,0.00394693
555,21.4758,1,0.588235,10,0.588235,1,0.0588235,0.00120874,0.0120874
556,21.5133,1,0.764706,13,0.764706,1,0.0588235,0.00192233,0.0192233
557,21.5408,1,0.705882,12,0.705882,1,0.0588235,0.00210803,0.0210803
558,21.574,1,0.352941,6,0.352941,1,0.0588235,0.00127326,0.0127326
559,21.609,1,0.352941,6,0.352941,1,0.0588235,0.00021487,0.0021487
560,21.63,1,0.411765,7,0.411765,6,0.352941,0.0001,0.000920816
561,21.6659,1,0.411765,7,0.411765,4,0.235294,0.0001,0.000443852
562,21.7066,1,0.411765,7,0.411765,3,0.176471,0.000418019,0.00418019
563,21.7244,1,0.470588,8,0.470588,1,0.0588235,0.000527201,0.00527201
564,21.7602,1,0.647059,11,0.647059,3,0.176471,0.000323253,0.00323253
565,21.7987,1,0.588235,10,0.588235,8,0.470588,0.0001,0.000914405
566,21.8276,1,0.647059,6,0.352941,11,0.647059,0.0001,0.000698162
567,21.8512,1,0.588235,10,0.588235,9,0.529412,0.0001,0.000661493
568,21.8904,1,0.588235,7,0.411765,10,0.588235,0.0001,0.000551131
569,21.9195,1,0.588235,5,0.294118,10,0.588235,0.0001,0.000485239
570,21.951,1,0.588235,7,0.411765,10,0.588235,0.0001,0.000785412
571,21.977,1,0.529412,8,0.470588,9,0.529412,0.0001,0.000776111
572,22.0119,1,0.647059,10,0.588235,11,0.647059,0.0001,0.000665784
573,22.0486,1,0.588235,10,0.588235,10,0.588235,0.0001,0.000558198
574,22.0832,1,0.647059,11,0.647059,9,0.529412,0.0001,0.000475181
575,22.1095,0,0.647059,3,0.176471,11,0.647059,0.0001,0.000634015
576,22.151,1,0.705882,12,0.705882,8,0.470588,0.0001,0.000253607
577,22.1981,1,0.411765,5,0.294118,7,0.411765,0.0001,0.000962146
578,22.2341,1,0.823529,14,0.823529,8,0.470588,0.0001,0.000730056
579,22.2583,0,0.294118,4,0.235294,5,0.294118,0.0001,0.000834419
580,22.3073,1,0.294118,5,0.294118,5,0.294118,0.0001,0.000573756
581,22.3259,1,0.470588,8,0.470588,6,0.352941,0.0001,0.000574383
582,22.3593,1,0.705882,7,0.411765,12,0.705882,0.0001,0.000752306
583,22.4026,1,0.529412,9,0.529412,6,0.352941,0.000189219,0.00189219
584,22.4306,1,0.647059,11,0.647059,6,0.352941,0.000168262,0.00168262
585,22.4513,0,0.235294,3,0.176471,4,0.235294,0.000164737,0.00164737
586,22.5027,1,0.470588,8,0.470588,8,0.470588,0.0001,0.000460438
587,22.5418,1,0.647059,8,0.470588,11,0.647059,0.0001,0.00093433
588,22.5709,1,0.764706,13,0.764706,9,0.529412,0.0001,0.000846804
589,22.6039,1,0.647059,11,0.647059,10,0.588235,0.00014541,0.0014541
590,22.6353,1,0.470588,8,0.470588,4,0.235294,0.000264896,0.00264896
591,22.6637,1,0.470588,8,0.470588,6,0.352941,0.000281711,0.00281711
592,22.691,1,0.294118,5,0.294118,4,0.235294,0.000211341,0.00211341
593,22.7369,1,0.705882,12,0.705882,4,0.235294,0.000186834,0.00186834
594,22.7788,1,0.352941,6,0.352941,6,0.352941,0.000215829,0.00215829
595,22.8048,1,0.470588,6,0.352941,8,0.470588,0.000125409,0.00125409
596,22.8332,1,0.647059,8,0.470588,11,0.647059,0.0001,0.0007601
597,22.8679,1,0.882353,11,0.647059,15,0.882353,0.000103128,0.00103128
598,22.8993,1,0.470588,6,0.352941,8,0.470588,0.000239158,0.00239158
599,22.9314,1,0.588235,10,0.588235,9,0.529412,0.000188913,0.00188913
600,22.9568,1,0.588235,10,0.588235,9,0.529412,0.000131428,0.00131428
601,22.9913,1,0.588235,9,0.529412,10,0.588235,0.0001,0.000964281
602,23.046,1,0.647059,10,0.588235,11,0.647059,0.000134176,0.00134176
603,23.0753,1,0.529412,9,0.529412,8,0.470588,0.000232583,0.00232583
604,23.1038,1,0.529412,8,0.470588,9,0.529412,0.000238829,0.00238829
605,23.132,1,0.588235,10,0.588235,10,0.588235,0.00014872,0.0014872
606,23.1669,1,0.588235,5,0.294118,10,0.588235,0.000101368,0.00101368
607,23.201,1,0.647059,10,0.588235,11,0.647059,0.0001,0.000956285
608,23.2429,1,0.588235,10,0.588235,7,0.411765,0.000204896,0.00204896
609,23.2733,1,0.588235,7,0.411765,10,0.588235,0.000229053,0.00229053
610,23.3087,1,0.588235,10,0.588235,10,0.588235,0.000227818,0.00227818
611,23.3377,1,0.588235,10,0.588235,10,0.588235,0.000246541,0.00246541
612,23.3757,1,0.588235,7,0.411765,10,0.588235,0.000252659,0.00252659
613,23.4077,1,0.529412,9,0.529412,7,0.411765,0.000423333,0.00423333
614,23.4435,1,0.705882,12,0.705882,7,0.411765,0.000354943,0.00354943
615,23.4675,1,0.588235,10,0.588235,9,0.529412,0.000251589,0.00251589
616,23.5015,1,0.705882,7,0.411765,12,0.705882,0.000176913,0.00176913
617,23.5343,1,0.647059,11,0.647059,7,0.411765,0.000406488,0.00406488
618,23.5689,1,0.529412,9,0.529412,8,0.470588,0.000462431,0.00462431
619,23.6084,1,0.705882,12,0.705882,9,0.529412,0.000299741,0.00299741
620,23.6515,1,0.647059,5,0.294118,11,0.647059,0.000337707,0.00337707
621,23.6718,1,0.764706,13,0.764706,10,0.588235,0.000289931,0.00289931
622,23.7062,1,0.647059,5,0.294118,11,0.647059,0.000206022,0.00206022
623,23.7351,1,0.647059,9,0.529412,11,0.647059,0.000245556,0.00245556
624,23.7645,1,0.705882,10,0.588235,12,0.705882,0.000248299,0.00248299
625,23.7981,0,0.647059,4,0.235294,11,0.647059,0.000226247,0.00226247
