frame_a,frame_b,overall,peak_presence_jaccard,peak_roi_area_cosine,same_window_acf_shifted_median,all_window_acf_frame_median
10.4GPa,1GPa,0.431645,0.30581,0.146803,0.827646,0.766941
10.4GPa,1.3GPa,0.532965,0.244966,0.44477,0.936363,0.843488
10.4GPa,1.5GPa,0.39793,0.257764,0.086481,0.834273,0.766091
10.4GPa,2.3GPa,0.415883,0.318328,0.078278,0.810033,0.793189
10.4GPa,2.4GPa_decomp,0.435816,0.213523,0.196929,0.889973,0.826731
10.4GPa,3.9GPa,0.389273,0.248387,0.0872368,0.816559,0.752363
10.4GPa,5GPa,0.398621,0.280757,0.0390552,0.860314,0.777181
10.4GPa,6.2GPa,0.386841,0.277419,0.0378964,0.816233,0.767527
10.4GPa,6.6GPa,0.638631,0.258621,0.80444,0.918157,0.821005
10.4GPa,7.4GPa,0.400776,0.331169,0.0192743,0.814871,0.774069
10.4GPa,8.5GPa,0.38312,0.268608,0.0188078,0.831502,0.781096
10.4GPa,9.8GPa,0.390938,0.293375,0.0159749,0.825961,0.788479
12.8GPa,0.7GPa,0.422622,0.271845,0.0489595,0.909653,0.872387
12.8GPa,1GPa,0.446414,0.348101,0.0854645,0.879956,0.819653
12.8GPa,1.3GPa,0.419712,0.245791,0.055252,0.92708,0.877953
12.8GPa,1.5GPa,0.452162,0.299035,0.153911,0.88838,0.824334
12.8GPa,2.3GPa,0.425025,0.310897,0.0370218,0.887538,0.850642
12.8GPa,2.4GPa_decomp,0.504296,0.287879,0.319521,0.899217,0.852255
12.8GPa,3.9GPa,0.409478,0.257329,0.0867013,0.861972,0.806717
12.8GPa,5GPa,0.458967,0.306452,0.136766,0.919283,0.845486
12.8GPa,6.2GPa,0.460858,0.282468,0.209732,0.878842,0.822044
12.8GPa,6.6GPa,0.436202,0.238095,0.146454,0.907801,0.849152
12.8GPa,7.4GPa,0.489648,0.286164,0.288683,0.890753,0.831566
12.8GPa,8.5GPa,0.537567,0.277778,0.460384,0.885163,0.834648
12.8GPa,9.8GPa,0.567797,0.340984,0.489896,0.886566,0.827805
12.8GPa,10.4GPa,0.440376,0.27907,0.100189,0.926353,0.84916
13.3GPa,0.7GPa,0.462331,0.305842,0.141421,0.928807,0.847328
13.3GPa,1GPa,0.409852,0.274691,0.107155,0.833192,0.766165
13.3GPa,1.3GPa,0.471149,0.27957,0.197885,0.929902,0.853026
13.3GPa,1.5GPa,0.388161,0.245223,0.0609417,0.838185,0.776088
13.3GPa,2.3GPa,0.37825,0.257143,0.0229835,0.808986,0.797051
13.3GPa,2.4GPa_decomp,0.418904,0.220149,0.128508,0.885115,0.841842
13.3GPa,3.9GPa,0.373422,0.247492,0.0415114,0.805727,0.754675
13.3GPa,5GPa,0.397932,0.289474,0.0209625,0.856176,0.793948
13.3GPa,6.2GPa,0.384267,0.269103,0.0260893,0.829139,0.776173
13.3GPa,6.6GPa,0.563426,0.258065,0.550018,0.914473,0.83469
13.3GPa,7.4GPa,0.393018,0.285714,0.0133488,0.852409,0.790213
13.3GPa,8.5GPa,0.37466,0.235294,0.013347,0.852609,0.785208
13.3GPa,9.8GPa,0.380249,0.261146,0.0134551,0.83294,0.788152
13.3GPa,10.4GPa,0.638747,0.323843,0.682629,0.967823,0.846988
13.3GPa,12.8GPa,0.41821,0.236667,0.0833103,0.907682,0.858982
15.6GPa,0.7GPa,0.645158,0.321429,0.736677,0.931002,0.836362
15.6GPa,1GPa,0.473796,0.27907,0.290714,0.838046,0.808657
15.6GPa,1.3GPa,0.660233,0.35689,0.741853,0.924507,0.852431
15.6GPa,1.5GPa,0.482158,0.314465,0.257877,0.864569,0.812123
15.6GPa,2.3GPa,0.453159,0.309598,0.1695,0.847521,0.829641
