frame_a,frame_b,overall,peak_presence_jaccard,peak_roi_area_cosine,same_window_acf_shifted_median,all_window_acf_frame_median
13.3GPa,10.4GPa,0.626746,0.289575,0.682606,0.967823,0.846988
13.3GPa,12.8GPa,0.411455,0.217391,0.0832795,0.907682,0.858982
15.6GPa,0.7GPa,0.645136,0.317073,0.741686,0.931002,0.836362
15.6GPa,1GPa,0.469419,0.264798,0.292775,0.838046,0.808657
15.6GPa,1.3GPa,0.659209,0.35,0.746477,0.924507,0.852431
15.6GPa,1.5GPa,0.484401,0.319588,0.259376,0.864569,0.812123
15.6GPa,2.3GPa,0.447287,0.291946,0.17052,0.847521,0.829641
15.6GPa,2.4GPa_decomp,0.475897,0.226923,0.333709,0.860221,0.82878
15.6GPa,3.9GPa,0.40816,0.289753,0.0747054,0.824869,0.795739
15.6GPa,5GPa,0.418009,0.323024,0.041365,0.856429,0.808366
15.6GPa,6.2GPa,0.39768,0.286207,0.0341871,0.832869,0.804517
15.6GPa,6.6GPa,0.574408,0.23741,0.601104,0.931222,0.831591
15.6GPa,7.4GPa,0.390069,0.260586,0.0212027,0.854744,0.810358
15.6GPa,8.5GPa,0.376909,0.216393,0.0190588,0.86946,0.810412
15.6GPa,9.8GPa,0.389879,0.282392,0.0153229,0.828771,0.804603
15.6GPa,10.4GPa,0.590717,0.29078,0.597473,0.935107,0.817868
15.6GPa,12.8GPa,0.422969,0.266436,0.0807075,0.880409,0.862815
15.6GPa,13.3GPa,0.49375,0.313433,0.260021,0.902856,0.836475
