frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.633849,,,,,,,,,,,,,,,,
1.3GPa,0.741655,0.642421,,,,,,,,,,,,,,,
1.5GPa,0.630993,0.734333,0.645536,,,,,,,,,,,,,,
2.3GPa,0.669932,0.761006,0.674861,0.731958,,,,,,,,,,,,,
2.4GPa_decomp,0.629594,0.514768,0.652516,0.529473,0.591866,,,,,,,,,,,,
3.9GPa,0.59523,0.704411,0.605805,0.692451,0.720479,0.467828,,,,,,,,,,,
5GPa,0.669091,0.732996,0.661484,0.725997,0.748641,0.526108,0.691169,,,,,,,,,,
6.2GPa,0.633927,0.724036,0.633671,0.711886,0.730737,0.504541,0.665544,0.705129,,,,,,,,,
6.6GPa,0.705346,0.62324,0.706167,0.622434,0.652972,0.624412,0.576426,0.65686,0.623135,,,,,,,,
7.4GPa,0.637479,0.739567,0.657885,0.743494,0.754515,0.51587,0.690306,0.732716,0.721742,0.635345,,,,,,,
8.5GPa,0.642683,0.729189,0.656994,0.724079,0.749329,0.546513,0.686352,0.744649,0.727035,0.65039,0.764113,,,,,,
9.8GPa,0.64681,0.687011,0.653143,0.670165,0.701634,0.524252,0.64603,0.69446,0.681794,0.651034,0.717962,0.714223,,,,,
10.4GPa,0.680535,0.533882,0.686975,0.532182,0.586377,0.653463,0.504727,0.554362,0.535053,0.642011,0.548137,0.562191,0.576958,,,,
12.8GPa,0.744775,0.639306,0.755907,0.648668,0.701283,0.70451,0.613435,0.690971,0.644087,0.698303,0.663133,0.669296,0.65561,0.698319,,,
13.3GPa,0.694656,0.532331,0.706052,0.552177,0.594101,0.683685,0.509349,0.587895,0.552347,0.66938,0.580426,0.570417,0.576304,0.693975,0.717965,,
15.6GPa,0.672724,0.617314,0.704862,0.624245,0.659281,0.657559,0.591477,0.616732,0.609035,0.663183,0.620715,0.620825,0.609206,0.635736,0.725631,0.672951,
