peak_group,group_two_theta,suspected_static,coverage_fraction,detected_frame_count,detected_fraction,roi_presence_count,roi_fraction,roi_presence_threshold,max_roi_area,position_frames,median_detected_two_theta,position_mad_deg,position_range_deg,slope_deg_per_gpa,frames_detected
14,2.5858,0,0.352941,6,0.352941,6,0.352941,0.000248556,0.00248556,6,2.58583,0,0.015816,0.000648943,1.5GPa;12.8GPa;1GPa;2.4GPa_decomp;6.2GPa;7.4GPa
15,2.6172,0,0.588235,5,0.294118,10,0.588235,0.000284216,0.00284216,5,2.61746,0,0.015816,-0.00248503,1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;8.5GPa
16,2.649,0,0.647059,6,0.352941,11,0.647059,0.00019452,0.0019452,6,2.64909,0,0.015816,-0.000704992,12.8GPa;1GPa;2.3GPa;5GPa;8.5GPa;9.8GPa
17,2.6774,1,0.705882,8,0.470588,12,0.705882,0.000251971,0.00251971,8,2.68072,0,0.015816,-0.000145795,1.5GPa;1GPa;2.4GPa_decomp;3.9GPa;6.2GPa;7.4GPa;8.5GPa;9.8GPa
18,2.7012,0,0.647059,10,0.588235,11,0.647059,0.000347811,0.00347811,10,2.69654,0,0.015815,0.000453325,12.8GPa;1GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;7.4GPa;8.5GPa;9.8GPa
19,2.7353,1,0.705882,12,0.705882,11,0.647059,0.000297323,0.00297323,12,2.72817,0,0.021596,8.27378e-05,1.5GPa;10.4GPa;12.8GPa;1GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;7.4GPa;8.5GPa;9.8GPa
20,2.7638,0,0.647059,4,0.235294,11,0.647059,0.000195518,0.00195518,4,2.76179,0.0019945,0.003989,-2.80028e-05,0.7GPa;1.5GPa;6.2GPa;6.6GPa
21,2.8059,0,0.176471,1,0.0588235,3,0.176471,0.0001,0.000330158,1,2.80586,0,0,,15.6GPa
22,2.8339,0,0.0588235,1,0.0588235,0,0,0.0001,7.49123e-05,1,2.8339,0,0,,6.6GPa
23,2.8743,0,0.529412,9,0.529412,6,0.352941,0.0001,0.000785712,9,2.88632,0.003675,0.035306,-0.00102357,0.7GPa;1.3GPa;12.8GPa;13.3GPa;1GPa;2.4GPa_decomp;5GPa;6.2GPa;6.6GPa
24,2.922,0,0.588235,10,0.588235,6,0.352941,0.0001,0.000499129,10,2.91805,0.0079075,0.031631,-0.000837961,0.7GPa;1.3GPa;1.5GPa;10.4GPa;15.6GPa;2.3GPa;6.2GPa;7.4GPa;8.5GPa;9.8GPa
25,2.956,0,0.529412,9,0.529412,8,0.470588,0.000249302,0.00249302,9,2.94958,0.003493,0.019309,-0.000824706,1.3GPa;1.5GPa;10.4GPa;12.8GPa;13.3GPa;3.9GPa;5GPa;6.2GPa;7.4GPa
26,2.9885,0,0.529412,6,0.352941,9,0.529412,0.0001,0.000686731,6,2.98122,0,0.022893,-0.000798142,12.8GPa;15.6GPa;1GPa;2.4GPa_decomp;5GPa;6.2GPa
27,3.0156,0,0.470588,7,0.411765,8,0.470588,0.0001,0.000670304,7,3.02866,0.00157,0.017386,0.000277836,1.3GPa;1.5GPa;13.3GPa;2.4GPa_decomp;6.2GPa;8.5GPa;9.8GPa
28,3.0634,0,0.411765,7,0.411765,3,0.176471,0.0001,0.000316184,7,3.05828,0.002015,0.027825,0.000658387,0.7GPa;1.5GPa;10.4GPa;15.6GPa;2.4GPa_decomp;6.6GPa;9.8GPa
29,3.113,1,0.705882,12,0.705882,6,0.352941,0.000195161,0.00195161,12,3.10774,0.006633,0.028047,0.00114378,0.7GPa;10.4GPa;12.8GPa;13.3GPa;15.6GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.6GPa;7.4GPa;9.8GPa
30,3.1379,0,0.529412,9,0.529412,6,0.352941,0.000195202,0.00195202,9,3.12839,0.00484,0.018864,-0.000543512,0.7GPa;1.3GPa;10.4GPa;12.8GPa;1GPa;2.3GPa;6.6GPa;7.4GPa;9.8GPa
31,3.1631,0,0.411765,6,0.352941,7,0.411765,0.000233199,0.00233199,6,3.16345,0.0072795,0.015815,-0.000506797,0.7GPa;12.8GPa;15.6GPa;1GPa;6.6GPa;8.5GPa
32,3.1895,0,0.470588,6,0.352941,8,0.470588,0.000204083,0.00204083,6,3.19851,0.00412,0.018143,-0.001214,1.3GPa;10.4GPa;13.3GPa;15.6GPa;2.4GPa_decomp;6.2GPa
33,3.2261,0,0.411765,7,0.411765,6,0.352941,0.0001,0.000920476,7,3.22656,0.007704,0.015816,-0.000891475,1.5GPa;12.8GPa;1GPa;3.9GPa;5GPa;6.2GPa;6.6GPa
34,3.2501,0,0.235294,4,0.235294,2,0.117647,0.0001,0.000225185,4,3.25234,0.002264,0.015816,0.00185227,0.7GPa;1GPa;2.3GPa;8.5GPa
35,3.2967,0,0.117647,2,0.117647,0,0,0.0001,5.76291e-05,2,3.29668,0,0,0,10.4GPa;6.6GPa
36,3.3878,1,0.823529,14,0.823529,11,0.647059,0.000577826,0.00577826,14,3.39242,0.001211,0.04207,0.000792755,0.7GPa;1.3GPa;1.5GPa;10.4GPa;12.8GPa;13.3GPa;1GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;6.6GPa;9.8GPa
37,3.4122,0,0.705882,12,0.705882,1,0.0588235,0.0001,0.000103855,12,3.40823,0,0.015815,5.97563e-06,0.7GPa;1.3GPa;1.5GPa;12.8GPa;1GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;8.5GPa;9.8GPa
38,3.4519,1,0.764706,13,0.764706,12,0.705882,0.0001,0.000613584,13,3.45568,0,0.01877,-0.000437788,1.5GPa;10.4GPa;12.8GPa;15.6GPa;1GPa;2.3GPa;2.4GPa_decomp;3.9GPa;6.2GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa
39,3.4838,0,0.352941,6,0.352941,6,0.352941,0.0001,0.00051334,6,3.48314,0.0070115,0.021508,0.000897351,10.4GPa;12.8GPa;13.3GPa;2.4GPa_decomp;5GPa;7.4GPa
40,3.5116,0,0.470588,8,0.470588,8,0.470588,0.0001,0.000885278,8,3.51298,0.0059575,0.017924,0.000114799,0.7GPa;1.3GPa;1.5GPa;15.6GPa;1GPa;3.9GPa;6.2GPa;9.8GPa
41,3.5406,0,0.588235,10,0.588235,9,0.529412,0.0001,0.000599283,10,3.54208,0.0073275,0.015815,0.00101931,0.7GPa;1.3GPa;1.5GPa;1GPa;2.3GPa;3.9GPa;5GPa;6.6GPa;7.4GPa;9.8GPa
42,3.5754,0,0.647059,10,0.588235,11,0.647059,0.0001,0.000532591,10,3.57714,0.00506,0.015815,0.000684514,0.7GPa;1.5GPa;10.4GPa;12.8GPa;1GPa;2.3GPa;2.4GPa_decomp;7.4GPa;8.5GPa;9.8GPa
43,3.615,0,0.588235,7,0.411765,10,0.588235,0.000132291,0.00132291,7,3.59802,0,0.021194,-0.000899457,0.7GPa;10.4GPa;12.8GPa;15.6GPa;6.2GPa;8.5GPa;9.8GPa
44,3.6417,0,0.411765,7,0.411765,7,0.411765,0.000156528,0.00156528,7,3.64547,0.001795,0.017611,-0.000685819,1.5GPa;15.6GPa;1GPa;2.3GPa;3.9GPa;5GPa;6.6GPa
45,3.6613,0,0.411765,7,0.411765,7,0.411765,0.0001,0.000515815,7,3.66128,0,3e-06,2.52259e-07,1.5GPa;10.4GPa;13.3GPa;15.6GPa;1GPa;2.4GPa_decomp;5GPa
46,3.706,1,0.705882,8,0.470588,12,0.705882,0.000113889,0.00113889,8,3.70604,0.0026865,0.015816,4.98933e-05,0.7GPa;1.3GPa;1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;7.4GPa;9.8GPa
47,3.7422,0,0.588235,7,0.411765,10,0.588235,0.000454491,0.00454491,7,3.74542,0.010749,0.028047,-0.000772671,10.4GPa;13.3GPa;1GPa;2.4GPa_decomp;3.9GPa;5GPa;6.6GPa
48,3.7793,0,0.529412,9,0.529412,7,0.411765,0.00112397,0.0112397,9,3.77199,0,0.015815,-3.98121e-05,1.5GPa;15.6GPa;1GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;7.4GPa
49,3.8058,1,0.764706,13,0.764706,7,0.411765,0.00112731,0.0112731,13,3.80362,0,0.028047,-0.000366551,1.3GPa;1.5GPa;12.8GPa;13.3GPa;1GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;6.6GPa;8.5GPa;9.8GPa
50,3.838,0,0.588235,10,0.588235,7,0.411765,0.000968002,0.00968002,10,3.83525,0,0.02236,8.32516e-05,0.7GPa;1.3GPa;1.5GPa;13.3GPa;15.6GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa
