peak_group,group_two_theta,suspected_static,coverage_fraction,detected_frame_count,detected_fraction,roi_presence_count,roi_fraction,roi_presence_threshold,max_roi_area,position_frames,median_detected_two_theta,position_mad_deg,position_range_deg,slope_deg_per_gpa,frames_detected
123,6.3529,0,0.235294,4,0.235294,4,0.235294,0.00238639,0.0238639,4,6.34991,0,0.015815,0.000653081,2.4GPa_decomp;5GPa;7.4GPa;9.8GPa
124,6.3815,0,0.176471,3,0.176471,3,0.176471,0.00179511,0.0179511,3,6.38154,0,0,4.48047e-32,1.5GPa;5GPa;7.4GPa
125,6.4349,0,0.352941,6,0.352941,4,0.235294,0.00215853,0.0215853,6,6.42899,0.0044625,0.028047,0.00105156,0.7GPa;1GPa;2.3GPa;6.2GPa;6.6GPa;8.5GPa
126,6.4505,0,0.411765,7,0.411765,5,0.294118,0.000815163,0.00815163,7,6.4448,0,0.021156,0.000127106,1.5GPa;12.8GPa;1GPa;2.3GPa;6.2GPa;6.6GPa;9.8GPa
127,6.4877,0,0.411765,7,0.411765,4,0.235294,0.00143416,0.0143416,7,6.49225,0,0.015816,-0.00164163,1.5GPa;1GPa;2.3GPa;3.9GPa;6.2GPa;7.4GPa;9.8GPa
128,6.521,0,0.352941,6,0.352941,2,0.117647,0.0028928,0.028928,6,6.52297,0.000914,0.015816,0.000487443,1.5GPa;12.8GPa;15.6GPa;2.3GPa;5GPa;7.4GPa
129,6.5454,0,0.529412,9,0.529412,3,0.176471,0.0023226,0.023226,9,6.55551,0,0.019436,-0.000944508,10.4GPa;12.8GPa;1GPa;2.3GPa;3.9GPa;5GPa;6.2GPa;7.4GPa;8.5GPa
130,6.5893,0,0.529412,9,0.529412,5,0.294118,0.00171525,0.0171525,9,6.57815,0.006819,0.020843,0.000487868,10.4GPa;13.3GPa;1GPa;2.3GPa;2.4GPa_decomp;5GPa;6.2GPa;7.4GPa;8.5GPa
131,6.6195,0,0.235294,4,0.235294,4,0.235294,0.00113613,0.0113613,4,6.61087,0.007908,0.017258,0.00177527,1.5GPa;1GPa;2.4GPa_decomp;6.6GPa
132,6.6504,0,0.235294,4,0.235294,2,0.117647,0.0025918,0.025918,4,6.63459,0.0001745,0.016165,-0.00059204,1.5GPa;13.3GPa;2.3GPa;2.4GPa_decomp
133,6.6631,0,0.294118,5,0.294118,2,0.117647,0.0018489,0.018489,5,6.68203,0,0.019748,0.00051155,12.8GPa;1GPa;3.9GPa;6.6GPa;8.5GPa
134,6.698,0,0.294118,5,0.294118,3,0.176471,0.00135134,0.0135134,5,6.69785,0,0.015815,0.000555062,12.8GPa;2.3GPa;5GPa;7.4GPa;9.8GPa
135,6.7464,0,0.235294,4,0.235294,3,0.176471,0.00244495,0.0244495,4,6.7453,0.000565,0.016945,0.000846924,10.4GPa;3.9GPa;6.2GPa;8.5GPa
136,6.7745,0,0.294118,5,0.294118,2,0.117647,0.00302108,0.0302108,5,6.77447,0.002454,0.015815,0.000187931,0.7GPa;10.4GPa;5GPa;7.4GPa;8.5GPa
137,6.7928,0,0.235294,4,0.235294,3,0.176471,0.00336666,0.0336666,4,6.79274,0,0.015815,0.000376548,5GPa;6.2GPa;7.4GPa;9.8GPa
138,6.8244,0,0.235294,4,0.235294,2,0.117647,0.00179174,0.0179174,4,6.82437,0.0039155,0.023646,-0.00205303,13.3GPa;6.2GPa;7.4GPa;9.8GPa
139,6.863,0,0.411765,7,0.411765,4,0.235294,0.00255346,0.0255346,7,6.87182,0,0.015815,0.000233079,1.5GPa;12.8GPa;1GPa;2.4GPa_decomp;3.9GPa;8.5GPa;9.8GPa
140,6.8883,0,0.411765,7,0.411765,3,0.176471,0.001758,0.01758,7,6.90068,0.002768,0.015815,-0.000957432,1.3GPa;1.5GPa;12.8GPa;2.3GPa;3.9GPa;6.2GPa;9.8GPa
141,6.9334,0,0.411765,7,0.411765,3,0.176471,0.00149324,0.0149324,7,6.93508,0,0.014023,0.000639575,0.7GPa;15.6GPa;2.3GPa;2.4GPa_decomp;7.4GPa;8.5GPa;9.8GPa
142,6.9671,0,0.235294,4,0.235294,4,0.235294,0.000312977,0.00312977,4,6.97462,0.0079075,0.015815,0.000302294,2.4GPa_decomp;3.9GPa;5GPa;6.2GPa
143,6.9986,0,0.588235,10,0.588235,6,0.352941,0.000239266,0.00239266,10,7.00586,0.0075145,0.028549,-0.00116706,0.7GPa;1.3GPa;15.6GPa;1GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;7.4GPa
144,7.0391,0,0.352941,6,0.352941,4,0.235294,0.00112701,0.0112701,6,7.04335,0.0070115,0.024965,0.00144581,0.7GPa;1.5GPa;6.2GPa;6.6GPa;7.4GPa;8.5GPa
145,7.0643,0,0.235294,3,0.176471,4,0.235294,0.00156695,0.0156695,3,7.06161,0,0.015815,0.00675699,7.4GPa;8.5GPa;9.8GPa
146,7.1004,0,0.235294,2,0.117647,4,0.235294,0.00236015,0.0236015,2,7.09324,0,0,0,12.8GPa;9.8GPa
147,7.1251,0,0.294118,5,0.294118,1,0.0588235,0.00194189,0.0194189,5,7.12506,0.000189,0.015815,0.00124725,0.7GPa;1GPa;2.4GPa_decomp;3.9GPa;5GPa
148,7.1621,0,0.294118,5,0.294118,1,0.0588235,0.00129957,0.0129957,5,7.17231,0.008836,0.024652,-0.000509737,1.3GPa;1.5GPa;2.3GPa;6.6GPa;7.4GPa
149,7.224,0,0.470588,8,0.470588,2,0.117647,0.000205354,0.00205354,8,7.22149,0.007012,0.033299,0.00115091,0.7GPa;1.3GPa;15.6GPa;2.4GPa_decomp;5GPa;6.6GPa;7.4GPa;9.8GPa
150,7.2605,0,0.176471,3,0.176471,2,0.117647,0.0001,0.000453984,3,7.25139,0.000124,0.014024,7.74779e-05,10.4GPa;15.6GPa;3.9GPa
151,7.3076,0,0.529412,9,0.529412,2,0.117647,0.0001,0.000270572,9,7.31465,0.006731,0.028047,0.000593445,0.7GPa;1.3GPa;1.5GPa;13.3GPa;15.6GPa;1GPa;2.3GPa;2.4GPa_decomp;5GPa
152,7.3385,0,0.529412,9,0.529412,6,0.352941,0.0001,0.000611466,9,7.33047,0,0.018962,-0.0004202,0.7GPa;1.5GPa;10.4GPa;1GPa;2.3GPa;5GPa;7.4GPa;8.5GPa;9.8GPa
153,7.3737,1,0.705882,8,0.470588,12,0.705882,0.0001,0.00069595,8,7.37068,0.0072305,0.015815,0.000615574,1.5GPa;2.3GPa;3.9GPa;5GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa
154,7.3967,0,0.529412,8,0.470588,9,0.529412,0.0001,0.000733475,8,7.39373,0,0.015816,-0.000130814,10.4GPa;12.8GPa;3.9GPa;5GPa;6.2GPa;7.4GPa;8.5GPa;9.8GPa
155,7.4391,0,0.647059,11,0.647059,8,0.470588,0.000104703,0.00104703,11,7.44118,0.006418,0.022234,-0.000282932,0.7GPa;12.8GPa;13.3GPa;15.6GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;6.6GPa;8.5GPa;9.8GPa
156,7.4573,1,0.705882,12,0.705882,11,0.647059,0.0001,0.00080781,12,7.45699,0,0.018649,0.000357195,1.3GPa;1.5GPa;12.8GPa;15.6GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;7.4GPa;8.5GPa;9.8GPa
157,7.4887,0,0.117647,2,0.117647,2,0.117647,0.0001,0.00056839,2,7.48914,0.000521,0.001042,0.000110851,10.4GPa;1GPa
158,7.5451,0,0.294118,5,0.294118,2,0.117647,0.00686224,0.0686224,5,7.54576,0.006127,0.02015,0.000369535,0.7GPa;13.3GPa;15.6GPa;2.3GPa;7.4GPa
159,7.5834,0,0.529412,9,0.529412,3,0.176471,0.00912399,0.0912399,9,7.57381,0.006104,0.015815,-0.000579632,1.5GPa;10.4GPa;13.3GPa;15.6GPa;1GPa;2.4GPa_decomp;5GPa;7.4GPa;9.8GPa
160,7.5997,0,0.647059,11,0.647059,3,0.176471,0.00872416,0.0872416,11,7.60185,0.002521,0.016544,0.00059358,0.7GPa;1.3GPa;1.5GPa;12.8GPa;15.6GPa;1GPa;2.4GPa_decomp;3.9GPa;7.4GPa;8.5GPa;9.8GPa
161,7.6465,0,0.647059,11,0.647059,4,0.235294,0.00913934,0.0913934,11,7.64678,0.011167,0.031631,-0.000836354,0.7GPa;10.4GPa;12.8GPa;13.3GPa;15.6GPa;1GPa;2.3GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa
162,7.6785,0,0.470588,8,0.470588,2,0.117647,0.00750834,0.0750834,8,7.69011,0.009907,0.021606,0.00124889,0.7GPa;13.3GPa;1GPa;3.9GPa;5GPa;6.2GPa;6.6GPa;8.5GPa
163,7.714,0,0.470588,8,0.470588,2,0.117647,0.00514088,0.0514088,8,7.71404,0.003999,0.018022,0.000547505,0.7GPa;1.3GPa;1.5GPa;13.3GPa;15.6GPa;3.9GPa;5GPa;6.2GPa
164,7.7429,0,0.352941,6,0.352941,4,0.235294,0.00325229,0.0325229,6,7.74209,0.000414,0.015815,0.000555323,1.3GPa;10.4GPa;5GPa;6.2GPa;7.4GPa;8.5GPa
165,7.7985,0,0.529412,9,0.529412,4,0.235294,0.00852417,0.0852417,9,7.79818,0.006754,0.031631,-0.00105363,1.5GPa;10.4GPa;13.3GPa;1GPa;2.4GPa_decomp;3.9GPa;7.4GPa;8.5GPa;9.8GPa
166,7.8221,0,0.352941,6,0.352941,3,0.176471,0.00856101,0.0856101,6,7.82349,0.002739,0.015815,0.00109551,0.7GPa;1.5GPa;12.8GPa;2.4GPa_decomp;8.5GPa;9.8GPa
167,7.8543,0,0.411765,7,0.411765,5,0.294118,0.00563343,0.0563343,7,7.85238,0,0.015917,-0.000422543,1.3GPa;10.4GPa;12.8GPa;15.6GPa;2.3GPa;2.4GPa_decomp;9.8GPa
168,7.8998,0,0.294118,5,0.294118,2,0.117647,0.0119556,0.119556,5,7.88401,0.001691,0.017506,-0.0022903,10.4GPa;1GPa;3.9GPa;6.6GPa;7.4GPa
169,7.9165,0,0.294118,5,0.294118,3,0.176471,0.0120861,0.120861,5,7.91564,0,0.008748,8.97684e-05,1.3GPa;15.6GPa;3.9GPa;8.5GPa;9.8GPa
170,7.9634,0,0.352941,6,0.352941,6,0.352941,0.00968515,0.0968515,6,7.97268,0.006222,0.033211,-9.23393e-05,0.7GPa;13.3GPa;2.4GPa_decomp;5GPa;6.2GPa;6.6GPa
171,8.0065,0,0.294118,5,0.294118,4,0.235294,0.0212111,0.212111,5,7.99472,0.000212,0.016028,-0.000336414,0.7GPa;10.4GPa;1GPa;7.4GPa;8.5GPa
172,8.0415,0,0.352941,6,0.352941,4,0.235294,0.0194434,0.194434,6,8.03937,0.0027945,0.015816,0.000890466,1.5GPa;12.8GPa;1GPa;3.9GPa;6.6GPa;9.8GPa
173,8.0611,0,0.352941,6,0.352941,4,0.235294,0.0178031,0.178031,6,8.06921,0.009437,0.020666,-0.000732972,1.3GPa;1.5GPa;12.8GPa;13.3GPa;2.3GPa;6.6GPa
174,8.1067,0,0.294118,5,0.294118,3,0.176471,0.0053021,0.053021,5,8.08961,0,0.017082,0.00152313,0.7GPa;2.3GPa;2.4GPa_decomp;6.2GPa;6.6GPa
175,8.1307,0,0.176471,3,0.176471,2,0.117647,0.00243975,0.0243975,3,8.13474,0.002317,0.01634,0.00246022,0.7GPa;3.9GPa;6.6GPa
176,8.1685,0,0.411765,6,0.352941,7,0.411765,0.000215082,0.00215082,6,8.15783,0.007012,0.019925,0.000444329,0.7GPa;15.6GPa;1GPa;2.3GPa;3.9GPa;5GPa
177,8.193,0,0.411765,5,0.294118,7,0.411765,0.00025343,0.0025343,5,8.19083,0.006329,0.015815,0.000549242,1.3GPa;10.4GPa;2.4GPa_decomp;5GPa;6.2GPa
178,8.2242,0,0.470588,8,0.470588,7,0.411765,0.000221859,0.00221859,8,8.23195,0.000477,0.016769,0.000764546,1.5GPa;10.4GPa;1GPa;2.4GPa_decomp;5GPa;6.2GPa;7.4GPa;8.5GPa
179,8.2533,0,0.588235,10,0.588235,7,0.411765,0.000228141,0.00228141,10,8.24777,0.000839,0.016654,0.000369922,1.3GPa;1.5GPa;15.6GPa;1GPa;2.4GPa_decomp;3.9GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa
180,8.2809,0,0.470588,8,0.470588,6,0.352941,0.000586692,0.00586692,8,8.2794,0,0.020238,-0.000614016,10.4GPa;12.8GPa;1GPa;2.3GPa;2.4GPa_decomp;5GPa;8.5GPa;9.8GPa
181,8.3238,0,0.411765,7,0.411765,3,0.176471,0.00037553,0.0037553,7,8.31103,0.006017,0.023823,7.64817e-05,0.7GPa;12.8GPa;13.3GPa;1GPa;2.3GPa;6.2GPa;9.8GPa
182,8.3458,0,0.411765,7,0.411765,3,0.176471,0.000248455,0.00248455,7,8.34509,0.002433,0.016456,1.81839e-05,1.5GPa;10.4GPa;13.3GPa;15.6GPa;3.9GPa;5GPa;7.4GPa
183,8.3743,0,0.176471,2,0.117647,3,0.176471,0.000120603,0.00120603,2,8.37371,0.000576,0.001152,-9.84615e-05,15.6GPa;3.9GPa
184,8.4203,0,0.294118,5,0.294118,2,0.117647,0.000112775,0.00112775,5,8.42174,0.007495,0.023311,0.000710326,13.3GPa;5GPa;6.2GPa;6.6GPa;9.8GPa
185,8.4407,0,0.235294,4,0.235294,3,0.176471,0.000119611,0.00119611,4,8.45337,0.0019555,0.019727,0.00131577,15.6GPa;3.9GPa;6.2GPa;8.5GPa
186,8.4785,0,0.411765,7,0.411765,3,0.176471,0.0001,0.000259502,7,8.485,0.000326,0.016142,0.00109942,0.7GPa;1.3GPa;10.4GPa;2.3GPa;7.4GPa;8.5GPa;9.8GPa
187,8.5012,0,0.294118,2,0.117647,5,0.294118,0.0001,0.000653446,2,8.50872,0.007908,0.015816,0.00659,7.4GPa;9.8GPa
188,8.5475,0,0.235294,4,0.235294,4,0.235294,0.0001,0.000627265,4,8.54035,0.0079075,0.015815,0.00108363,12.8GPa;2.3GPa;7.4GPa;9.8GPa
189,8.5729,0,0.352941,6,0.352941,3,0.176471,0.0001,0.000869102,6,8.57468,0.0052125,0.015815,-0.000117216,10.4GPa;12.8GPa;15.6GPa;1GPa;5GPa;9.8GPa
190,8.6056,0,0.235294,4,0.235294,3,0.176471,0.000291791,0.00291791,4,8.60452,0.007005,0.015815,-0.000149212,15.6GPa;1GPa;3.9GPa;8.5GPa
191,8.6419,0,0.352941,6,0.352941,2,0.117647,0.000428004,0.00428004,6,8.63346,0.006122,0.026268,0.00156239,1.5GPa;10.4GPa;13.3GPa;6.2GPa;7.4GPa;8.5GPa
192,8.6744,0,0.352941,6,0.352941,1,0.0588235,0.00055327,0.0055327,6,8.67478,0,0.007155,-7.41538e-05,0.7GPa;12.8GPa;15.6GPa;1GPa;2.4GPa_decomp;9.8GPa
193,8.6987,0,0.352941,6,0.352941,1,0.0588235,0.000766801,0.00766801,6,8.6906,0,0.015815,-0.00056062,10.4GPa;1GPa;2.3GPa;2.4GPa_decomp;8.5GPa;9.8GPa
194,8.7297,0,0.176471,3,0.176471,1,0.0588235,0.000681877,0.00681877,3,8.73804,0,0.015815,0.00459357,2.3GPa;2.4GPa_decomp;3.9GPa
195,8.7674,0,0.294118,5,0.294118,3,0.176471,0.000369227,0.00369227,5,8.76968,0,0.017908,-0.0010054,12.8GPa;13.3GPa;2.3GPa;5GPa;6.2GPa
196,8.8037,0,0.294118,5,0.294118,4,0.235294,0.00111849,0.0111849,5,8.80131,0.006555,0.022371,0.000912141,10.4GPa;1GPa;5GPa;6.2GPa;9.8GPa
197,8.8403,0,0.352941,6,0.352941,2,0.117647,0.00124578,0.0124578,6,8.84085,0.0079075,0.031631,-0.00226068,2.3GPa;3.9GPa;5GPa;6.2GPa;7.4GPa;9.8GPa
198,8.87,0,0.411765,7,0.411765,3,0.176471,0.00123375,0.0123375,7,8.86457,0,0.015815,-4.44618e-05,1.5GPa;13.3GPa;3.9GPa;5GPa;7.4GPa;8.5GPa;9.8GPa
199,8.8921,0,0.411765,7,0.411765,4,0.235294,0.00151632,0.0151632,7,8.8962,0,0.004198,0.000198497,0.7GPa;1.5GPa;1GPa;5GPa;7.4GPa;8.5GPa;9.8GPa
200,8.9243,0,0.411765,7,0.411765,3,0.176471,0.00118043,0.0118043,7,8.94365,0,0.023597,0.000547602,1.3GPa;12.8GPa;15.6GPa;1GPa;5GPa;6.2GPa;9.8GPa
201,8.9622,0,0.294118,5,0.294118,4,0.235294,0.000916375,0.00916375,5,8.95946,0,0.015815,-0.000425235,1.5GPa;12.8GPa;1GPa;2.3GPa;9.8GPa
202,8.9902,0,0.294118,4,0.235294,5,0.294118,0.000421623,0.00421623,4,8.99109,0,0.000927,-6.72379e-05,15.6GPa;2.3GPa;5GPa;9.8GPa
203,9.046,0,0.411765,7,0.411765,5,0.294118,0.000308174,0.00308174,7,9.04626,0.00772,0.031631,0.00132383,15.6GPa;1GPa;3.9GPa;5GPa;6.2GPa;6.6GPa;9.8GPa
204,9.0744,0,0.470588,8,0.470588,5,0.294118,0.000323411,0.00323411,8,9.07224,0.002068,0.018159,0.0013357,10.4GPa;15.6GPa;3.9GPa;5GPa;6.2GPa;7.4GPa;8.5GPa;9.8GPa
205,9.1023,0,0.470588,8,0.470588,5,0.294118,0.000464227,0.00464227,8,9.1018,0,0.015815,-0.000772708,1.5GPa;1GPa;2.3GPa;6.2GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa
206,9.1305,0,0.352941,6,0.352941,5,0.294118,0.000592707,0.00592707,6,9.13192,0.0015165,0.018848,-0.000318957,1.5GPa;10.4GPa;13.3GPa;6.2GPa;6.6GPa;7.4GPa
207,9.1709,0,0.411765,7,0.411765,5,0.294118,0.000774026,0.00774026,7,9.16506,0.006617,0.022432,-0.000442084,10.4GPa;13.3GPa;2.3GPa;6.2GPa;6.6GPa;8.5GPa;9.8GPa
208,9.1999,0,0.294118,4,0.235294,5,0.294118,0.000718383,0.00718383,4,9.19861,0.001911,0.017846,0.00145254,10.4GPa;13.3GPa;2.3GPa;7.4GPa
209,9.2374,0,0.294118,4,0.235294,5,0.294118,0.000402144,0.00402144,4,9.24336,0.000777,0.015815,0.000404867,12.8GPa;13.3GPa;3.9GPa;7.4GPa
210,9.2713,0,0.294118,5,0.294118,3,0.176471,0.00271544,0.0271544,5,9.27063,0.010678,0.024702,0.000554141,10.4GPa;12.8GPa;13.3GPa;1GPa;7.4GPa
211,9.3066,0,0.235294,4,0.235294,3,0.176471,0.00853754,0.0853754,4,9.3074,0.0026505,0.021117,0.000748283,1.3GPa;1.5GPa;5GPa;8.5GPa
212,9.3385,0,0.235294,4,0.235294,3,0.176471,0.025382,0.25382,4,9.33288,0.006153,0.015816,-0.00250327,2.4GPa_decomp;6.2GPa;6.6GPa;8.5GPa
213,9.3694,0,0.294118,5,0.294118,3,0.176471,0.0306996,0.306996,5,9.37066,0,0.015816,0.000831574,1GPa;2.4GPa_decomp;5GPa;6.2GPa;9.8GPa
214,9.3953,0,0.470588,8,0.470588,4,0.235294,0.0328441,0.328441,8,9.39166,0.0051825,0.024388,0.000232439,0.7GPa;1.3GPa;1.5GPa;13.3GPa;15.6GPa;7.4GPa;8.5GPa;9.8GPa
215,9.4339,0,0.235294,4,0.235294,4,0.235294,0.021523,0.21523,4,9.42602,0.007908,0.015816,0.000463312,12.8GPa;2.3GPa;3.9GPa;7.4GPa
216,9.4501,0,0.294118,3,0.176471,5,0.294118,0.0214876,0.214876,3,9.45294,0.003196,0.015816,0.00224281,2.3GPa;6.6GPa;8.5GPa
217,9.481,0,0.294118,5,0.294118,4,0.235294,0.0148858,0.148858,5,9.48137,0.000388,0.016203,0.000682208,10.4GPa;1GPa;6.6GPa;8.5GPa;9.8GPa
218,9.5136,0,0.176471,3,0.176471,3,0.176471,0.0184388,0.184388,3,9.513,0,0.010051,0.000913101,1.5GPa;13.3GPa;3.9GPa
219,9.5604,0,0.235294,1,0.0588235,4,0.235294,0.0117914,0.117914,1,9.56045,0,0,,5GPa
220,9.5925,0,0.352941,4,0.235294,6,0.352941,0.0130843,0.130843,4,9.59317,0.0005455,0.015816,-0.00091687,0.7GPa;1.3GPa;1.5GPa;6.2GPa
221,9.6332,0,0.352941,4,0.235294,6,0.352941,0.0140493,0.140493,4,9.63738,0.002143,0.015816,-8.29617e-05,15.6GPa;3.9GPa;7.4GPa;8.5GPa
222,9.6704,0,0.235294,4,0.235294,4,0.235294,0.0268361,0.268361,4,9.66722,0.003935,0.00787,0.000232693,0.7GPa;1GPa;6.6GPa;9.8GPa
223,9.7029,0,0.235294,4,0.235294,3,0.176471,0.0318309,0.318309,4,9.70407,0.001285,0.018385,0.000708192,1.3GPa;1.5GPa;10.4GPa;12.8GPa
224,9.7403,0,0.235294,4,0.235294,2,0.117647,0.0282699,0.282699,4,9.74233,0.007908,0.015816,0.00606103,1.5GPa;1GPa;2.3GPa;3.9GPa
225,9.7661,0,0.0588235,1,0.0588235,1,0.0588235,0.0148968,0.148968,1,9.76605,0,0,,3.9GPa
226,9.8073,0,0.411765,7,0.411765,1,0.0588235,0.00321036,0.0321036,7,9.8135,0,0.015816,-0.0015602,1.5GPa;1GPa;2.3GPa;3.9GPa;5GPa;6.2GPa;7.4GPa
227,9.8294,0,0.352941,6,0.352941,6,0.352941,0.00549105,0.0549105,6,9.82931,0,0,0,1GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa
228,9.8743,0,0.235294,4,0.235294,3,0.176471,0.0111128,0.111128,4,9.87676,0,0.015816,-0.00553235,1.5GPa;1GPa;2.4GPa_decomp;3.9GPa
229,9.9178,0,0.352941,6,0.352941,3,0.176471,0.0152989,0.152989,6,9.91205,0.0149195,0.037158,0.00187858,0.7GPa;1.5GPa;15.6GPa;2.4GPa_decomp;6.2GPa;8.5GPa
230,9.9434,0,0.235294,4,0.235294,4,0.235294,0.0167961,0.167961,4,9.94189,0.0018675,0.015816,0.00135762,1.3GPa;1.5GPa;6.2GPa;9.8GPa
231,9.9856,0,0.352941,3,0.176471,6,0.352941,0.0123344,0.123344,3,9.98747,0,0.015816,0.00103996,2.3GPa;2.4GPa_decomp;9.8GPa
232,10.0138,0,0.352941,5,0.294118,6,0.352941,0.00652633,0.0652633,5,10.0139,0.005226,0.015816,-0.000463312,12.8GPa;2.3GPa;3.9GPa;6.6GPa;7.4GPa
233,10.0552,0,0.411765,7,0.411765,3,0.176471,0.00432794,0.0432794,7,10.0507,0,0.021029,-0.000857971,1.5GPa;10.4GPa;12.8GPa;3.9GPa;5GPa;7.4GPa;8.5GPa
234,10.0823,0,0.176471,2,0.117647,3,0.176471,0.00415261,0.0415261,2,10.0832,0.0008145,0.001629,0.000196265,13.3GPa;5GPa
235,10.1017,0,0.352941,4,0.235294,6,0.352941,0.00399213,0.0399213,4,10.1061,0.007908,0.015816,0.00236852,2.3GPa;5GPa;6.2GPa;9.8GPa
236,10.1367,0,0.235294,4,0.235294,2,0.117647,0.00189187,0.0189187,4,10.1377,0.007908,0.015816,-0.00230593,3.9GPa;6.2GPa;7.4GPa;8.5GPa
237,10.1684,0,0.470588,8,0.470588,3,0.176471,0.0018437,0.018437,8,10.1773,0.0024505,0.020716,-0.000263428,0.7GPa;1.3GPa;1.5GPa;1GPa;3.9GPa;7.4GPa;8.5GPa;9.8GPa
238,10.2066,0,0.294118,5,0.294118,1,0.0588235,0.00166711,0.0166711,5,10.2089,0,0.015815,0.000816602,1.5GPa;1GPa;2.3GPa;8.5GPa;9.8GPa
239,10.2435,0,0.235294,4,0.235294,3,0.176471,0.00223207,0.0223207,4,10.2405,0.001134,0.018084,0.0011211,0.7GPa;12.8GPa;2.3GPa;9.8GPa
240,10.282,0,0.294118,5,0.294118,1,0.0588235,0.00228144,0.0228144,5,10.2721,0,0.015816,-0.000847598,0.7GPa;12.8GPa;1GPa;2.3GPa;9.8GPa
241,10.3281,0,0.294118,5,0.294118,3,0.176471,0.000997097,0.00997097,5,10.3224,0.002794,0.015815,-0.000273454,1.5GPa;15.6GPa;2.3GPa;3.9GPa;5GPa
242,10.3644,0,0.235294,4,0.235294,0,0,0.0001,7.614e-05,4,10.3512,0,0.013233,-0.002049,0.7GPa;2.4GPa_decomp;5GPa;6.2GPa
243,10.4356,0,0.294118,5,0.294118,1,0.0588235,0.000433841,0.00433841,5,10.4303,0.00975,0.025565,0.00169947,0.7GPa;12.8GPa;2.3GPa;6.2GPa;8.5GPa
244,10.4766,0,0.117647,2,0.117647,1,0.0588235,0.00436058,0.0436058,2,10.4766,0,0,0,0.7GPa;10.4GPa
245,10.5158,0,0.235294,2,0.117647,4,0.235294,0.00935342,0.0935342,2,10.514,0.0046685,0.009337,0.000639521,15.6GPa;1GPa
246,10.558,0,0.294118,2,0.117647,5,0.294118,0.00933062,0.0933062,2,10.5509,0.009888,0.019776,0.00140255,1.5GPa;15.6GPa
247,10.6088,0,0.529412,9,0.529412,5,0.294118,0.00928907,0.0928907,9,10.6201,0.003209,0.042446,0.00146051,0.7GPa;1.3GPa;1.5GPa;15.6GPa;1GPa;2.3GPa;3.9GPa;6.2GPa;7.4GPa
248,10.6469,0,0.470588,8,0.470588,6,0.352941,0.0180973,0.180973,8,10.6517,0,0.015815,0.000756038,13.3GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;7.4GPa;8.5GPa
249,10.6731,0,0.470588,8,0.470588,7,0.411765,0.0203226,0.203226,8,10.6782,0.005188,0.015815,0.000898028,2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa
250,10.7041,0,0.411765,7,0.411765,7,0.411765,0.0187954,0.187954,7,10.701,0.001854,0.015815,-0.0013074,10.4GPa;12.8GPa;1GPa;5GPa;6.2GPa;7.4GPa;9.8GPa
251,10.7336,0,0.294118,5,0.294118,5,0.294118,0.0110396,0.110396,5,10.7308,0,0.017545,-0.000694078,1.5GPa;12.8GPa;13.3GPa;1GPa;6.2GPa
252,10.7624,0,0.294118,1,0.0588235,5,0.294118,0.00644594,0.0644594,1,10.7624,0,0,,1.5GPa
253,10.817,0,0.411765,7,0.411765,5,0.294118,0.00438465,0.0438465,7,10.8132,0.003333,0.033172,0.000873688,0.7GPa;1.3GPa;12.8GPa;15.6GPa;2.3GPa;3.9GPa;7.4GPa
254,10.8415,0,0.117647,2,0.117647,2,0.117647,0.00371393,0.0371393,2,10.8415,0,0,0,6.2GPa;7.4GPa
255,10.8839,0,0.235294,4,0.235294,2,0.117647,0.00699886,0.0699886,4,10.8861,0.0028135,0.015815,0.000822516,0.7GPa;12.8GPa;1GPa;3.9GPa
256,10.9048,0,0.352941,6,0.352941,2,0.117647,0.00643351,0.0643351,6,10.9081,0.003302,0.020627,0.00109849,1.3GPa;1.5GPa;15.6GPa;5GPa;8.5GPa;9.8GPa
257,10.9565,0,0.470588,5,0.294118,8,0.470588,0.0043287,0.043287,5,10.9534,0.014024,0.031631,-4.75123e-05,10.4GPa;15.6GPa;5GPa;6.2GPa;6.6GPa
258,10.9911,0,0.294118,5,0.294118,5,0.294118,0.010368,0.10368,5,10.9997,0.015815,0.031631,-0.00404367,1GPa;2.4GPa_decomp;5GPa;6.2GPa;7.4GPa
259,11.0332,0,0.470588,8,0.470588,8,0.470588,0.012126,0.12126,8,11.0313,0,0.015815,-0.000130172,1.5GPa;1GPa;2.4GPa_decomp;3.9GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa
260,11.0711,0,0.411765,5,0.294118,7,0.411765,0.00887902,0.0887902,5,11.0787,0,0.015815,-0.00236194,2.3GPa;2.4GPa_decomp;5GPa;8.5GPa;9.8GPa
