frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.28934,,,,,,,,,,,,,,,,
1.3GPa,0.292899,0.254642,,,,,,,,,,,,,,,
1.5GPa,0.231738,0.332487,0.275281,,,,,,,,,,,,,,
2.3GPa,0.25,0.314356,0.25,0.270471,,,,,,,,,,,,,
2.4GPa_decomp,0.188791,0.254286,0.198697,0.22807,0.217143,,,,,,,,,,,,
3.9GPa,0.217722,0.2925,0.296512,0.310526,0.272727,0.208211,,,,,,,,,,,
5GPa,0.21608,0.280788,0.220109,0.255639,0.270677,0.28483,0.280519,,,,,,,,,,
6.2GPa,0.259067,0.263923,0.23224,0.263819,0.269327,0.252252,0.27907,0.303665,,,,,,,,,
6.6GPa,0.260234,0.238727,0.196375,0.230769,0.261111,0.179153,0.202186,0.210383,0.219178,,,,,,,,
7.4GPa,0.27154,0.272506,0.228261,0.309091,0.321244,0.229412,0.301837,0.279487,0.28133,0.211957,,,,,,,
8.5GPa,0.268293,0.263158,0.230114,0.276316,0.268734,0.235294,0.27882,0.227621,0.255208,0.227011,0.345404,,,,,,
9.8GPa,0.28084,0.326582,0.254848,0.30829,0.26799,0.235988,0.258228,0.29199,0.264484,0.238227,0.299742,0.32967,,,,,
10.4GPa,0.246719,0.271144,0.22905,0.220844,0.273657,0.180233,0.222222,0.242347,0.247449,0.219101,0.286089,0.23622,0.243038,,,,
12.8GPa,0.242667,0.303896,0.217514,0.257812,0.280105,0.244514,0.224227,0.261214,0.253264,0.203966,0.262467,0.238606,0.313351,0.234211,,,
13.3GPa,0.261364,0.24031,0.243161,0.216359,0.225722,0.194268,0.21123,0.252747,0.231183,0.221212,0.257534,0.19891,0.233244,0.299419,0.206612,,
15.6GPa,0.286104,0.245098,0.312312,0.27013,0.275773,0.21021,0.255875,0.297587,0.259067,0.224432,0.242347,0.2,0.254499,0.283784,0.242667,0.290698,
