frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.633436,,,,,,,,,,,,,,,,
1.3GPa,0.995697,0.761779,,,,,,,,,,,,,,,
1.5GPa,0.719778,0.92546,0.734246,,,,,,,,,,,,,,
2.3GPa,0.675199,0.967897,0.696256,0.874622,,,,,,,,,,,,,
2.4GPa_decomp,0.566194,0.616462,0.608382,0.634554,0.624265,,,,,,,,,,,,
3.9GPa,0.636095,0.930556,0.650463,0.934126,0.857044,0.616266,,,,,,,,,,,
5GPa,0.897027,0.82864,0.907717,0.910417,0.855428,0.793997,0.880517,,,,,,,,,,
6.2GPa,0.818074,0.863463,0.819121,0.941536,0.834893,0.740519,0.92231,0.965125,,,,,,,,,
6.6GPa,0.860758,0.830851,0.862023,0.82738,0.868219,0.657723,0.70926,0.843751,0.789572,,,,,,,,
7.4GPa,0.761217,0.857976,0.760724,0.919325,0.835909,0.708938,0.921172,0.949036,0.981844,0.767467,,,,,,,
8.5GPa,0.660725,0.748213,0.662913,0.813951,0.711573,0.629163,0.853163,0.861128,0.907898,0.65282,0.959237,,,,,,
9.8GPa,0.704812,0.775748,0.708695,0.812925,0.760398,0.684526,0.8327,0.872802,0.90557,0.707281,0.955621,0.982055,,,,,
10.4GPa,0.932897,0.679428,0.9322,0.675987,0.689556,0.729287,0.663265,0.828471,0.735982,0.833073,0.705925,0.709127,0.744789,,,,
12.8GPa,0.899549,0.867995,0.908096,0.88829,0.910513,0.792389,0.866403,0.951791,0.905651,0.936736,0.893289,0.887709,0.918605,0.8575,,,
13.3GPa,0.921641,0.713815,0.913948,0.71557,0.671122,0.800076,0.67866,0.876939,0.797779,0.812717,0.775283,0.781674,0.814083,0.927232,0.901269,,
15.6GPa,0.912899,0.731525,0.921403,0.738596,0.792064,0.740401,0.694159,0.889185,0.79521,0.888493,0.780304,0.778975,0.823298,0.90619,0.914512,0.931918,
