frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.632366,,,,,,,,,,,,,,,,
1.3GPa,0.963016,0.549145,,,,,,,,,,,,,,,
1.5GPa,0.570056,0.835628,0.552837,,,,,,,,,,,,,,
2.3GPa,0.709398,0.775785,0.823103,0.723248,,,,,,,,,,,,,
2.4GPa_decomp,0.874939,0.381572,0.900372,0.344074,0.631339,,,,,,,,,,,,
3.9GPa,0.662198,0.827348,0.676957,0.803953,0.758807,0.529026,,,,,,,,,,,
5GPa,0.627187,0.818039,0.635201,0.841424,0.785252,0.45894,0.826275,,,,,,,,,,
6.2GPa,0.507105,0.753594,0.61032,0.749727,0.758798,0.504768,0.808516,0.86328,,,,,,,,,
6.6GPa,0.860659,0.497076,0.886468,0.536153,0.726415,0.794759,0.738491,0.581147,0.604537,,,,,,,,
7.4GPa,0.614374,0.709639,0.735647,0.618345,0.853101,0.689154,0.6344,0.6741,0.661669,0.7027,,,,,,,
8.5GPa,0.736048,0.742746,0.847627,0.701217,0.920368,0.751747,0.714022,0.764469,0.730388,0.79707,0.910787,,,,,,
9.8GPa,0.550754,0.694138,0.614403,0.690504,0.725707,0.493408,0.631311,0.719754,0.662677,0.602623,0.783806,0.858937,,,,,
10.4GPa,0.8055,0.357625,0.742494,0.323524,0.538663,0.909332,0.601672,0.568302,0.596663,0.851572,0.450284,0.620785,0.409326,,,,
12.8GPa,0.612053,0.489916,0.750871,0.590891,0.737519,0.699218,0.629963,0.547862,0.554918,0.760017,0.697804,0.772923,0.616713,0.581457,,,
13.3GPa,0.77748,0.238925,0.717194,0.260561,0.457408,0.934021,0.512813,0.454094,0.535058,0.845177,0.379035,0.545969,0.320239,0.94634,0.748935,,
15.6GPa,0.522344,0.607254,0.500359,0.539931,0.741506,0.426779,0.658887,0.556302,0.53427,0.499468,0.647811,0.612856,0.520277,0.38539,0.545192,0.397703,
