frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.738184,,,,,,,,,,,,,,,,
1.3GPa,0.998138,0.75224,,,,,,,,,,,,,,,
1.5GPa,0.855265,0.880034,0.863523,,,,,,,,,,,,,,
2.3GPa,0.691988,0.788949,0.689638,0.858239,,,,,,,,,,,,,
2.4GPa_decomp,0.922978,0.619648,0.917002,0.684406,0.708351,,,,,,,,,,,,
3.9GPa,0.627858,0.822263,0.632361,0.86809,0.936473,0.341021,,,,,,,,,,,
5GPa,0.75221,0.756317,0.749003,0.872115,0.956513,0.441148,0.929235,,,,,,,,,,
6.2GPa,0.747625,0.759872,0.739773,0.849394,0.956933,0.417059,0.903696,0.986628,,,,,,,,,
6.6GPa,0.564789,0.626207,0.557584,0.767637,0.879199,0.324364,0.817019,0.824307,0.848092,,,,,,,,
7.4GPa,0.721189,0.765966,0.71848,0.83092,0.923861,0.43126,0.8551,0.922132,0.916254,0.807871,,,,,,,
8.5GPa,0.714093,0.757278,0.714271,0.817819,0.8759,0.456419,0.812638,0.865654,0.847704,0.770241,0.957777,,,,,,
9.8GPa,0.842432,0.805205,0.837847,0.89791,0.940911,0.525277,0.864535,0.932351,0.930817,0.892206,0.942324,0.93202,,,,,
10.4GPa,0.927164,0.714104,0.936986,0.784906,0.801409,0.868832,0.586044,0.93034,0.854108,0.759612,0.803483,0.824357,0.826594,,,,
12.8GPa,0.823426,0.597292,0.825276,0.725622,0.733732,0.724024,0.560136,0.832337,0.793099,0.639581,0.756078,0.74618,0.750528,0.837663,,,
13.3GPa,0.902151,0.701347,0.912922,0.756799,0.778772,0.851322,0.576195,0.915371,0.833284,0.746676,0.779105,0.79551,0.804585,0.987552,0.857882,,
15.6GPa,0.965038,0.709919,0.970749,0.806428,0.834179,0.760699,0.579787,0.896957,0.846539,0.820097,0.856042,0.874805,0.831483,0.956551,0.846511,0.929348,
