frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.393246,,,,,,,,,,,,,,,,
1.3GPa,0.981988,0.445012,,,,,,,,,,,,,,,
1.5GPa,0.361272,0.822664,0.42168,,,,,,,,,,,,,,
2.3GPa,0.598461,0.770217,0.712637,0.712426,,,,,,,,,,,,,
2.4GPa_decomp,0.738326,0.508144,0.824419,0.474941,0.791157,,,,,,,,,,,,
3.9GPa,0.362759,0.796378,0.404604,0.842027,0.705227,0.390855,,,,,,,,,,,
5GPa,0.549003,0.702006,0.623298,0.734642,0.761344,0.526225,0.747201,,,,,,,,,,
6.2GPa,0.603332,0.612848,0.61533,0.663109,0.78204,0.560714,0.59356,0.886021,,,,,,,,,
6.6GPa,0.705461,0.50206,0.807003,0.50973,0.836952,0.886959,0.578779,0.640681,0.685397,,,,,,,,
7.4GPa,0.571999,0.767963,0.678559,0.669812,0.874681,0.704442,0.691482,0.810154,0.653044,0.71129,,,,,,,
8.5GPa,0.63757,0.778488,0.740283,0.751651,0.930214,0.717916,0.7424,0.878831,0.713664,0.795059,0.938078,,,,,,
9.8GPa,0.49262,0.773421,0.581215,0.713657,0.709366,0.529029,0.728411,0.660475,0.507673,0.634796,0.819384,0.845972,,,,,
10.4GPa,0.666592,0.492144,0.728899,0.44589,0.736011,0.814138,0.470072,0.645049,0.592829,0.825963,0.687026,0.707473,0.538576,,,,
12.8GPa,0.821917,0.636779,0.910721,0.551766,0.793612,0.837131,0.692889,0.658425,0.595617,0.785719,0.861659,0.837944,0.778706,0.723207,,,
13.3GPa,0.643039,0.570211,0.748915,0.532635,0.805014,0.906051,0.551852,0.643931,0.609635,0.867072,0.816484,0.839367,0.675578,0.841098,0.826005,,
15.6GPa,0.735943,0.56087,0.780389,0.566061,0.85121,0.77717,0.633369,0.717733,0.668849,0.752927,0.785914,0.783555,0.567876,0.657419,0.751176,0.683892,
