frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.724717,,,,,,,,,,,,,,,,
1.3GPa,0.923098,0.782655,,,,,,,,,,,,,,,
1.5GPa,0.73929,0.875136,0.819177,,,,,,,,,,,,,,
2.3GPa,0.777688,0.917964,0.871812,0.966883,,,,,,,,,,,,,
2.4GPa_decomp,0.81042,0.352452,0.712176,0.406747,0.485268,,,,,,,,,,,,
3.9GPa,0.720985,0.745252,0.78033,0.79229,0.763131,0.506299,,,,,,,,,,,
5GPa,0.727278,0.853872,0.777334,0.790586,0.779284,0.431569,0.754827,,,,,,,,,,
6.2GPa,0.646474,0.771473,0.729513,0.746456,0.738228,0.440518,0.700161,0.915207,,,,,,,,,
6.6GPa,0.860923,0.547205,0.825417,0.62659,0.653199,0.86492,0.731806,0.593008,0.505158,,,,,,,,
7.4GPa,0.630025,0.758076,0.715147,0.754921,0.745461,0.465574,0.716207,0.888171,0.993177,0.473498,,,,,,,
8.5GPa,0.570691,0.790418,0.71526,0.764734,0.663681,0.321468,0.615193,0.889792,0.856448,0.453338,0.83457,,,,,,
9.8GPa,0.589349,0.782312,0.743297,0.75049,0.66807,0.340102,0.64648,0.830459,0.792972,0.500821,0.767853,0.960539,,,,,
10.4GPa,0.816897,0.35922,0.741169,0.408975,0.542752,0.946512,0.585308,0.457955,0.347675,0.920076,0.338504,0.493624,0.299618,,,,
12.8GPa,0.769492,0.573668,0.865677,0.616968,0.618193,0.839855,0.660064,0.453427,0.421615,0.785001,0.567922,0.648902,0.334781,0.757156,,,
13.3GPa,0.812416,0.351141,0.761832,0.396176,0.545099,0.934795,0.532497,0.406362,0.287183,0.894917,0.323539,0.466622,0.269711,0.97093,0.782929,,
15.6GPa,0.81428,0.631531,0.813756,0.653292,0.68549,0.680399,0.604853,0.582796,0.507683,0.79415,0.593189,0.73008,0.546743,0.787987,0.701651,0.717795,
