frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.733102,,,,,,,,,,,,,,,,
1.3GPa,0.991827,0.774305,,,,,,,,,,,,,,,
1.5GPa,0.800455,0.964882,0.804163,,,,,,,,,,,,,,
2.3GPa,0.713823,0.931952,0.720834,0.863841,,,,,,,,,,,,,
2.4GPa_decomp,0.66851,0.606109,0.686695,0.657456,0.515413,,,,,,,,,,,,
3.9GPa,0.725575,0.90135,0.72648,0.937297,0.74979,0.666884,,,,,,,,,,,
5GPa,0.739965,0.857163,0.750498,0.905856,0.707488,0.752878,0.951312,,,,,,,,,,
6.2GPa,0.728855,0.861468,0.739609,0.907406,0.712986,0.738922,0.947567,0.994747,,,,,,,,,
6.6GPa,0.822901,0.693289,0.785129,0.736489,0.652744,0.756186,0.674936,0.776876,0.78022,,,,,,,,
7.4GPa,0.740059,0.825298,0.745558,0.926801,0.660071,0.683241,0.902581,0.934473,0.950315,0.744554,,,,,,,
8.5GPa,0.814387,0.892072,0.821405,0.941327,0.762873,0.746609,0.925046,0.967566,0.959858,0.821383,0.975515,,,,,,
9.8GPa,0.833957,0.895147,0.835836,0.940547,0.776913,0.771901,0.928849,0.967154,0.956121,0.832209,0.969066,0.994347,,,,,
10.4GPa,0.766885,0.631391,0.773264,0.668564,0.585902,0.805345,0.638257,0.76376,0.685352,0.924209,0.687134,0.69032,0.716401,,,,
12.8GPa,0.838855,0.844018,0.86413,0.859095,0.842397,0.815594,0.804214,0.854436,0.838645,0.869127,0.825223,0.886172,0.894416,0.78108,,,
13.3GPa,0.799168,0.635528,0.805079,0.66886,0.593895,0.829794,0.640656,0.789277,0.695454,0.870323,0.694631,0.707792,0.732323,0.968936,0.785407,,
15.6GPa,0.749402,0.58221,0.718007,0.624554,0.546866,0.724875,0.589602,0.670925,0.661013,0.934529,0.606782,0.637491,0.640653,0.900156,0.727476,0.81978,
