frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.64845,,,,,,,,,,,,,,,,
1.3GPa,0.967588,0.663479,,,,,,,,,,,,,,,
1.5GPa,0.632624,0.865747,0.630307,,,,,,,,,,,,,,
2.3GPa,0.890053,0.852296,0.897591,0.969057,,,,,,,,,,,,,
2.4GPa_decomp,0.862903,0.574658,0.834699,0.576466,0.614756,,,,,,,,,,,,
3.9GPa,0.536594,0.787487,0.538195,0.82897,0.795449,0.402183,,,,,,,,,,,
5GPa,0.752203,0.737834,0.754644,0.856571,0.87114,0.607932,0.805509,,,,,,,,,,
6.2GPa,0.668941,0.668598,0.683464,0.733751,0.813457,0.626197,0.63637,0.822241,,,,,,,,,
6.6GPa,0.767233,0.652401,0.817892,0.724536,0.761363,0.766155,0.576228,0.676883,0.616368,,,,,,,,
7.4GPa,0.905734,0.812894,0.906984,0.91783,0.967955,0.785385,0.805763,0.874493,0.866208,0.785033,,,,,,,
8.5GPa,0.940938,0.785226,0.939145,0.911618,0.953434,0.775029,0.77166,0.870037,0.856566,0.814634,0.972275,,,,,,
9.8GPa,0.749723,0.779103,0.742693,0.684284,0.728457,0.572868,0.69178,0.693545,0.68988,0.574239,0.827215,0.866392,,,,,
10.4GPa,0.752211,0.637858,0.784126,0.642739,0.632421,0.824105,0.377944,0.51988,0.521361,0.709478,0.579559,0.605182,0.477796,,,,
12.8GPa,0.848488,0.734796,0.858023,0.769559,0.805782,0.861832,0.548614,0.644023,0.607563,0.79083,0.881603,0.852751,0.776925,0.876459,,,
13.3GPa,0.837781,0.67562,0.841568,0.756064,0.742692,0.749918,0.525355,0.683858,0.602521,0.73235,0.771478,0.835864,0.763574,0.82855,0.7402,,
15.6GPa,0.762916,0.743746,0.790358,0.793096,0.837262,0.805268,0.640587,0.678019,0.655089,0.723341,0.781181,0.768387,0.720479,0.710865,0.758478,0.722218,
