frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.773357,,,,,,,,,,,,,,,,
1.3GPa,0.996592,0.769897,,,,,,,,,,,,,,,
1.5GPa,0.804708,0.909629,0.80754,,,,,,,,,,,,,,
2.3GPa,0.737423,0.92039,0.749522,0.832696,,,,,,,,,,,,,
2.4GPa_decomp,0.720258,0.698521,0.735092,0.67518,0.641227,,,,,,,,,,,,
3.9GPa,0.732637,0.87485,0.731829,0.961398,0.674572,0.676785,,,,,,,,,,,
5GPa,0.872605,0.82863,0.878155,0.922595,0.730716,0.80092,0.913391,,,,,,,,,,
6.2GPa,0.790992,0.830252,0.791897,0.930501,0.71569,0.735367,0.945966,0.976846,,,,,,,,,
6.6GPa,0.831756,0.775589,0.833058,0.802524,0.788164,0.661057,0.717045,0.834333,0.779916,,,,,,,,
7.4GPa,0.739953,0.811449,0.740338,0.884066,0.724897,0.705907,0.914778,0.942162,0.979703,0.73099,,,,,,,
8.5GPa,0.69954,0.759359,0.70375,0.821543,0.683208,0.662331,0.857478,0.887058,0.915663,0.693463,0.97033,,,,,,
9.8GPa,0.706568,0.76166,0.710811,0.802731,0.694117,0.691192,0.8364,0.882439,0.904751,0.702353,0.964312,0.994329,,,,,
10.4GPa,0.921812,0.644533,0.919903,0.668527,0.524706,0.696804,0.630393,0.77978,0.686575,0.820521,0.633369,0.671828,0.691045,,,,
12.8GPa,0.909506,0.884585,0.908939,0.863683,0.816669,0.816997,0.825667,0.936425,0.90323,0.922435,0.87273,0.909581,0.928465,0.86186,,,
13.3GPa,0.94815,0.711425,0.947665,0.751322,0.595311,0.701576,0.712745,0.851122,0.768962,0.85824,0.715378,0.74962,0.780789,0.944058,0.894065,,
15.6GPa,0.933253,0.736691,0.942111,0.765976,0.704592,0.720756,0.707653,0.896493,0.79969,0.905022,0.757727,0.833527,0.841927,0.902195,0.924313,0.927044,
