frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.589725,,,,,,,,,,,,,,,,
1.3GPa,0.989749,0.695117,,,,,,,,,,,,,,,
1.5GPa,0.773877,0.927701,0.787235,,,,,,,,,,,,,,
2.3GPa,0.713871,0.75424,0.716085,0.817661,,,,,,,,,,,,,
2.4GPa_decomp,0.725026,0.561659,0.738991,0.635273,0.599281,,,,,,,,,,,,
3.9GPa,0.589405,0.971346,0.614846,0.918466,0.699848,0.525293,,,,,,,,,,,
5GPa,0.933762,0.771676,0.942358,0.878028,0.868635,0.863335,0.732756,,,,,,,,,,
6.2GPa,0.896099,0.800824,0.904235,0.914163,0.902827,0.786215,0.808237,0.968841,,,,,,,,,
6.6GPa,0.910186,0.838071,0.895996,0.786306,0.876007,0.623773,0.676702,0.79205,0.767726,,,,,,,,
7.4GPa,0.821869,0.797893,0.834463,0.900553,0.890861,0.742005,0.774508,0.878975,0.908201,0.723988,,,,,,,
8.5GPa,0.786274,0.780651,0.799173,0.871087,0.864561,0.705668,0.735998,0.831547,0.852235,0.706446,0.969017,,,,,,
9.8GPa,0.875595,0.846332,0.888868,0.947755,0.936052,0.782693,0.810241,0.920102,0.951983,0.764165,0.96209,0.932103,,,,,
10.4GPa,0.942088,0.604927,0.954573,0.65711,0.685826,0.627875,0.618295,0.814209,0.736209,0.787206,0.729618,0.737653,0.780721,,,,
12.8GPa,0.788229,0.540101,0.789668,0.663955,0.628931,0.809002,0.565536,0.86111,0.816725,0.600338,0.678022,0.638077,0.725441,0.854961,,,
13.3GPa,0.877448,0.603762,0.870879,0.652341,0.668735,0.676385,0.543447,0.809031,0.708771,0.783196,0.717636,0.726379,0.775896,0.926581,0.778641,,
15.6GPa,0.920502,0.640725,0.909112,0.723608,0.737596,0.733715,0.606385,0.859075,0.774421,0.845003,0.742704,0.747759,0.804328,0.906209,0.833574,0.966972,
