frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.894302,,,,,,,,,,,,,,,,
1.3GPa,0.784412,0.806768,,,,,,,,,,,,,,,
1.5GPa,0.889697,0.972503,0.864881,,,,,,,,,,,,,,
2.3GPa,0.589041,0.647229,0.602745,0.6322,,,,,,,,,,,,,
2.4GPa_decomp,0.62285,0.692511,0.625739,0.715458,0.736958,,,,,,,,,,,,
3.9GPa,0.852276,0.960446,0.837988,0.973594,0.591673,0.726436,,,,,,,,,,,
5GPa,0.682727,0.749836,0.767713,0.760628,0.4237,0.45375,0.762323,,,,,,,,,,
6.2GPa,0.683111,0.792116,0.794109,0.798401,0.320432,0.416768,0.771408,0.762312,,,,,,,,,
6.6GPa,0.813887,0.76967,0.814264,0.726061,0.55557,0.677784,0.699584,0.770901,0.645913,,,,,,,,
7.4GPa,0.696264,0.808647,0.770258,0.822038,0.370711,0.429445,0.800797,0.787654,0.988251,0.571807,,,,,,,
8.5GPa,0.664771,0.68916,0.801527,0.702974,0.300104,0.354398,0.687599,0.75794,0.904276,0.494223,0.861867,,,,,,
9.8GPa,0.772958,0.824961,0.764644,0.81152,0.556395,0.567484,0.796948,0.877655,0.781368,0.736578,0.789356,0.806763,,,,,
10.4GPa,0.866229,0.784284,0.660672,0.804309,0.63605,0.652184,0.78321,0.855593,0.631766,0.788738,0.617456,0.667773,0.746345,,,,
12.8GPa,0.805578,0.772004,0.619963,0.778348,0.786167,0.773585,0.71466,0.832613,0.56109,0.845723,0.565534,0.648526,0.776921,0.896318,,,
13.3GPa,0.712916,0.751946,0.594796,0.755741,0.717082,0.727096,0.742581,0.767609,0.669839,0.754995,0.715006,0.702643,0.596824,0.643722,0.816388,,
15.6GPa,0.844867,0.865516,0.813828,0.845558,0.645461,0.720127,0.829695,0.861146,0.687104,0.879885,0.727669,0.763544,0.674431,0.809352,0.809626,0.727529,
