frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.717117,,,,,,,,,,,,,,,,
1.3GPa,0.997847,0.672549,,,,,,,,,,,,,,,
1.5GPa,0.753346,0.979982,0.751226,,,,,,,,,,,,,,
2.3GPa,0.733407,0.883892,0.729103,0.855805,,,,,,,,,,,,,
2.4GPa_decomp,0.70753,0.59302,0.726964,0.63155,0.654405,,,,,,,,,,,,
3.9GPa,0.745272,0.952574,0.745717,0.978224,0.87133,0.64559,,,,,,,,,,,
5GPa,0.754834,0.798169,0.763826,0.86166,0.901497,0.733518,0.894321,,,,,,,,,,
6.2GPa,0.726297,0.804377,0.736129,0.82972,0.900033,0.697504,0.869909,0.994479,,,,,,,,,
6.6GPa,0.974372,0.734257,0.968924,0.766552,0.619756,0.803176,0.754396,0.708908,0.671094,,,,,,,,
7.4GPa,0.724829,0.875239,0.738358,0.885292,0.930713,0.683487,0.858065,0.971443,0.97883,0.669667,,,,,,,
8.5GPa,0.702307,0.896095,0.717215,0.908466,0.935784,0.695097,0.836428,0.945802,0.956863,0.640386,0.994589,,,,,,
9.8GPa,0.719445,0.894988,0.734255,0.908585,0.931483,0.714668,0.828325,0.94426,0.955306,0.653512,0.9926,0.99874,,,,,
10.4GPa,0.977109,0.744137,0.972047,0.781997,0.638579,0.78647,0.768374,0.736665,0.700406,0.996907,0.690596,0.658234,0.671139,,,,
12.8GPa,0.849481,0.773546,0.850299,0.846788,0.739952,0.804478,0.862993,0.844518,0.811241,0.88106,0.806935,0.76773,0.769343,0.894,,,
13.3GPa,0.9717,0.74331,0.967468,0.779724,0.630575,0.776395,0.762097,0.725446,0.687463,0.995041,0.677172,0.643636,0.656181,0.998269,0.890589,,
15.6GPa,0.975073,0.740848,0.96558,0.765706,0.643398,0.842122,0.760057,0.709879,0.674372,0.987734,0.689252,0.668188,0.680633,0.977411,0.857497,0.976495,
