frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.9141,,,,,,,,,,,,,,,,
1.3GPa,0.558285,0.640705,,,,,,,,,,,,,,,
1.5GPa,0.888886,0.993014,0.774948,,,,,,,,,,,,,,
2.3GPa,0.51906,0.556319,0.427541,0.563923,,,,,,,,,,,,,
2.4GPa_decomp,0.656005,0.671348,0.654186,0.653675,0.726261,,,,,,,,,,,,
3.9GPa,0.854744,0.965284,0.731773,0.981829,0.55555,0.700608,,,,,,,,,,,
5GPa,0.900441,0.969305,0.760862,0.973513,0.632193,0.714838,0.956262,,,,,,,,,,
6.2GPa,0.791989,0.881317,0.750089,0.886522,0.429112,0.530533,0.863573,0.862769,,,,,,,,,
6.6GPa,0.792348,0.815655,0.78878,0.819927,0.63854,0.694198,0.77907,0.863014,0.763079,,,,,,,,
7.4GPa,0.799542,0.915958,0.762185,0.916373,0.476742,0.595752,0.903374,0.884351,0.977371,0.76377,,,,,,,
8.5GPa,0.810597,0.935319,0.769986,0.943437,0.526763,0.707585,0.923087,0.919072,0.932934,0.802656,0.968327,,,,,,
9.8GPa,0.753815,0.837594,0.670342,0.819294,0.707694,0.601822,0.780464,0.845673,0.709577,0.741416,0.713672,0.739804,,,,,
10.4GPa,0.722083,0.698871,0.478287,0.701313,0.582944,0.466978,0.635845,0.654502,0.541574,0.478748,0.540866,0.515347,0.624654,,,,
12.8GPa,0.816696,0.773098,0.64846,0.778209,0.763986,0.763882,0.733227,0.849659,0.570304,0.855105,0.584671,0.67966,0.762401,0.885978,,,
13.3GPa,0.599837,0.662709,0.6074,0.658185,0.474375,0.606519,0.621755,0.624507,0.646718,0.676797,0.668869,0.685124,0.579507,0.424448,0.532962,,
15.6GPa,0.537531,0.665749,0.621592,0.680421,0.347083,0.394173,0.691722,0.616496,0.662628,0.453304,0.691308,0.644097,0.518795,0.36889,0.307742,0.395194,
