frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,,,,,,,,,,,,,,,,,
1.3GPa,0,0,,,,,,,,,,,,,,,
1.5GPa,0,0,0.445275,,,,,,,,,,,,,,
2.3GPa,,,0,0,,,,,,,,,,,,,
2.4GPa_decomp,,,0,0,,,,,,,,,,,,,
3.9GPa,,,0,0,,,,,,,,,,,,,
5GPa,0,0,0.221464,0.497364,0,0,0,,,,,,,,,,
6.2GPa,0,0,0.275187,0.618014,0,0,0,0.804778,,,,,,,,,
6.6GPa,,,0,0,,,,0,0,,,,,,,,
7.4GPa,,,0,0,,,,0,0,,,,,,,,
8.5GPa,,,0,0,,,,0,0,,,,,,,,
9.8GPa,,,0,0,,,,0,0,,,,,,,,
10.4GPa,,,0,0,,,,0,0,,,,,,,,
12.8GPa,0,0,0.513763,0.866694,0,0,0,0.431063,0.53563,0,0,0,0,0,,,
13.3GPa,,,0,0,,,,0,0,,,,,,0,,
15.6GPa,,,0,0,,,,0,0,,,,,,0,,
