frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,,,,,,,,,,,,,,,,,
1.3GPa,0,0,,,,,,,,,,,,,,,
1.5GPa,0,0,0.850214,,,,,,,,,,,,,,
2.3GPa,0,0,0.408087,0.479981,,,,,,,,,,,,,
2.4GPa_decomp,,,0,0,0,,,,,,,,,,,,
3.9GPa,,,0,0,0,,,,,,,,,,,,
5GPa,,,0,0,0,,,,,,,,,,,,
6.2GPa,0,0,0.442313,0.520238,0.922619,0,0,0,,,,,,,,,
6.6GPa,0,0,0.325272,0.382577,0.797066,0,0,0,0.735388,,,,,,,,
7.4GPa,0,0,0.282182,0.331896,0.691476,0,0,0,0.637969,0.867527,,,,,,,
8.5GPa,0,0,0.545716,0.641857,0.747802,0,0,0,0.81052,0.596047,0.517087,,,,,,
9.8GPa,,,0,0,0,,,,0,0,0,0,,,,,
10.4GPa,,,0,0,0,,,,0,0,0,0,,,,,
12.8GPa,0,0,0.0791512,0.0930956,0.193957,0,0,0,0.178948,0.243339,0.280497,0.145041,0,0,,,
13.3GPa,0,0,0.941734,0.800676,0.38431,0,0,0,0.416542,0.30632,0.265741,0.513919,0,0,0.0745394,,
15.6GPa,0,0,0.208716,0.245487,0.511451,0,0,0,0.471875,0.641667,0.739651,0.382464,0,0,0.379229,0.196555,
