frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,,,,,,,,,,,,,,,,,
1.3GPa,,,,,,,,,,,,,,,,,
1.5GPa,0,0,0,,,,,,,,,,,,,,
2.3GPa,0,0,0,0.0232555,,,,,,,,,,,,,
2.4GPa_decomp,,,,0,0,,,,,,,,,,,,
3.9GPa,,,,0,0,,,,,,,,,,,,
5GPa,0,0,0,0.045706,0.508807,0,0,,,,,,,,,,
6.2GPa,,,,0,0,,,0,,,,,,,,,
6.6GPa,,,,0,0,,,0,,,,,,,,,
7.4GPa,0,0,0,0.0806336,0.28841,0,0,0.566835,0,0,,,,,,,
8.5GPa,,,,0,0,,,0,,,0,,,,,,
9.8GPa,,,,0,0,,,0,,,0,,,,,,
10.4GPa,,,,0,0,,,0,,,0,,,,,,
12.8GPa,0,0,0,0.0457015,0.508857,0,0,0.999901,0,0,0.566779,0,0,0,,,
13.3GPa,,,,0,0,,,0,,,0,,,,0,,
15.6GPa,0,0,0,0.000240144,0.0103263,0,0,0.0052541,0,0,0.00297821,0,0,0,0.00525462,0,
