frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0,,,,,,,,,,,,,,,,
1.3GPa,0,0.0498715,,,,,,,,,,,,,,,
1.5GPa,0,0.629372,0.0792402,,,,,,,,,,,,,,
2.3GPa,0,0.146283,0.340926,0.232426,,,,,,,,,,,,,
2.4GPa_decomp,,0,0,0,0,,,,,,,,,,,,
3.9GPa,0,0.0553438,0.901122,0.087935,0.378335,0,,,,,,,,,,,
5GPa,0,0.0195229,0.391463,0.0310196,0.13346,0,0.352756,,,,,,,,,,
6.2GPa,,0,0,0,0,,0,0,,,,,,,,,
6.6GPa,,0,0,0,0,,0,0,,,,,,,,,
7.4GPa,,0,0,0,0,,0,0,,,,,,,,,
8.5GPa,,0,0,0,0,,0,0,,,,,,,,,
9.8GPa,,0,0,0,0,,0,0,,,,,,,,,
10.4GPa,,0,0,0,0,,0,0,,,,,,,,,
12.8GPa,,0,0,0,0,,0,0,,,,,,,,,
13.3GPa,,0,0,0,0,,0,0,,,,,,,,,
15.6GPa,,0,0,0,0,,0,0,,,,,,,,,
