frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.00781772,,,,,,,,,,,,,,,,
1.3GPa,0,0,,,,,,,,,,,,,,,
1.5GPa,0.226185,0.0345634,0,,,,,,,,,,,,,,
2.3GPa,0.696953,0.011217,0,0.324534,,,,,,,,,,,,,
2.4GPa_decomp,0,0,,0,0,,,,,,,,,,,,
3.9GPa,0,0,,0,0,,,,,,,,,,,,
5GPa,0,0,,0,0,,,,,,,,,,,,
6.2GPa,0,0,0,0,0,0,0,0,,,,,,,,,
6.6GPa,0,0,,0,0,,,,0,,,,,,,,
7.4GPa,0.146617,0.0533208,0,0.648217,0.210368,0,0,0,0,0,,,,,,,
8.5GPa,0.0610525,0.128049,0,0.269923,0.0875991,0,0,0,0,0,0.416408,,,,,,
9.8GPa,0,0,,0,0,,,,0,,0,0,,,,,
10.4GPa,0,0,,0,0,,,,0,,0,0,,,,,
12.8GPa,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,
13.3GPa,0,0,,0,0,,,,0,,0,0,,,0,,
15.6GPa,0,0,,0,0,,,,0,,0,0,,,0,,
