frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0,,,,,,,,,,,,,,,,
1.3GPa,0.0659413,0,,,,,,,,,,,,,,,
1.5GPa,0,0,0,,,,,,,,,,,,,,
2.3GPa,0.0438849,0,0.665515,0,,,,,,,,,,,,,
2.4GPa_decomp,0,0,0,,0,,,,,,,,,,,,
3.9GPa,0.506523,0,0.130184,0,0.0866394,0,,,,,,,,,,,
5GPa,0,0,0,,0,,0,,,,,,,,,,
6.2GPa,0,0,0,,0,,0,,,,,,,,,,
6.6GPa,0,0,0,,0,,0,,,,,,,,,,
7.4GPa,0,0,0,,0,,0,,,,,,,,,,
8.5GPa,0,0,0,,0,,0,,,,,,,,,,
9.8GPa,0,0,0,,0,,0,,,,,,,,,,
10.4GPa,0.96827,0,0.0681022,0,0.045323,0,0.523122,0,0,0,0,0,0,,,,
12.8GPa,0,0,0,,0,,0,,,,,,,0,,,
13.3GPa,0.466908,0,0.14123,0,0.0939905,0,0.92179,0,0,0,0,0,0,0.482208,0,,
15.6GPa,0.117759,0,0.55997,0,0.372668,0,0.232484,0,0,0,0,0,0,0.121617,0,0.252209,
