frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.591036,,,,,,,,,,,,,,,,
1.3GPa,0.0523444,0.0885639,,,,,,,,,,,,,,,
1.5GPa,0,0,0,,,,,,,,,,,,,,
2.3GPa,0,0,0,,,,,,,,,,,,,,
2.4GPa_decomp,0.846056,0.50005,0.0442863,0,0,,,,,,,,,,,,
3.9GPa,0.538927,0.911835,0.0971271,0,0,0.455963,,,,,,,,,,,
5GPa,0.99584,0.593505,0.0525631,0,0,0.842536,0.541179,,,,,,,,,,
6.2GPa,0.679402,0.401551,0.0355629,0,0,0.803022,0.366148,0.676575,,,,,,,,,
6.6GPa,0,0,0,,,0,0,0,0,,,,,,,,
7.4GPa,0.836501,0.706557,0.0625755,0,0,0.707727,0.644263,0.839996,0.56832,0,,,,,,,
8.5GPa,0,0,0,,,0,0,0,0,,0,,,,,,
9.8GPa,0.0121623,0.00718837,0.00063663,0,0,0.0143753,0.0065546,0.0121117,0.0179015,0,0.0101738,0,,,,,
10.4GPa,0.504516,0.298187,0.0264086,0,0,0.596315,0.271897,0.502417,0.742589,0,0.422028,0,0.0241069,,,,
12.8GPa,0.39765,0.235025,0.0208147,0,0,0.470004,0.214304,0.395995,0.585293,0,0.332634,0,0.0305855,0.78818,,,
13.3GPa,0.782128,0.462266,0.0409401,0,0,0.92444,0.42151,0.778874,0.868658,0,0.654251,0,0.0155503,0.645056,0.50842,,
15.6GPa,0.360754,0.213219,0.0188835,0,0,0.426395,0.19442,0.359253,0.530987,0,0.301771,0,0.0337136,0.715049,0.907216,0.461246,
