frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0,,,,,,,,,,,,,,,,
1.3GPa,0.013107,0,,,,,,,,,,,,,,,
1.5GPa,0,,0,,,,,,,,,,,,,,
2.3GPa,0.911297,0,0.0143828,0,,,,,,,,,,,,,
2.4GPa_decomp,0.84562,0,0.0110836,0,0.770611,,,,,,,,,,,,
3.9GPa,0,,0,,0,0,,,,,,,,,,,
5GPa,0.118922,0,0.110215,0,0.130498,0.100563,0,,,,,,,,,,
6.2GPa,0.0901619,0,0.145372,0,0.098938,0.0762427,0,0.758158,,,,,,,,,
6.6GPa,0,,0,,0,0,,0,0,,,,,,,,
7.4GPa,0,,0,,0,0,,0,0,,,,,,,,
8.5GPa,0.042747,0,0.306619,0,0.0469079,0.0361477,0,0.359453,0.474114,0,0,,,,,,
9.8GPa,0.381433,0,0.0343626,0,0.418561,0.322548,0,0.311777,0.236376,0,0,0.112069,,,,,
10.4GPa,0.606717,0,0.0216032,0,0.665773,0.513052,0,0.19601,0.148606,0,0,0.0704562,0.628684,,,,
12.8GPa,0.57276,0,0.022884,0,0.628511,0.484338,0,0.20763,0.157416,0,0,0.0746333,0.665957,0.944032,,,
13.3GPa,0,,0,,0,0,,0,0,,,0,0,0,0,,
15.6GPa,0,,0,,0,0,,0,0,,,0,0,0,0,,
