frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0,,,,,,,,,,,,,,,,
1.3GPa,0.422714,0,,,,,,,,,,,,,,,
1.5GPa,0,0,0,,,,,,,,,,,,,,
2.3GPa,0,0,0,,,,,,,,,,,,,,
2.4GPa_decomp,0,0,0,,,,,,,,,,,,,,
3.9GPa,0,0,0,,,,,,,,,,,,,,
5GPa,0,0,0,,,,,,,,,,,,,,
6.2GPa,0,0,0,,,,,,,,,,,,,,
6.6GPa,0,0,0,,,,,,,,,,,,,,
7.4GPa,0,1,0,0,0,0,0,0,0,0,,,,,,,
8.5GPa,0.333695,0,0.141057,0,0,0,0,0,0,0,0,,,,,,
9.8GPa,0,0,0,,,,,,,,0,0,,,,,
10.4GPa,0.203545,0,0.481519,0,0,0,0,0,0,0,0,0.0679219,0,,,,
12.8GPa,0.221277,0,0.523469,0,0,0,0,0,0,0,0,0.0738391,0,0.919862,,,
13.3GPa,0.186261,0,0.440631,0,0,0,0,0,0,0,0,0.0621543,0,0.915085,0.841752,,
15.6GPa,0,0,0,,,,,,,,0,0,,0,0,0,
