frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.0225978,,,,,,,,,,,,,,,,
1.3GPa,0,0,,,,,,,,,,,,,,,
1.5GPa,0.0237402,0.951879,0,,,,,,,,,,,,,,
2.3GPa,0,0,,0,,,,,,,,,,,,,
2.4GPa_decomp,0,0,,0,,,,,,,,,,,,,
3.9GPa,0,0,,0,,,,,,,,,,,,,
5GPa,0.0267326,0.84533,0,0.888064,0,0,0,,,,,,,,,,
6.2GPa,0,0,,0,,,,0,,,,,,,,,
6.6GPa,0,0,,0,,,,0,,,,,,,,,
7.4GPa,0.0127757,0.565353,0,0.538148,0,0,0,0.47791,0,0,,,,,,,
8.5GPa,0.0526183,0.429467,0,0.451178,0,0,0,0.508047,0,0,0.242801,,,,,,
9.8GPa,0.0190516,0.843073,0,0.802504,0,0,0,0.712675,0,0,0.670586,0.362072,,,,,
10.4GPa,0,0,,0,,,,0,,,0,0,0,,,,
12.8GPa,0,0,,0,,,,0,,,0,0,0,,,,
13.3GPa,0,0,,0,,,,0,,,0,0,0,,,,
15.6GPa,0,0,,0,,,,0,,,0,0,0,,,,
