frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,,,,,,,,,,,,,,,,,
1.3GPa,,,,,,,,,,,,,,,,,
1.5GPa,0,0,0,,,,,,,,,,,,,,
2.3GPa,0,0,0,0.00641569,,,,,,,,,,,,,
2.4GPa_decomp,,,,0,0,,,,,,,,,,,,
3.9GPa,,,,0,0,,,,,,,,,,,,
5GPa,,,,0,0,,,,,,,,,,,,
6.2GPa,0,0,0,0.00327988,0.511229,0,0,0,,,,,,,,,
6.6GPa,0,0,0,0.00166533,0.259571,0,0,0,0.50774,,,,,,,,
7.4GPa,,,,0,0,,,,0,0,,,,,,,
8.5GPa,,,,0,0,,,,0,0,,,,,,,
9.8GPa,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
10.4GPa,0,0,0,0.00208377,0.324792,0,0,0,0.635317,0.799191,0,0,0,,,,
12.8GPa,,,,0,0,,,,0,0,,,0,0,,,
13.3GPa,,,,0,0,,,,0,0,,,0,0,,,
15.6GPa,0,0,0,0.00386272,0.602074,0,0,0,0.849113,0.431128,0,0,0,0.539456,0,0,
