frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0,,,,,,,,,,,,,,,,
1.3GPa,,0,,,,,,,,,,,,,,,
1.5GPa,0,0.0443262,0,,,,,,,,,,,,,,
2.3GPa,,0,,0,,,,,,,,,,,,,
2.4GPa_decomp,,0,,0,,,,,,,,,,,,,
3.9GPa,0,0.451008,0,0.0982824,0,0,,,,,,,,,,,
5GPa,,0,,0,,,0,,,,,,,,,,
6.2GPa,0,0.506985,0,0.0224727,0,0,0.228654,0,,,,,,,,,
6.6GPa,,0,,0,,,0,,0,,,,,,,,
7.4GPa,0,0.677455,0,0.0654304,0,0,0.665738,0,0.34346,0,,,,,,,
8.5GPa,0,0.946266,0,0.0468432,0,0,0.476619,0,0.479743,0,0.715925,,,,,,
9.8GPa,0,0.706776,0,0.0313286,0,0,0.318761,0,0.717321,0,0.478809,0.668798,,,,,
10.4GPa,,0,,0,,,0,,0,,0,0,0,,,,
12.8GPa,,0,,0,,,0,,0,,0,0,0,,,,
13.3GPa,0,0.443499,0,0.0999465,0,0,0.98335,0,0.224847,0,0.654654,0.468683,0.313454,0,0,,
15.6GPa,,0,,0,,,0,,0,,0,0,0,,,0,
