frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.343931,,,,,,,,,,,,,,,,
1.3GPa,0.669144,0.230139,,,,,,,,,,,,,,,
1.5GPa,0.604692,0.568771,0.404626,,,,,,,,,,,,,,
2.3GPa,0,0,0,0,,,,,,,,,,,,,
2.4GPa_decomp,0,0,0,0,,,,,,,,,,,,,
3.9GPa,0,0,0,0,0,0,,,,,,,,,,,
5GPa,0,0,0,0,,,0,,,,,,,,,,
6.2GPa,0.144464,0.420038,0.0966674,0.238906,0,0,0,0,,,,,,,,,
6.6GPa,0,0,0,0,,,0,,0,,,,,,,,
7.4GPa,0.616847,0.557564,0.412759,0.980296,0,0,0,0,0.234198,0,,,,,,,
8.5GPa,0,0,0,0,,,0,,0,,0,,,,,,
9.8GPa,0,0,0,0,,,0,,0,,0,,,,,,
10.4GPa,0.415351,0.142852,0.62072,0.251159,0,0,0,0,0.0600034,0,0.256208,0,0,,,,
12.8GPa,0.276445,0.095078,0.413132,0.167164,0,0,0,0,0.0399364,0,0.170524,0,0,0.665569,,,
13.3GPa,0.06248,0.181664,0.0418081,0.103325,0,0,0,0,0.432494,0,0.101289,0,0,0.0259511,0.0172722,,
15.6GPa,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
