frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.0644755,,,,,,,,,,,,,,,,
1.3GPa,0.677518,0.0951643,,,,,,,,,,,,,,,
1.5GPa,0,0,0,,,,,,,,,,,,,,
2.3GPa,0.100941,0.638742,0.148987,0,,,,,,,,,,,,,
2.4GPa_decomp,0,0,0,,0,,,,,,,,,,,,
3.9GPa,0,0,0,,0,,,,,,,,,,,,
5GPa,0,0,0,,0,,,,,,,,,,,,
6.2GPa,0,0,0,,0,,,,,,,,,,,,
6.6GPa,0.757976,0.0850627,0.893851,0,0.133172,0,0,0,0,,,,,,,,
7.4GPa,0.0398872,0.618642,0.0588726,0,0.395152,0,0,0,0,0.0526234,,,,,,,
8.5GPa,0,0,0,,0,,,,,0,0,,,,,,
9.8GPa,0.0905138,0.712328,0.133596,0,0.896696,0,0,0,0,0.119415,0.440676,0,,,,,
10.4GPa,0.740949,0.047773,0.502006,0,0.0747924,0,0,0,0,0.561621,0.0295544,0,0.0670661,,,,
12.8GPa,0.00250198,0.0388052,0.00369287,0,0.0247865,0,0,0,0,0.00330088,0.0627264,0,0.027642,0.00185384,,,
13.3GPa,0,0,0,,0,,,,,0,0,,0,0,0,,
15.6GPa,0,0,0,,0,,,,,0,0,,0,0,0,,
