frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0,,,,,,,,,,,,,,,,
1.3GPa,0,,,,,,,,,,,,,,,,
1.5GPa,0,,,,,,,,,,,,,,,,
2.3GPa,0,,,,,,,,,,,,,,,,
2.4GPa_decomp,0.777396,0,0,0,0,,,,,,,,,,,,
3.9GPa,0,,,,,0,,,,,,,,,,,
5GPa,0,,,,,0,,,,,,,,,,,
6.2GPa,0.213763,0,0,0,0,0.274973,0,0,,,,,,,,,
6.6GPa,0.286778,0,0,0,0,0.368895,0,0,0.745396,,,,,,,,
7.4GPa,0,,,,,0,,,0,0,,,,,,,
8.5GPa,0.162857,0,0,0,0,0.209491,0,0,0.76186,0.567887,0,,,,,,
9.8GPa,0,,,,,0,,,0,0,,0,,,,,
10.4GPa,0.145673,0,0,0,0,0.187386,0,0,0.681472,0.507966,0,0.894485,0,,,,
12.8GPa,0,,,,,0,,,0,0,,0,,0,,,
13.3GPa,0.926845,0,0,0,0,0.838755,0,0,0.230635,0.309412,0,0.175711,0,0.157171,0,,
15.6GPa,0,,,,,0,,,0,0,,0,,0,,0,
