frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.664936,,,,,,,,,,,,,,,,
1.3GPa,0,0,,,,,,,,,,,,,,,
1.5GPa,0.834509,0.796799,0,,,,,,,,,,,,,,
2.3GPa,0.38466,0.255774,0,0.321002,,,,,,,,,,,,,
2.4GPa_decomp,0.628527,0.945244,0,0.753169,0.241769,,,,,,,,,,,,
3.9GPa,0,0,,0,0,0,,,,,,,,,,,
5GPa,0,0,,0,0,0,,,,,,,,,,,
6.2GPa,0,0,,0,0,0,,,,,,,,,,,
6.6GPa,0,0,,0,0,0,,,,,,,,,,,
7.4GPa,0.264727,0.398124,0,0.317225,0.10183,0.421186,0,0,0,0,,,,,,,
8.5GPa,0.688982,0.458129,0,0.574961,0.558302,0.433043,0,0,0,0,0.182392,,,,,,
9.8GPa,0.799483,0.531605,0,0.667176,0.481136,0.502496,0,0,0,0,0.211645,0.861784,,,,,
10.4GPa,0.28474,0.428221,0,0.341206,0.109528,0.453027,0,0,0,0,0.929715,0.19618,0.227645,,,,
12.8GPa,0.520474,0.346082,0,0.43434,0.739057,0.327132,0,0,0,0,0.137783,0.755425,0.651013,0.1482,,,
13.3GPa,0,0,,0,0,0,,,,,0,0,0,0,0,,
15.6GPa,0,0,,0,0,0,,,,,0,0,0,0,0,,
