frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0,,,,,,,,,,,,,,,,
1.3GPa,0,,,,,,,,,,,,,,,,
1.5GPa,0,,,,,,,,,,,,,,,,
2.3GPa,0.0348296,0,0,0,,,,,,,,,,,,,
2.4GPa_decomp,0.0168848,0,0,0,0.484783,,,,,,,,,,,,
3.9GPa,0.0192025,0,0,0,0.551327,0.879302,,,,,,,,,,,
5GPa,0.060199,0,0,0,0.578574,0.280483,0.318983,,,,,,,,,,
6.2GPa,0,,,,0,0,0,0,,,,,,,,,
6.6GPa,0.777774,0,0,0,0.0447812,0.0217091,0.0246891,0.0773992,0,,,,,,,,
7.4GPa,0.0223295,0,0,0,0.641108,0.756164,0.85996,0.370928,0,0.0287096,,,,,,,
8.5GPa,0,,,,0,0,0,0,,0,0,,,,,,
9.8GPa,0.150618,0,0,0,0.231245,0.112104,0.127492,0.399681,0,0.193652,0.148253,0,,,,,
10.4GPa,0.635235,0,0,0,0.022125,0.0107258,0.0121981,0.0382406,0,0.494069,0.0141845,0,0.0956777,,,,
12.8GPa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
13.3GPa,0.301229,0,0,0,0.115625,0.056053,0.0637471,0.199845,0,0.387297,0.074128,0,0.50001,0.191351,0,,
15.6GPa,0.422433,0,0,0,0.0147132,0.00713269,0.00811177,0.0254301,0,0.328557,0.00943273,0,0.0636259,0.665003,0,0.127249,
