frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0,,,,,,,,,,,,,,,,
1.3GPa,,0,,,,,,,,,,,,,,,
1.5GPa,0,0.831751,0,,,,,,,,,,,,,,
2.3GPa,,0,,0,,,,,,,,,,,,,
2.4GPa_decomp,0,0.121081,0,0.100709,0,,,,,,,,,,,,
3.9GPa,0,0,0,0,0,0,,,,,,,,,,,
5GPa,,0,,0,,0,0,,,,,,,,,,
6.2GPa,,0,,0,,0,0,,,,,,,,,,
6.6GPa,,0,,0,,0,0,,,,,,,,,,
7.4GPa,0,0.00265413,0,0.00220757,0,0.0219203,0,0,0,0,,,,,,,
8.5GPa,0,0.000673594,0,0.000560262,0,0.00556318,0,0,0,0,0.253791,,,,,,
9.8GPa,0,0.00760525,0,0.00632567,0,0.0628113,0,0,0,0,0.348986,0.0885696,,,,,
10.4GPa,0,0.00434201,0,0.00361147,0,0.0358604,0,0,0,0,0.611268,0.155134,0.570923,,,,
12.8GPa,,0,,0,,0,0,,,,0,0,0,0,,,
13.3GPa,0,0.00234032,0,0.00194657,0,0.0193286,0,0,0,0,0.881767,0.287821,0.307725,0.538995,0,,
15.6GPa,,0,,0,,0,0,,,,0,0,0,0,,0,
