frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,,,,,,,,,,,,,,,,,
1.3GPa,,,,,,,,,,,,,,,,,
1.5GPa,,,,,,,,,,,,,,,,,
2.3GPa,,,,,,,,,,,,,,,,,
2.4GPa_decomp,0,0,0,0,0,,,,,,,,,,,,
3.9GPa,0,0,0,0,0,0,,,,,,,,,,,
5GPa,0,0,0,0,0,0,0.355055,,,,,,,,,,
6.2GPa,,,,,,0,0,0,,,,,,,,,
6.6GPa,0,0,0,0,0,0,0.621349,0.571425,0,,,,,,,,
7.4GPa,,,,,,0,0,0,,0,,,,,,,
8.5GPa,0,0,0,0,0,0,0.478869,0.170025,0,0.297545,0,,,,,,
9.8GPa,0,0,0,0,0,0,0.604185,0.214518,0,0.37541,0,0.792588,,,,,
10.4GPa,0,0,0,0,0,0,0.62648,0.566746,0,0.991811,0,0.300002,0.378509,,,,
12.8GPa,0,0,0,0,0,0,0.520158,0.184685,0,0.3232,0,0.920622,0.860926,0.325869,,,
13.3GPa,,,,,,0,0,0,,0,,0,0,0,0,,
15.6GPa,,,,,,0,0,0,,0,,0,0,0,0,,
