frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0,,,,,,,,,,,,,,,,
1.3GPa,0,0,,,,,,,,,,,,,,,
1.5GPa,0,0,,,,,,,,,,,,,,,
2.3GPa,0,0,,,,,,,,,,,,,,,
2.4GPa_decomp,0,0,,,,,,,,,,,,,,,
3.9GPa,0.0153607,0,0,0,0,0,,,,,,,,,,,
5GPa,0.80232,0,0,0,0,0,0.0191453,,,,,,,,,,
6.2GPa,0.651785,0,0,0,0,0,0.0100119,0.522941,,,,,,,,,
6.6GPa,0.596481,0,0,0,0,0,0.00916235,0.478569,0.915149,,,,,,,,
7.4GPa,0,0,,,,,0,0,0,0,,,,,,,
8.5GPa,0.00181261,0,0,0,0,0,2.7843e-05,0.0014543,0.002781,0.00303885,0,,,,,,
9.8GPa,0,0,,,,,0,0,0,0,,0,,,,,
10.4GPa,0,0,,,,,0,0,0,0,,0,,,,,
12.8GPa,0,0,,,,,0,0,0,0,,0,,,,,
13.3GPa,0.359222,0,0,0,0,0,0.00551789,0.288211,0.551135,0.602235,0,0.00504595,0,0,0,,
15.6GPa,0,0,,,,,0,0,0,0,,0,,,,0,
